# bkg-pred	mN=2000GeV-pred	mN=2200GeV-pred	mN=2300GeV-pred	mN=2700GeV-pred	mN=3000GeV-pred
1.474468261003494263e-01 9.712674617767333984e-01 9.629204869270324707e-01 3.124431669712066650e-01 6.327575445175170898e-01 2.853025794029235840e-01
5.015593171119689941e-01 1.474692076444625854e-01 9.561739563941955566e-01 2.663950026035308838e-01 9.323783516883850098e-01 6.607218831777572632e-02
5.546448230743408203e-01 2.316705584526062012e-01 9.994183778762817383e-01 4.702524542808532715e-01 3.949183523654937744e-01 8.097683191299438477e-01
4.588843584060668945e-01 6.008041501045227051e-01 6.419962644577026367e-01 7.610657215118408203e-01 2.786153256893157959e-01 1.924532353878021240e-01
9.634732604026794434e-01 9.840318560600280762e-01 9.251166582107543945e-01 5.550861358642578125e-01 7.721956968307495117e-01 4.617377519607543945e-01
4.360308945178985596e-01 3.818788528442382812e-01 2.345504313707351685e-01 9.753838181495666504e-01 9.991713762283325195e-01 8.625412583351135254e-01
2.567594945430755615e-01 4.795668721199035645e-01 5.672912001609802246e-01 9.439918398857116699e-01 4.461195468902587891e-01 3.768133521080017090e-01
2.206171303987503052e-01 9.977788329124450684e-01 7.849855422973632812e-01 9.998113512992858887e-01 2.145926356315612793e-01 5.256912112236022949e-01
6.983570009469985962e-02 5.049715042114257812e-01 8.857573866844177246e-01 4.755694568157196045e-01 2.106238156557083130e-01 9.537004232406616211e-01
6.190375685691833496e-01 9.941184520721435547e-01 8.301047086715698242e-01 2.765770554542541504e-01 1.563364565372467041e-01 8.321962356567382812e-01
6.650380492210388184e-01 3.331875801086425781e-01 7.907406687736511230e-01 6.080652475357055664e-01 4.696727991104125977e-01 4.365761280059814453e-01
5.359488129615783691e-01 5.479619503021240234e-01 3.499515950679779053e-01 1.255126893520355225e-01 6.728987395763397217e-02 7.252922058105468750e-01
3.401506543159484863e-01 9.886975288391113281e-01 7.017022967338562012e-01 7.478953599929809570e-01 1.218253746628761292e-01 8.650708794593811035e-01
2.585491240024566650e-01 9.760122895240783691e-01 1.271333098411560059e-01 6.762362122535705566e-01 6.493252515792846680e-01 9.493581056594848633e-01
2.430278509855270386e-01 9.923681616783142090e-01 2.270537614822387695e-01 8.787955641746520996e-01 3.749898672103881836e-01 9.813815355300903320e-01
2.135901153087615967e-01 2.781738638877868652e-01 9.551784396171569824e-01 3.143973350524902344e-01 3.441203534603118896e-01 3.079096972942352295e-01
3.457113504409790039e-01 9.032364487648010254e-01 9.869871139526367188e-01 2.618867754936218262e-01 6.262855529785156250e-01 1.766270399093627930e-01
3.835172951221466064e-01 8.120546340942382812e-01 5.927554368972778320e-01 9.127084016799926758e-01 2.708145976066589355e-01 2.253774106502532959e-01
1.840122044086456299e-01 7.055227160453796387e-01 5.974896550178527832e-01 2.000742405652999878e-01 5.880089402198791504e-01 3.304697275161743164e-01
7.180212736129760742e-01 9.980720281600952148e-01 4.432939887046813965e-01 4.613432586193084717e-01 7.158653140068054199e-01 1.228277534246444702e-01
3.845845460891723633e-01 4.149667918682098389e-01 7.035061717033386230e-01 2.202949076890945435e-01 3.818108737468719482e-01 4.070055484771728516e-01
6.475042104721069336e-01 4.519707858562469482e-01 9.821531176567077637e-01 6.125879287719726562e-01 3.941074311733245850e-01 2.135125994682312012e-01
2.954533994197845459e-01 7.597296237945556641e-01 9.971787929534912109e-01 8.797736167907714844e-01 1.241963729262351990e-01 1.704234778881072998e-01
8.860688656568527222e-02 2.736265957355499268e-01 9.645598530769348145e-01 8.410018086433410645e-01 5.287261009216308594e-01 5.547903776168823242e-01
1.213439777493476868e-01 2.727505862712860107e-01 9.975792765617370605e-01 3.171535432338714600e-01 5.546544790267944336e-01 2.622041702270507812e-01
4.892400801181793213e-01 6.733448505401611328e-01 3.172334432601928711e-01 5.510359406471252441e-01 1.198194697499275208e-01 2.471510767936706543e-01
1.403384059667587280e-01 9.859128594398498535e-01 5.108622312545776367e-01 4.049373269081115723e-01 7.409243583679199219e-01 4.382472634315490723e-01
1.827526688575744629e-01 9.782296419143676758e-01 1.530623584985733032e-01 9.798446893692016602e-01 6.574812531471252441e-02 5.341383814811706543e-01
9.049466848373413086e-01 1.780969947576522827e-01 5.719391703605651855e-01 9.747114181518554688e-01 4.742416441440582275e-01 6.347128152847290039e-01
4.245870113372802734e-01 2.769942283630371094e-01 9.955867528915405273e-01 9.968775510787963867e-01 5.411064028739929199e-01 8.275426030158996582e-01
5.347582697868347168e-01 5.385249257087707520e-01 6.421822309494018555e-01 5.124064683914184570e-01 7.105360031127929688e-01 4.119072258472442627e-01
5.348997712135314941e-01 9.619169235229492188e-01 9.405581951141357422e-01 5.818524360656738281e-01 3.282405138015747070e-01 6.532824039459228516e-01
6.982588171958923340e-01 6.199690699577331543e-01 2.155806720256805420e-01 5.504454970359802246e-01 5.577222704887390137e-01 8.467379808425903320e-01
5.610656142234802246e-01 9.921098351478576660e-01 1.014107987284660339e-01 8.645776510238647461e-01 9.054827094078063965e-01 3.277762830257415771e-01
3.731165826320648193e-02 9.932976365089416504e-01 4.224238395690917969e-01 4.117504358291625977e-01 9.987043142318725586e-01 4.121641218662261963e-01
3.281149268150329590e-01 1.698334962129592896e-01 9.935547709465026855e-01 1.536159068346023560e-01 3.791586458683013916e-01 3.583738505840301514e-01
5.443019419908523560e-02 8.725596666336059570e-01 9.980916380882263184e-01 8.030631542205810547e-01 2.214816063642501831e-01 9.909670948982238770e-01
2.471303641796112061e-01 9.967224001884460449e-01 9.598919153213500977e-01 7.294414639472961426e-01 4.148870110511779785e-01 2.136362940073013306e-01
2.638398110866546631e-01 9.982029199600219727e-01 5.413610935211181641e-01 9.358032941818237305e-01 2.612568736076354980e-01 4.504289925098419189e-01
4.172218143939971924e-01 9.952124357223510742e-01 3.754273951053619385e-01 9.981137514114379883e-01 9.996786117553710938e-01 5.508409142494201660e-01
1.172820776700973511e-01 5.250198245048522949e-01 8.814190626144409180e-01 7.657430171966552734e-01 6.206336021423339844e-01 5.488494038581848145e-01
1.888558864593505859e-01 6.562401652336120605e-01 2.597333490848541260e-01 4.361853301525115967e-01 8.686649799346923828e-01 5.494973063468933105e-01
