# signal_efficiencies		0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
1.000000000000000021e-02 1.438111877090987936e-02 2.321292405899109609e-02 3.661410948411556680e-03 8.377764901845365098e-02 1.882044091205641312e-01 7.348372511462970824e-02 1.370851323313167225e-01 3.987598676742287740e-01 6.427880649421152670e-01 9.270804994720648062e-02 5.793908305314958707e-01 8.682810911439763357e-01 7.360409126362569276e-01 9.063687774434629751e-02 6.751077755987805462e-01 9.590141341576893241e-01
1.497487437185929596e-02 1.127335998558879303e-02 1.062226576929537099e-02 4.577211107628253832e-03 4.277604864552846109e-02 2.326822212826190339e-01 8.644924022632748117e-02 1.737865486789040570e-01 4.873718005881682580e-01 7.889847689963279675e-01 9.873204096206883440e-02 6.823762123334782270e-01 1.063245766406618609e+00 9.065512500555021891e-01 9.846946461602051892e-02 7.926244680683204313e-01 1.174911172873995158e+00
1.994974874371859344e-02 9.554535729634053981e-03 2.057941158428666217e-03 5.870822814109181477e-03 1.272512027074835204e-02 2.703883134830954438e-01 6.715226441924705691e-02 2.145335163328759287e-01 4.622395496906117063e-01 9.074231744140286438e-01 6.581879084435610094e-02 8.215612001287543320e-01 1.053397438967817346e+00 1.048317590151257805e+00 7.106425071258878901e-02 9.544255458866898190e-01 1.212268275104497972e+00
2.492462311557788746e-02 1.008904883140388994e-02 1.559469722028631504e-03 7.091742774715262265e-03 1.169309625650984986e-02 2.973301025882106319e-01 4.481088029981530885e-02 2.242090832853251836e-01 3.985149274484466320e-01 1.040428540401113100e+00 6.223738946466093186e-02 9.115144014367801972e-01 1.123902259938843740e+00 1.193494501897014448e+00 6.435856003815457194e-02 1.055171187691403833e+00 1.281125135004480775e+00
2.989949748743718494e-02 1.252881364018105202e-02 2.739642447127993517e-03 8.357290582451996214e-03 1.861668266333624255e-02 3.342155399546613004e-01 3.794835551148703634e-02 2.501658876180596347e-01 4.034524918723429443e-01 1.155292550621420222e+00 7.065051389920724845e-02 9.932651333151560902e-01 1.246825030605251516e+00 1.325262550742212442e+00 7.353728983338281289e-02 1.149895171995656495e+00 1.425937251586703258e+00
3.487437185929648242e-02 1.293774715340696713e-02 1.973553150920107427e-03 9.745384046093437391e-03 1.557153062571585075e-02 3.674856839675744724e-01 3.424786885520893914e-02 2.860701855415442307e-01 4.038739037678282240e-01 1.254680060559441035e+00 6.915295070365201635e-02 1.087382342007651603e+00 1.314299666894740204e+00 1.438240854438880278e+00 6.976853091569960863e-02 1.267174072573877153e+00 1.500674898914713173e+00
3.984924623115577991e-02 1.439331165751316435e-02 2.088957214584814120e-03 1.102437653575879563e-02 1.776100791800146877e-02 3.976072743527667708e-01 4.301967758732637426e-02 3.053162886661682784e-01 4.476230735414420958e-01 1.360555106603547504e+00 6.911489060152391228e-02 1.204508150605761330e+00 1.436262691085935517e+00 1.557618108156799241e+00 6.914146129539489039e-02 1.399441955189987707e+00 1.635275331829891154e+00
4.482412060301507739e-02 1.503015277939916995e-02 1.883882321232628306e-03 1.210302808276138807e-02 1.793250797220000137e-02 4.184147148257691962e-01 5.587838029054008337e-02 3.243453330956418412e-01 4.939154092928447204e-01 1.422617131896951603e+00 9.878472893097321739e-02 1.233265748778774373e+00 1.550603044691095223e+00 1.625495159826300551e+00 1.007880298998202473e-01 1.437139811951018586e+00 1.761260272120148906e+00
4.979899497487437487e-02 1.658668797818321772e-02 2.119177588341142598e-03 1.318167962976397878e-02 1.913185126099091818e-02 4.407013180933791463e-01 5.183656526514555246e-02 3.574506251802085921e-01 5.385475121304991175e-01 1.492846173664810205e+00 9.161698180312657924e-02 1.336958528314101002e+00 1.658439859083672197e+00 1.712748601857847275e+00 9.219627416778891638e-02 1.554279262607871193e+00 1.879918903492705073e+00
5.477386934673367236e-02 1.714887972531505683e-02 1.904434890198507995e-03 1.426033117676656949e-02 1.997021533457484996e-02 4.542191469994748543e-01 4.310098659254054526e-02 3.771427526998317736e-01 5.276020907812813965e-01 1.556020684825180300e+00 7.793276476063805414e-02 1.437091655869559892e+00 1.691710265087138509e+00 1.789965473811311769e+00 7.894768861758760803e-02 1.666390850031697068e+00 1.925031837288621706e+00
5.974874371859296984e-02 1.844304479273619485e-02 2.247794422700669179e-03 1.550102083836907806e-02 2.232290701525811022e-02 4.676924994454386697e-01 4.025936334853578991e-02 4.042762420380623389e-01 5.338872061818147330e-01 1.624498338230645045e+00 7.712516629639133703e-02 1.500760167500878373e+00 1.728533028760758983e+00 1.861478500589641261e+00 8.075558566891408163e-02 1.740887323055416935e+00 1.972532759313556650e+00
