seed=0 AUC=0.9013327282191982, AUC0=0.7941043083900227, AUC1=0.8810199153142921, AUC2=0.9067329235870428
seed=1 AUC=0.9008437050100744, AUC0=0.8102494331065759, AUC1=0.8818167965236434, AUC2=0.9056846864654363
seed=2 AUC=0.8936196815114046, AUC0=0.7870294784580498, AUC1=0.8721951680421224, AUC2=0.8987041661449111
seed=3 AUC=0.9044812187667971, AUC0=0.8008163265306122, AUC1=0.8829543380814269, AUC2=0.9099270456354156
seed=4 AUC=0.9046935605271098, AUC0=0.797732426303855, AUC1=0.8820365699231418, AUC2=0.9104113676136228
seed=5 AUC=0.9034825850341146, AUC0=0.7873922902494331, AUC1=0.882623288477019, AUC2=0.9086363706924119
seed=6 AUC=0.907066025041866, AUC0=0.8173242630385488, AUC1=0.8828357669744268, AUC2=0.9125883353737857
seed=7 AUC=0.8976861230600726, AUC0=0.8088888888888889, AUC1=0.8784914790911894, AUC2=0.9026084846252
seed=8 AUC=0.8970457855151495, AUC0=0.7980952380952381, AUC1=0.8739073857757282, AUC2=0.90278625752751
seed=9 AUC=0.8999070237798171, AUC0=0.8234013605442178, AUC1=0.8800071976367296, AUC2=0.9052526987267785
