seed=0 AUC=0.8970287391356442, AUC0=0.7463038548752836, AUC1=0.8724114676787205, AUC2=0.9035844969776125
seed=1 AUC=0.9035532062441664, AUC0=0.7532879818594104, AUC1=0.8827211327987136, AUC2=0.9099334050165117
seed=2 AUC=0.8981020235375993, AUC0=0.7551927437641723, AUC1=0.8744301870922382, AUC2=0.9041701913195741
seed=3 AUC=0.8945209187452516, AUC0=0.7300680272108842, AUC1=0.867323562950605, AUC2=0.9015306290354128
seed=4 AUC=0.8957176473454571, AUC0=0.7205442176870748, AUC1=0.8717073359388099, AUC2=0.9022267458286289
seed=5 AUC=0.9022216380103053, AUC0=0.7407709750566893, AUC1=0.8787274633842233, AUC2=0.9086778179198975
seed=6 AUC=0.9022335635465364, AUC0=0.7408616780045353, AUC1=0.8771110057145715, AUC2=0.9082746517863705
seed=7 AUC=0.9024011862783381, AUC0=0.758639455782313, AUC1=0.8765803305354876, AUC2=0.9091963429160427
seed=8 AUC=0.9061711594120659, AUC0=0.752562358276644, AUC1=0.8854329837029571, AUC2=0.9118205319526562
seed=9 AUC=0.8999630620200851, AUC0=0.7456689342403628, AUC1=0.8786897151607056, AUC2=0.9056568273052885
