# FPR	mN=200GeV-mean	mN=200GeV-std	mN=200GeV-min	mN=200GeV-max	mN=300GeV-mean	mN=300GeV-std	mN=300GeV-min	mN=300GeV-max	mN=500GeV-mean	mN=500GeV-std	mN=500GeV-min	mN=500GeV-max	mN=700GeV-mean	mN=700GeV-std	mN=700GeV-min	mN=700GeV-max	mN=900GeV-mean	mN=900GeV-std	mN=900GeV-min	mN=900GeV-max	mN=1100GeV-mean	mN=1100GeV-std	mN=1100GeV-min	mN=1100GeV-max
2.004008016032064049e-02 5.415318889227951349e-01 5.073282968179379689e-03 5.324992371071101127e-01 5.492828806835520217e-01 5.261417963584580360e-01 6.277186459725039858e-03 5.110365171396602513e-01 5.336181466788729733e-01 5.047807954429864852e-01 6.349786868595758312e-03 4.958803783948733668e-01 5.163259078425389559e-01 4.491303021055843558e-01 6.097749625772205286e-03 4.366798901434238434e-01 4.575322957990031747e-01 3.634014850981589495e-01 6.371089001572882368e-03 3.538805818329773256e-01 3.735123588648153747e-01 2.311870613365883675e-01 7.436323635361286911e-03 2.222561285728817115e-01 2.449394771640728274e-01
2.204408817635270315e-02 5.572169667378699121e-01 7.616169440375709747e-03 5.447055233445223799e-01 5.720679483267215870e-01 5.429661275556912914e-01 8.736292835302703411e-03 5.265995320923608780e-01 5.607771335571152260e-01 5.216051266402196296e-01 8.265629077032758676e-03 5.136812124910995481e-01 5.386023802258163018e-01 4.668294171498321710e-01 6.657463384655242303e-03 4.594649577865934087e-01 4.829620587936120368e-01 3.811514596683958644e-01 7.136220415667445319e-03 3.729020445529447891e-01 3.938561692605024867e-01 2.471976401179941107e-01 6.959516143644913465e-03 2.380225816295392094e-01 2.577560777133557357e-01
2.404809619238476581e-02 5.710202420913437216e-01 7.758976998211698090e-03 5.603702573492015393e-01 5.858000203438104014e-01 5.572008629200216889e-01 8.137511880539351553e-03 5.448072423965009126e-01 5.726189435120877524e-01 5.355813243820567449e-01 8.923729586571081673e-03 5.241582748448784246e-01 5.521310141389482729e-01 4.826060421116874499e-01 7.405573129884464659e-03 4.722815583358763170e-01 4.981181975383989213e-01 3.972128979757908462e-01 7.544921114406561054e-03 3.863289594140982830e-01 4.095209032651815906e-01 2.618858712236801223e-01 7.361986219635973522e-03 2.513477774387142816e-01 2.709795544705523307e-01
2.605210420841683194e-02 5.834401383379107520e-01 7.306487363007302567e-03 5.759332723019021660e-01 5.990234971010069964e-01 5.707150849354085675e-01 8.001229939286699094e-03 5.618960431288780866e-01 5.874275251754653704e-01 5.490794425795950673e-01 9.219585035474741827e-03 5.365679991862475351e-01 5.674905909876919452e-01 4.969484284406469610e-01 7.919760729581490355e-03 4.856067541450513891e-01 5.142915268029701892e-01 4.117383785983113609e-01 8.671547689679806256e-03 3.980266503916183307e-01 4.267114230495371863e-01 2.761977418370460957e-01 9.500477774253829680e-03 2.628420303122774859e-01 2.897975790865628953e-01
2.805611222444889460e-02 5.949750788322653028e-01 7.980221049552101154e-03 5.819346963686298224e-01 6.097039975587427163e-01 5.827077611636659604e-01 9.002705019184603294e-03 5.705421625470450397e-01 5.977011494252874035e-01 5.617434645509103985e-01 9.187235268011148190e-03 5.440952090326518498e-01 5.766453056657512288e-01 5.104160309225918013e-01 9.713232112268998381e-03 4.920150544196927878e-01 5.253789034686197068e-01 4.258671549181161642e-01 9.991695289866606502e-03 4.079951174855050433e-01 4.400366188587122585e-01 2.892177804902857918e-01 1.072729045002392481e-02 2.698606448987895257e-01 3.059709083511341632e-01
3.006012024048096073e-02 6.072729122164581828e-01 8.274887078928217995e-03 5.954633302817617935e-01 6.200793408605431711e-01 5.947004373919234643e-01 8.294220399168867816e-03 5.836639202522632131e-01 6.066524259993897328e-01 5.749059098769199183e-01 8.340273769501168125e-03 5.595565049333740548e-01 5.855965822398535581e-01 5.242193062760654998e-01 9.033453619471809234e-03 5.085952598921777978e-01 5.379920659139456607e-01 4.404943545926151560e-01 9.681628771880121734e-03 4.230495371783135061e-01 4.541755670837147596e-01 3.036517139660258602e-01 1.026675339845209943e-02 2.856270979554470513e-01 3.204150137320720404e-01
3.206412825651302340e-02 6.184416641236902823e-01 8.665060299445203479e-03 6.061438307394975133e-01 6.338114128776319856e-01 6.064795036110263160e-01 8.748199210508032786e-03 5.942427016580205112e-01 6.202827789645000145e-01 5.858610517749973656e-01 8.281355275092624688e-03 5.724748245346353848e-01 5.980063065812226686e-01 5.367816091954022983e-01 8.880772310214208806e-03 5.221238938053097689e-01 5.527413284508188029e-01 4.536364561082290581e-01 1.002653214040765892e-02 4.355609805716610938e-01 4.691282677245448007e-01 3.168345031024311087e-01 9.791884036933137803e-03 2.992574509205574440e-01 3.324178618655274087e-01
3.406813627254508953e-02 6.275556911809582195e-01 7.738172836315776806e-03 6.152985454175566860e-01 6.430678466076695798e-01 6.162547045061540496e-01 7.280299101150902383e-03 6.058386735835622483e-01 6.284203031227748593e-01 5.964296612755569660e-01 7.051742515248934397e-03 5.836639202522632131e-01 6.071610212592818412e-01 5.470043739192350651e-01 8.131316928694981572e-03 5.328043942630454888e-01 5.618960431288780866e-01 4.656596480520802106e-01 8.653230843761227156e-03 4.487844573288576888e-01 4.784864205065608722e-01 3.282372088292137002e-01 9.237126096354436600e-03 3.092259180144441011e-01 3.404536669718238318e-01
3.607214428857714872e-02 6.362424982199166301e-01 8.087969601621386798e-03 6.258773268233139841e-01 6.538500661173838324e-01 6.243413691384397390e-01 8.175130528321850748e-03 6.148916692096429992e-01 6.388973654765537358e-01 6.046282168650188860e-01 6.815852045760662468e-03 5.930220730342793400e-01 6.165191740412979682e-01 5.568202624351541452e-01 8.558852834718234243e-03 5.446038042925439582e-01 5.734920150544197126e-01 4.758417251551215754e-01 8.406573496962497713e-03 4.616010578781405971e-01 4.913030210558437805e-01 3.382158478282981662e-01 9.536561209523359423e-03 3.191943851083308137e-01 3.509307293256027083e-01
3.807615230460921485e-02 6.438103956871121802e-01 7.672887289934209216e-03 6.335062557216967205e-01 6.604618044959821299e-01 6.320923608991964038e-01 7.835332145901105841e-03 6.232326314718746874e-01 6.465262943749364721e-01 6.130912419896247245e-01 6.865553767955338144e-03 6.029905401281659971e-01 6.276065507069473748e-01 5.661682433119723523e-01 8.675746686237462493e-03 5.548774285423659913e-01 5.849862679279829170e-01 4.856677855762382978e-01 8.677440024447343261e-03 4.713660868680704108e-01 5.019835215135795004e-01 3.478588139558539405e-01 9.558322332234202995e-03 3.298748855660665336e-01 3.611026345234462642e-01
