# mN	mSQ	0sq(mean)	1sq(mean)	2sq(mean)	S-comb(mean)	0sq(std)	1sq(std)	2sq(std)	S-comb(std)	0sq(min)	1sq(min)	2sq(min)	S-comb(min)	0sq(max)	1sq(max)	2sq(max)	S-comb(max)
2.000000000000000000e+02 2.000000000000000000e+03 4.055388143581969973e-02 1.125825411025654699e+00 4.202774234440678214e+00 5.001264339638579415e+00 2.228941265235835634e-02 5.746054853339382928e-02 8.831811346427916043e-02 9.148109635937334838e-02 3.745949165528490721e-02 1.106064830169694924e+00 4.144300938946889445e+00 4.954918861168814637e+00 8.675613020073444370e-02 1.173866489720318596e+00 4.328052088314932710e+00 5.141020452564882603e+00
2.000000000000000000e+02 2.200000000000000000e+03 2.734413041208812872e-02 6.896192082484843278e-01 3.239259964507260836e+00 3.728457007731120321e+00 2.092469955504131125e-03 9.075250794196092208e-02 1.161768413045531079e-01 1.013998559038264136e-01 2.582933376862367458e-02 6.650691478371030252e-01 3.175581912123111916e+00 3.657929924364867524e+00 3.035813662408890987e-02 7.467875474725022000e-01 3.342214633128076873e+00 3.819582728106505343e+00
2.000000000000000000e+02 2.300000000000000000e+03 1.292025132031430004e-02 5.939395718583238004e-01 2.849142720058694067e+00 3.260590839429348797e+00 1.348141445103608451e-03 1.037565971932788017e-01 1.176973472655288289e-01 1.135540233408275368e-01 1.156996647377380588e-02 5.724731839828738345e-01 2.792519039376948342e+00 3.211394598455689309e+00 1.530636782417271052e-02 6.259077989776182793e-01 2.942825480333326027e+00 3.370538827813593485e+00
2.000000000000000000e+02 2.700000000000000000e+03 1.719186412420959514e-02 1.754453262744202768e-01 1.069817483259809521e+00 1.214499496075566842e+00 2.436932086374764966e-02 6.615868177928252436e-02 1.140394844552235498e-01 1.242082030748925675e-01 5.907427396127572401e-03 1.544461960330933969e-01 9.651805650129857694e-01 1.093571443282862932e+00 6.596389785641150472e-02 2.255319982416363056e-01 1.235889885511567865e+00 1.392991590235780563e+00
2.000000000000000000e+02 3.000000000000000000e+03 1.550683310992551339e-03 5.314599388048677625e-02 4.063127900142810556e-01 4.543434306578367776e-01 1.869702866167861661e-04 3.811380168090865161e-02 8.928847510907442220e-02 8.822326218043818891e-02 1.403692180341815487e-03 4.594206166421319765e-02 3.410646066204516824e-01 3.837580354706969232e-01 1.777510844462768316e-03 1.093797296515274242e-01 5.657097817455117861e-01 6.236687897807637881e-01
3.000000000000000000e+02 2.000000000000000000e+03 3.647520961301490422e-02 1.031014330852807692e+00 4.181486202487300297e+00 4.909364694030155185e+00 3.370881894558914321e-02 5.062931368510553698e-02 1.000416839313370554e-01 1.068779937695231580e-01 3.252927266076876406e-02 1.005755010421379492e+00 4.118341103968830019e+00 4.860239796474672858e+00 1.047479988820340241e-01 1.062853149678109510e+00 4.308825771795264714e+00 5.064698585130380515e+00
3.000000000000000000e+02 2.200000000000000000e+03 2.274030632369018756e-02 6.829174466444732916e-01 3.153617081587946291e+00 3.665953612587796506e+00 1.904101630015393384e-02 9.484414909264424209e-02 1.062402423283853314e-01 1.105009814119458783e-01 2.016480168904883838e-02 6.613288503697083431e-01 3.100324514593019387e+00 3.587048855216875332e+00 7.047417604832720284e-02 7.293191441443156453e-01 3.231992274695688838e+00 3.735194262998970505e+00
3.000000000000000000e+02 2.300000000000000000e+03 1.953416703930382567e-02 5.139489383773740983e-01 2.707861991768637289e+00 3.090687037713573115e+00 2.610114216597032508e-02 8.808758894013724028e-02 1.121308040400119110e-01 1.046043866449923587e-01 1.730434327741006001e-02 4.985002140052881558e-01 2.661421958319299286e+00 3.034848878348705981e+00 9.775339852179454336e-02 5.473137520041472248e-01 2.801756062862054808e+00 3.183053860744254226e+00
3.000000000000000000e+02 2.700000000000000000e+03 6.095521989691098617e-03 1.799018345048319367e-01 1.083713950135043680e+00 1.230177272957245105e+00 6.851328770260841066e-04 7.335226428513690056e-02 1.143733568142465407e-01 1.200187688337348429e-01 5.522909379370137192e-03 1.630705999899806358e-01 9.810604522124570792e-01 1.111157191034146674e+00 6.890550637524936115e-03 2.434669337630272490e-01 1.258950902523152671e+00 1.411504186694087615e+00
3.000000000000000000e+02 3.000000000000000000e+03 6.058909671140443910e-03 5.147434127953457589e-02 3.946812566627184715e-01 4.417174537236455700e-01 5.382290712470891823e-03 3.969153086758323706e-02 7.822787791249952161e-02 8.481896786848724945e-02 2.468496848597638918e-03 4.088924064482135634e-02 3.319780316246541130e-01 3.736799130057684160e-01 1.149759113476302164e-02 1.048716917932244475e-01 5.413291738073968684e-01 6.001999701634536111e-01
