seed=0 AUC=0.9081159954016076, AUC0=0.8169614512471656, AUC1=0.8979542778695366, AUC2=0.9116019689761552
seed=1 AUC=0.9093338240935177, AUC0=0.8301133786848073, AUC1=0.8942099088391982, AUC2=0.9128101841167601
seed=2 AUC=0.9129142567318769, AUC0=0.8205895691609978, AUC1=0.9003979542778695, AUC2=0.9164526709918046
seed=3 AUC=0.907705891386055, AUC0=0.8037188208616781, AUC1=0.8963544942618069, AUC2=0.9106640456426596
seed=4 AUC=0.9065765479555643, AUC0=0.8154195011337869, AUC1=0.8944680094226976, AUC2=0.9099388899180266
seed=5 AUC=0.9063789935830013, AUC0=0.8128798185941044, AUC1=0.8958815993389662, AUC2=0.9095006462869804
seed=6 AUC=0.9066251301371542, AUC0=0.8009977324263039, AUC1=0.8894000209352112, AUC2=0.910866278101065
seed=7 AUC=0.9101078925644865, AUC0=0.8175056689342404, AUC1=0.8973621170871156, AUC2=0.9136623360092064
seed=8 AUC=0.9058865437744199, AUC0=0.8035374149659865, AUC1=0.8941333702632928, AUC2=0.909343048508262
seed=9 AUC=0.9143232508687469, AUC0=0.8346485260770974, AUC1=0.9029368117896733, AUC2=0.9179580125614594
