Cut	Eff
Njets (30 GeV) > 1	0.932
leading jet PT > 520	0.8369
2nd jet PT > 320	0.6331
MET > 820	0.4135
lepton veto (pT>7 GeV) and |eta| < 2.7	0.4133
leading jet |eta| < 2.0	0.4129
2nd jet |eta| < 2.0	0.4047
dphi[j(1,2,3),pTmiss] > 0.8	0.3687
dphi[j(>3),pTmiss] > 0.4	0.3606
MET/sqrt(HT) > 16	0.3577
Meff > 1600	0.3577
Njets < 5 	0.3294
