Cut	Eff
Njets (30 GeV) > 1	0.9691
leading jet PT > 520	0.9351
2nd jet PT > 320	0.8352
MET > 820	0.5814
lepton veto (pT>7 GeV) and |eta| < 2.7	0.5811
leading jet |eta| < 2.0	0.5809
2nd jet |eta| < 2.0	0.572
dphi[j(1,2,3),pTmiss] > 0.8	0.5377
dphi[j(>3),pTmiss] > 0.4	0.533
MET/sqrt(HT) > 16	0.5298
Meff > 1600	0.5298
Njets < 5 	0.5115
