Cut	Eff
Njets (30 GeV) > 1	0.9751
leading jet PT > 520	0.9359
2nd jet PT > 320	0.8356
MET > 820	0.5369
lepton veto (pT>7 GeV) and |eta| < 2.7	0.5367
leading jet |eta| < 2.0	0.5364
2nd jet |eta| < 2.0	0.5298
dphi[j(1,2,3),pTmiss] > 0.8	0.5008
dphi[j(>3),pTmiss] > 0.4	0.4975
MET/sqrt(HT) > 16	0.4951
Meff > 1600	0.4951
Njets < 5 	0.4826
