Cut	Eff
Njets (30 GeV) > 1	0.9764
leading jet PT > 520	0.7649
2nd jet PT > 320	0.5801
MET > 820	0.0827
lepton veto (pT>7 GeV) and |eta| < 2.7	0.0825
leading jet |eta| < 2.0	0.0821
2nd jet |eta| < 2.0	0.0796
dphi[j(1,2,3),pTmiss] > 0.8	0.0649
dphi[j(>3),pTmiss] > 0.4	0.0607
MET/sqrt(HT) > 16	0.0605
Meff > 1600	0.0605
Njets < 5 	0.0487
