Cut	Eff
Njets (30 GeV) > 1	0.9415
leading jet PT > 520	0.7937
2nd jet PT > 320	0.5636
MET > 820	0.2474
lepton veto (pT>7 GeV) and |eta| < 2.7	0.2473
leading jet |eta| < 2.0	0.2468
2nd jet |eta| < 2.0	0.2407
dphi[j(1,2,3),pTmiss] > 0.8	0.2118
dphi[j(>3),pTmiss] > 0.4	0.2041
MET/sqrt(HT) > 16	0.2027
Meff > 1600	0.2027
Njets < 5 	0.178
