Cut	Eff
Njets (30 GeV) > 1	0.9242
leading jet PT > 520	0.7892
2nd jet PT > 320	0.5455
MET > 820	0.2895
lepton veto (pT>7 GeV) and |eta| < 2.7	0.2894
leading jet |eta| < 2.0	0.2888
2nd jet |eta| < 2.0	0.2822
dphi[j(1,2,3),pTmiss] > 0.8	0.2493
dphi[j(>3),pTmiss] > 0.4	0.2408
MET/sqrt(HT) > 16	0.2391
Meff > 1600	0.2391
Njets < 5 	0.2104
