Cut	Eff
Njets (30 GeV) > 1	0.9776
leading jet PT > 520	0.9203
2nd jet PT > 320	0.8126
MET > 820	0.4509
lepton veto (pT>7 GeV) and |eta| < 2.7	0.4506
leading jet |eta| < 2.0	0.4504
2nd jet |eta| < 2.0	0.4468
dphi[j(1,2,3),pTmiss] > 0.8	0.4255
dphi[j(>3),pTmiss] > 0.4	0.4238
MET/sqrt(HT) > 16	0.4228
Meff > 1600	0.4228
Njets < 5 	0.4161
