Cut	Eff
Njets (30 GeV) > 1	0.9766
leading jet PT > 520	0.9336
2nd jet PT > 320	0.8326
MET > 820	0.5126
lepton veto (pT>7 GeV) and |eta| < 2.7	0.5123
leading jet |eta| < 2.0	0.512
2nd jet |eta| < 2.0	0.5066
dphi[j(1,2,3),pTmiss] > 0.8	0.4797
dphi[j(>3),pTmiss] > 0.4	0.4774
MET/sqrt(HT) > 16	0.4757
Meff > 1600	0.4757
Njets < 5 	0.4642
