Cut	Eff
Njets (30 GeV) > 1	0.9763
leading jet PT > 520	0.7661
2nd jet PT > 320	0.5818
MET > 820	0.0878
lepton veto (pT>7 GeV) and |eta| < 2.7	0.0875
leading jet |eta| < 2.0	0.0871
2nd jet |eta| < 2.0	0.0848
dphi[j(1,2,3),pTmiss] > 0.8	0.0694
dphi[j(>3),pTmiss] > 0.4	0.065
MET/sqrt(HT) > 16	0.0647
Meff > 1600	0.0647
Njets < 5 	0.053
