Cut	Eff
Njets (30 GeV) > 1	0.965
leading jet PT > 520	0.794
2nd jet PT > 320	0.5955
MET > 820	0.1833
lepton veto (pT>7 GeV) and |eta| < 2.7	0.1831
leading jet |eta| < 2.0	0.1826
2nd jet |eta| < 2.0	0.1781
dphi[j(1,2,3),pTmiss] > 0.8	0.1544
dphi[j(>3),pTmiss] > 0.4	0.1484
MET/sqrt(HT) > 16	0.1478
Meff > 1600	0.1478
Njets < 5 	0.1306
