Cut	Eff
Njets (30 GeV) > 1	0.9682
leading jet PT > 520	0.913
2nd jet PT > 320	0.7961
MET > 820	0.5035
lepton veto (pT>7 GeV) and |eta| < 2.7	0.5032
leading jet |eta| < 2.0	0.5029
2nd jet |eta| < 2.0	0.4956
dphi[j(1,2,3),pTmiss] > 0.8	0.4639
dphi[j(>3),pTmiss] > 0.4	0.46
MET/sqrt(HT) > 16	0.4574
Meff > 1600	0.4574
Njets < 5 	0.441
