Cut	Eff
Njets (30 GeV) > 1	0.9583
leading jet PT > 520	0.8619
2nd jet PT > 320	0.6964
MET > 820	0.3886
lepton veto (pT>7 GeV) and |eta| < 2.7	0.3885
leading jet |eta| < 2.0	0.3881
2nd jet |eta| < 2.0	0.3812
dphi[j(1,2,3),pTmiss] > 0.8	0.3506
dphi[j(>3),pTmiss] > 0.4	0.3449
MET/sqrt(HT) > 16	0.3429
Meff > 1600	0.3429
Njets < 5 	0.3229
