Cut	Eff
Njets (30 GeV) > 1	0.9645
leading jet PT > 520	0.7898
2nd jet PT > 320	0.5915
MET > 820	0.1769
lepton veto (pT>7 GeV) and |eta| < 2.7	0.1767
leading jet |eta| < 2.0	0.1761
2nd jet |eta| < 2.0	0.1716
dphi[j(1,2,3),pTmiss] > 0.8	0.1497
dphi[j(>3),pTmiss] > 0.4	0.144
MET/sqrt(HT) > 16	0.1433
Meff > 1600	0.1433
Njets < 5 	0.1255
