# mN	mSQ	0sq(mean)	1sq(mean)	2sq(mean)	S-comb(mean)	0sq(std)	1sq(std)	2sq(std)	S-comb(std)	0sq(min)	1sq(min)	2sq(min)	S-comb(min)	0sq(max)	1sq(max)	2sq(max)	S-comb(max)
2.000000000000000000e+02 2.000000000000000000e+03 4.089325941541493287e-02 1.173039749784442032e+00 4.392479604040447683e+00 5.199159008973698981e+00 3.456739973382597780e-02 1.518227743227720805e-01 1.412546012913667992e-01 1.419485949099525413e-01 3.733058144676258683e-02 1.141948166897338579e+00 4.306882015784282203e+00 5.108793291610246534e+00 1.380186439450993563e-01 1.247666664226107613e+00 4.606872319576267749e+00 5.390889845857468998e+00
2.000000000000000000e+02 2.200000000000000000e+03 2.822817087307384967e-02 7.234602347115570709e-01 3.382761998900622125e+00 3.877904451975240363e+00 3.006860158899139161e-03 1.503301222749186261e-01 1.480274722957875266e-01 1.442966437291933468e-01 2.588616616596659675e-02 6.871942457713984265e-01 3.292166685822574657e+00 3.765388023470558565e+00 3.396126431836921089e-02 8.208129007567608326e-01 3.565600334481768829e+00 4.064667935587733538e+00
2.000000000000000000e+02 2.300000000000000000e+03 1.167162355382527460e-02 6.252272970940377927e-01 2.962927307717136749e+00 3.387756851446094508e+00 2.199379992276364378e-03 1.427883638209111461e-01 1.485023991358543349e-01 1.467452885487712244e-01 1.080898158956358247e-02 5.954731786521492154e-01 2.886619782963578906e+00 3.311476923242060000e+00 1.425446138112708601e-02 7.178225930984504233e-01 3.148733192755390320e+00 3.556763566954995515e+00
2.000000000000000000e+02 2.700000000000000000e+03 4.585641737074412638e-02 1.981374591457350232e-01 1.119463474820630022e+00 1.267126071275828103e+00 3.267526284859557928e-02 1.033273170727334461e-01 1.562021554438828286e-01 1.583644752249650234e-01 6.089506737423299246e-03 1.553825152616668814e-01 1.024612030556945275e+00 1.158000497157964048e+00 8.892778457997629893e-02 3.570804774836417450e-01 1.256063462817869514e+00 1.413627913268362235e+00
2.000000000000000000e+02 3.000000000000000000e+03 1.520528311152346667e-03 9.820301194475236639e-02 4.300646547566689404e-01 4.807467768570626854e-01 2.068713402142504537e-04 6.351290000610632092e-02 1.390371210896201581e-01 1.393304203470699665e-01 1.359740171232504211e-03 4.838882391957637780e-02 3.534429727081395134e-01 3.973433169597109793e-01 1.923924912764190870e-03 1.888609105474650107e-01 5.760535052032800252e-01 6.032149423832311452e-01
3.000000000000000000e+02 2.000000000000000000e+03 5.383401486070099606e-02 1.091717833059005827e+00 4.371276820696499144e+00 5.122401927645967135e+00 5.003505317975643490e-02 1.203252744783984557e-01 1.363873201798294077e-01 1.336159150521961381e-01 3.210997472848364093e-02 1.046789036510172632e+00 4.298885196062344427e+00 5.025676518776609925e+00 1.498758155888105792e-01 1.159454991460256101e+00 4.535673359553636708e+00 5.271567227162369029e+00
3.000000000000000000e+02 2.200000000000000000e+03 4.677443232922942618e-02 7.341890641805083328e-01 3.296684640044136305e+00 3.807455639966959460e+00 3.306203889522087158e-02 1.295394136126938045e-01 1.483805611702536109e-01 1.404232343174970921e-01 2.005334917295738956e-02 7.068085051347876568e-01 3.200795279900814361e+00 3.700654222042931707e+00 1.185229000742474559e-01 8.198202516762321812e-01 3.451417555636763890e+00 3.969344584581813162e+00
3.000000000000000000e+02 2.300000000000000000e+03 5.390074129134186931e-02 5.368920634853668883e-01 2.834107767944234801e+00 3.219776079422437043e+00 5.467752191520290628e-02 1.400716040955927444e-01 1.492762056878978449e-01 1.448023786735949947e-01 1.704356642544003694e-02 5.158002024463863577e-01 2.769175412236445144e+00 3.143516336789936805e+00 1.373315842945045384e-01 6.358549401107671528e-01 3.017855350283341842e+00 3.394027427615295522e+00
3.000000000000000000e+02 2.700000000000000000e+03 6.525799538863795261e-03 2.034001020855754072e-01 1.121605233128420309e+00 1.268275721803217904e+00 1.109573030663867912e-03 1.070542754748381453e-01 1.587463443365222937e-01 1.608262436516831317e-01 5.354196905482866940e-03 1.650958448368805287e-01 1.015787684905466781e+00 1.158721618261600028e+00 8.043118814879884199e-03 3.602043795517992919e-01 1.246032798198765557e+00 1.401405599860630957e+00
3.000000000000000000e+02 3.000000000000000000e+03 4.346993741510869584e-03 9.484914442958505831e-02 4.140828386588647492e-01 4.642090597676750141e-01 6.991820551159802846e-03 6.338023918882698671e-02 1.391949653919099805e-01 1.400496602829736648e-01 2.492786095511062474e-03 4.219253531784223493e-02 3.466358245817680594e-01 3.868398770512940787e-01 2.400368664600198432e-02 1.792639769280235107e-01 5.702876314525260337e-01 5.949014304645301454e-01
5.000000000000000000e+02 2.000000000000000000e+03 3.818042050338293220e-02 9.251686245737251735e-01 3.898602574829303169e+00 4.574674789428988753e+00 7.892150905688202073e-03 1.197191818105320243e-01 1.439617721368577352e-01 1.372001961855173480e-01 3.401811574627990747e-02 8.859116291243200880e-01 3.828703329506064623e+00 4.479902763277638478e+00 4.702141779785647124e-02 9.752523347665517095e-01 4.050269381422998194e+00 4.761653321919272486e+00
5.000000000000000000e+02 2.200000000000000000e+03 1.195122944512072051e-02 6.471234693650979031e-01 3.102945990669639720e+00 3.562139574604383796e+00 1.502796520551125895e-03 1.309603154562426486e-01 1.499345165813720515e-01 1.488708328474292464e-01 1.043533027886555178e-02 6.204245192979331858e-01 3.000776036187851492e+00 3.475426422324383147e+00 1.373909713808963221e-02 7.162301682838350114e-01 3.250558645389921342e+00 3.721373003242416821e+00
5.000000000000000000e+02 2.300000000000000000e+03 7.736777739736638848e-02 5.008236112622965752e-01 2.649775818620521139e+00 3.022970994604061268e+00 5.589948583576165309e-02 1.272472792037956657e-01 1.527135225598421353e-01 1.497871700008001072e-01 2.178087597745883425e-02 4.805737213335091740e-01 2.587749433029479018e+00 2.948606797701489590e+00 1.331454736997651211e-01 5.837210341349021725e-01 2.833292812444488273e+00 3.175244478247372992e+00
5.000000000000000000e+02 2.700000000000000000e+03 8.941874185622304683e-03 1.608464581931600967e-01 1.119490941083700175e+00 1.240469934952376896e+00 1.480068267319589043e-02 9.849579404729374987e-02 1.593403307980456318e-01 1.567958472278472570e-01 2.850164796035207452e-03 1.442075437477504940e-01 1.022095662921650883e+00 1.143178726905396125e+00 3.856517162723720887e-02 2.777863317608975091e-01 1.255744447298708710e+00 1.399749850454550471e+00
5.000000000000000000e+02 3.000000000000000000e+03 7.935473653371705877e-03 9.275884700286883555e-02 4.232722935218829474e-01 4.714247947539412786e-01 1.197395987601917663e-02 5.907849511453321101e-02 1.383108498845677103e-01 1.405991946463809594e-01 1.133066338123831299e-03 4.555506478199325415e-02 3.442132974265613710e-01 3.854078924482529089e-01 4.029569649122984737e-02 1.860916553074546398e-01 5.445777560302846876e-01 5.870730134339736672e-01
7.000000000000000000e+02 2.000000000000000000e+03 2.853479022593480297e-02 7.336310700263795059e-01 3.149018358374079174e+00 3.745255244443163267e+00 2.110573580949986691e-02 4.052582369446618149e-02 1.224848059341552553e-01 1.358680519755234850e-01 2.624477746666935979e-02 7.029168374804424246e-01 3.035674313817662284e+00 3.621141961446775248e+00 7.984115210673645158e-02 7.579364902797104397e-01 3.284703436923763320e+00 3.887105538190833265e+00
