# bkg-pred	mb=200GeV-pred	mb=300GeV-pred	mb=500GeV-pred	mb=700GeV-pred	mb=900GeV-pred	mb=1100GeV-pred
8.997290581464767456e-02 3.957941830158233643e-01 9.984434247016906738e-01 9.446610212326049805e-01 9.962276220321655273e-01 9.950228929519653320e-01 8.613053560256958008e-01
1.316986978054046631e-01 4.962928593158721924e-01 9.978943467140197754e-01 9.100311398506164551e-01 9.747102856636047363e-01 7.373514771461486816e-01 2.862090766429901123e-01
2.964133024215698242e-01 9.700279831886291504e-01 9.244300127029418945e-01 7.261102199554443359e-01 9.770689606666564941e-01 1.151770427823066711e-01 7.696016430854797363e-01
5.130473375320434570e-01 9.135052561759948730e-01 7.643406391143798828e-01 2.953297197818756104e-01 7.526524662971496582e-01 9.403114914894104004e-01 8.887900114059448242e-01
6.833286285400390625e-01 9.940742850303649902e-01 9.926900267601013184e-01 9.982767105102539062e-01 9.709953069686889648e-01 9.798509478569030762e-01 8.906109333038330078e-01
2.308129221200942993e-01 9.999623298645019531e-01 9.989934563636779785e-01 6.147744879126548767e-02 9.974224567413330078e-01 8.683676123619079590e-01 8.738316297531127930e-01
1.710159033536911011e-01 9.997834563255310059e-01 9.830799102783203125e-01 9.854452013969421387e-01 8.364326357841491699e-01 8.447783589363098145e-01 9.154412150382995605e-01
6.169598922133445740e-02 9.565798044204711914e-01 9.757766127586364746e-01 8.808951973915100098e-01 9.668046236038208008e-01 9.471647143363952637e-01 8.199639916419982910e-01
3.076997399330139160e-01 1.730431765317916870e-01 6.749564409255981445e-01 6.265894770622253418e-01 9.926389455795288086e-01 9.971026778221130371e-01 7.948000431060791016e-01
1.707258373498916626e-01 9.617322087287902832e-01 9.881738424301147461e-01 9.550961852073669434e-01 2.909839749336242676e-01 9.955513477325439453e-01 9.491443634033203125e-01
7.144296765327453613e-01 9.963492155075073242e-01 9.689992666244506836e-01 3.181494176387786865e-01 9.957811832427978516e-01 9.565705060958862305e-01 6.422993540763854980e-01
4.070994257926940918e-01 9.875783324241638184e-01 9.960418939590454102e-01 7.174305915832519531e-01 4.539450705051422119e-01 7.755904793739318848e-01 7.136931419372558594e-01
1.668087989091873169e-01 9.974531531333923340e-01 9.906411767005920410e-01 9.980243444442749023e-01 9.549232125282287598e-01 2.665832042694091797e-01 2.986724972724914551e-01
8.837776780128479004e-01 8.682640194892883301e-01 9.411080479621887207e-01 9.997830986976623535e-01 9.887228012084960938e-01 8.542326092720031738e-01 2.419018298387527466e-01
4.550706148147583008e-01 6.040613055229187012e-01 9.138503670692443848e-01 9.987961053848266602e-01 5.322567224502563477e-01 2.921286821365356445e-01 4.653377830982208252e-01
6.585342288017272949e-01 8.140855431556701660e-01 4.707502126693725586e-01 9.812875390052795410e-01 4.283129870891571045e-01 5.723109841346740723e-01 5.346304774284362793e-01
2.840557694435119629e-01 9.927211403846740723e-01 4.520825147628784180e-01 9.989153146743774414e-01 5.694511532783508301e-01 8.727127313613891602e-01 5.161171555519104004e-01
3.970998525619506836e-02 9.723404049873352051e-01 8.802069425582885742e-01 9.571797251701354980e-01 9.370973706245422363e-01 4.505126476287841797e-01 8.534789085388183594e-01
3.211513459682464600e-01 9.973618388175964355e-01 9.591467380523681641e-01 4.359183311462402344e-01 5.937782526016235352e-01 8.277785181999206543e-01 1.490779370069503784e-01
