# bkg-pred	mh=200GeV-pred	mh=300GeV-pred	mh=500GeV-pred	mh=700GeV-pred	mh=900GeV-pred	mh=1100GeV-pred
2.031626850366592407e-01 7.215595841407775879e-01 4.382487237453460693e-01 9.988762736320495605e-01 9.979889392852783203e-01 5.409773588180541992e-01 8.089743256568908691e-01
2.603197395801544189e-01 6.884429454803466797e-01 4.639997482299804688e-01 8.341076970100402832e-01 2.612763345241546631e-01 9.979119896888732910e-01 9.980893731117248535e-01
4.705730974674224854e-01 8.481934070587158203e-01 7.543600797653198242e-01 9.700666666030883789e-01 2.807531952857971191e-01 8.243761658668518066e-01 5.241937041282653809e-01
1.380793154239654541e-01 9.967393279075622559e-01 6.973274350166320801e-01 9.957537651062011719e-01 8.397257328033447266e-01 8.785846829414367676e-01 9.145001173019409180e-01
9.307326674461364746e-01 9.980069994926452637e-01 3.628834187984466553e-01 9.998720884323120117e-01 9.519154429435729980e-01 6.368217468261718750e-01 7.569482326507568359e-01
2.317914217710494995e-01 9.871310591697692871e-01 9.986334443092346191e-01 6.252207159996032715e-01 9.796320796012878418e-01 6.142855286598205566e-01 6.091756224632263184e-01
1.028773933649063110e-01 1.324990540742874146e-01 6.681706309318542480e-01 9.668900966644287109e-01 5.717158317565917969e-01 9.586523771286010742e-01 6.485517024993896484e-01
2.725638747215270996e-01 4.106953740119934082e-01 9.990931749343872070e-01 9.081943631172180176e-01 8.469859957695007324e-01 6.158086061477661133e-01 8.926779627799987793e-01
1.455908417701721191e-01 4.382611066102981567e-02 3.459848165512084961e-01 9.995139837265014648e-01 6.528080105781555176e-01 9.994851350784301758e-01 5.912712216377258301e-01
3.475331366062164307e-01 9.854809641838073730e-01 8.983266949653625488e-01 9.996613264083862305e-01 9.734703302383422852e-01 2.150398939847946167e-01 9.304466247558593750e-01
6.286042332649230957e-01 7.190129160881042480e-01 2.579924464225769043e-01 6.113061308860778809e-01 9.898930191993713379e-01 6.679370403289794922e-01 9.527645707130432129e-01
4.050593376159667969e-01 8.398858904838562012e-01 4.446354508399963379e-01 8.789449930191040039e-01 1.881228536367416382e-01 9.814108014106750488e-01 5.639101862907409668e-01
4.046516120433807373e-01 7.751698046922683716e-02 9.995156526565551758e-01 9.912988543510437012e-01 9.386541843414306641e-01 9.406756758689880371e-01 9.849715828895568848e-01
5.543917417526245117e-01 7.317704558372497559e-01 3.509166836738586426e-01 8.578448295593261719e-01 4.191635847091674805e-01 9.527119994163513184e-01 9.341573715209960938e-01
3.856929540634155273e-01 9.662612676620483398e-01 7.385966181755065918e-01 9.966623783111572266e-01 1.529238671064376831e-01 9.927910566329956055e-01 7.935450673103332520e-01
1.673012524843215942e-01 4.809641838073730469e-01 9.933775067329406738e-01 4.077456891536712646e-01 9.186684489250183105e-01 9.556458592414855957e-01 4.745772480964660645e-01
3.046814501285552979e-01 2.749242484569549561e-01 8.970096111297607422e-01 9.925049543380737305e-01 5.742205977439880371e-01 9.972503781318664551e-01 6.927097439765930176e-01
4.345923066139221191e-01 4.880003929138183594e-01 9.936018586158752441e-01 5.243809223175048828e-01 8.500217795372009277e-01 6.206625103950500488e-01 9.853311777114868164e-01
2.972441911697387695e-01 2.848949730396270752e-01 8.299388885498046875e-01 6.036733388900756836e-01 9.270024299621582031e-01 6.055909991264343262e-01 5.641195178031921387e-01
8.034271001815795898e-01 1.801740229129791260e-01 1.738828122615814209e-01 7.971855998039245605e-01 9.642000794410705566e-01 6.927619576454162598e-01 5.230256915092468262e-01
2.664382159709930420e-01 9.760998487472534180e-01 4.067803919315338135e-01 7.329176664352416992e-01 7.950012087821960449e-01 9.979249238967895508e-01 1.532571017742156982e-01
8.407007455825805664e-01 9.816706180572509766e-01 5.787302255630493164e-01 8.785768747329711914e-01 5.997115969657897949e-01 5.495600700378417969e-01 8.023194670677185059e-01
4.841531813144683838e-01 3.657611906528472900e-01 5.297545194625854492e-01 9.760184288024902344e-01 9.990328550338745117e-01 3.287233412265777588e-01 9.929155111312866211e-01
7.494288682937622070e-02 6.757874488830566406e-01 6.760834455490112305e-01 9.961911439895629883e-01 9.989575147628784180e-01 4.558352231979370117e-01 7.069169282913208008e-01
1.792398691177368164e-01 7.669168710708618164e-02 9.995384216308593750e-01 2.452806979417800903e-01 7.698161005973815918e-01 6.687192320823669434e-01 9.358523488044738770e-01
3.005493283271789551e-01 9.985697269439697266e-01 9.333457350730895996e-01 6.806074976921081543e-01 5.671655535697937012e-01 9.824607968330383301e-01 1.015778928995132446e-01
2.817693352699279785e-01 9.941425919532775879e-01 2.784295380115509033e-01 9.832463860511779785e-01 9.488564133644104004e-01 2.370015829801559448e-01 9.886062741279602051e-01
9.897635132074356079e-02 4.749125540256500244e-01 4.728224277496337891e-01 2.406911700963973999e-01 1.349606812000274658e-01 1.211417242884635925e-01 1.931318640708923340e-01
8.835242986679077148e-01 7.189456820487976074e-01 9.993742108345031738e-01 9.998997449874877930e-01 4.842719435691833496e-01 6.068329215049743652e-01 2.348288893699645996e-01
3.375352323055267334e-01 4.017543196678161621e-01 7.686569094657897949e-01 7.482178807258605957e-01 5.478051304817199707e-01 4.205470681190490723e-01 9.820554852485656738e-01
3.359981775283813477e-01 7.451221942901611328e-01 9.759573340415954590e-01 5.941050648689270020e-01 4.353792667388916016e-01 8.215911984443664551e-01 8.535113334655761719e-01
5.061909556388854980e-01 8.184221982955932617e-01 8.808560371398925781e-01 9.897989034652709961e-01 8.600211143493652344e-01 6.355236172676086426e-01 8.930283188819885254e-01
7.111229300498962402e-01 4.239046573638916016e-01 6.475871205329895020e-01 9.861186742782592773e-01 7.471172213554382324e-01 5.030833482742309570e-01 3.730701804161071777e-01
4.206122457981109619e-01 2.343636155128479004e-01 3.534384071826934814e-01 7.418971061706542969e-01 9.436528682708740234e-01 6.108053326606750488e-01 5.081726908683776855e-01
3.727793321013450623e-02 1.355123817920684814e-01 6.123714447021484375e-01 9.861078858375549316e-01 2.849646210670471191e-01 9.039971232414245605e-01 6.609776616096496582e-01
1.019464954733848572e-01 5.261674523353576660e-01 9.363079667091369629e-01 9.828641414642333984e-01 9.819913506507873535e-01 3.126456439495086670e-01 9.772492647171020508e-01
1.586515307426452637e-01 7.380048632621765137e-01 4.713834524154663086e-01 8.095822334289550781e-01 5.194796323776245117e-01 5.765797495841979980e-01 9.718649983406066895e-01
3.839136362075805664e-01 9.999812841415405273e-01 6.739884018898010254e-01 8.793933391571044922e-01 9.594042897224426270e-01 9.821251630783081055e-01 9.395019412040710449e-01
2.851971685886383057e-01 9.380641579627990723e-01 9.993392825126647949e-01 9.176602959632873535e-01 7.479196190834045410e-01 4.230284988880157471e-01 4.614365100860595703e-01
3.681101202964782715e-01 8.043608665466308594e-01 8.390563130378723145e-01 9.281886816024780273e-01 1.313048005104064941e-01 4.426483213901519775e-01 9.369129538536071777e-01
