# bkg-pred	mN=200GeV-pred	mN=300GeV-pred	mN=500GeV-pred	mN=700GeV-pred	mN=900GeV-pred	mN=1100GeV-pred
2.031626850366592407e-01 9.949012994766235352e-01 4.382487237453460693e-01 2.619190812110900879e-01 9.860886931419372559e-01 9.678490161895751953e-01 9.075753092765808105e-01
2.603197395801544189e-01 2.221669703722000122e-01 4.639997482299804688e-01 6.963794231414794922e-01 9.993999004364013672e-01 7.457476258277893066e-01 9.048494696617126465e-01
4.705730974674224854e-01 8.058546781539916992e-01 7.543600797653198242e-01 9.910525679588317871e-01 4.017193913459777832e-01 3.601908981800079346e-01 5.620611906051635742e-01
1.380793154239654541e-01 9.870567917823791504e-01 6.973274350166320801e-01 9.996111989021301270e-01 8.273127675056457520e-01 6.731728315353393555e-01 9.804126620292663574e-01
9.307326674461364746e-01 3.793840408325195312e-01 3.628834187984466553e-01 1.554135382175445557e-01 9.129396677017211914e-01 8.823459744453430176e-01 9.928407669067382812e-01
2.317914217710494995e-01 1.375847458839416504e-01 9.986334443092346191e-01 6.241238713264465332e-01 2.553656101226806641e-01 5.777846574783325195e-01 9.953693747520446777e-01
1.028773933649063110e-01 9.680868387222290039e-01 6.681706309318542480e-01 1.042468324303627014e-01 9.797184467315673828e-01 1.727301329374313354e-01 9.857723116874694824e-01
2.725638747215270996e-01 1.070445179939270020e-01 9.990931749343872070e-01 9.980790615081787109e-01 2.733221054077148438e-01 3.341571986675262451e-01 8.256152272224426270e-01
1.455908417701721191e-01 9.143071174621582031e-01 3.459848165512084961e-01 9.984716773033142090e-01 9.648896455764770508e-01 4.920688569545745850e-01 9.633312821388244629e-01
3.475331366062164307e-01 8.373050689697265625e-01 8.983266949653625488e-01 7.500397562980651855e-01 1.580971479415893555e-01 2.450861781835556030e-01 8.993576169013977051e-01
6.286042332649230957e-01 9.977479577064514160e-01 2.579924464225769043e-01 6.560354232788085938e-01 8.099016547203063965e-01 6.037939190864562988e-01 8.698547482490539551e-01
4.050593376159667969e-01 3.368708789348602295e-01 4.446354508399963379e-01 3.530962467193603516e-01 9.999140501022338867e-01 5.263014435768127441e-01 2.500103041529655457e-02
4.046516120433807373e-01 9.967787861824035645e-01 9.995156526565551758e-01 9.932155609130859375e-01 9.318305850028991699e-01 4.229317307472229004e-01 5.197505354881286621e-01
