# FPR	mN=200GeV-mean	mN=200GeV-std	mN=200GeV-min	mN=200GeV-max	mN=300GeV-mean	mN=300GeV-std	mN=300GeV-min	mN=300GeV-max	mN=500GeV-mean	mN=500GeV-std	mN=500GeV-min	mN=500GeV-max	mN=700GeV-mean	mN=700GeV-std	mN=700GeV-min	mN=700GeV-max	mN=900GeV-mean	mN=900GeV-std	mN=900GeV-min	mN=900GeV-max	mN=1100GeV-mean	mN=1100GeV-std	mN=1100GeV-min	mN=1100GeV-max
0.000000000000000000e+00 1.147301147301147371e-02 5.697485403460668917e-03 8.470008470008470519e-04 1.986601986601986558e-02 7.499807499807500770e-03 4.721203696040490207e-03 3.850003850003850137e-04 1.694001694001694147e-02 4.134904134904134748e-03 3.869979747165547268e-03 7.700007700007699732e-05 1.347501347501347570e-02 2.371602371602371702e-03 2.548644390881153483e-03 7.700007700007699732e-05 8.393008393008393603e-03 1.085701085701085882e-03 1.020040337909997345e-03 0.000000000000000000e+00 3.003003003003002977e-03 8.470008470008469977e-05 8.039044050905174246e-05 0.000000000000000000e+00 2.310002310002309920e-04
2.004008016032063962e-03 9.740509740509740999e-02 3.390802234732674322e-03 9.286209286209286262e-02 1.015631015631015682e-01 1.135135135135135059e-01 5.319563011702463026e-03 1.029491029491029497e-01 1.205821205821205888e-01 1.238165250189298405e-01 8.874381494785562111e-03 1.088011088011087979e-01 1.361361361361361488e-01 9.546469546469546485e-02 9.153479492099703824e-03 7.984907984907985146e-02 1.074921074921074970e-01 5.621005621005621677e-02 7.325860327388546839e-03 4.358204358204358086e-02 6.683606683606684029e-02 1.568491568491568386e-02 3.122834929064652581e-03 1.047201047201047272e-02 1.994301994301994271e-02
4.008016032064127925e-03 1.377839377839377710e-01 4.314093807834059810e-03 1.265111265111265038e-01 1.417571417571417691e-01 1.644186656210704367e-01 5.832752740900047986e-03 1.514631634872115884e-01 1.735581735581735452e-01 1.898436898436898501e-01 9.149686228687435932e-03 1.694001694001693870e-01 2.026642026642026528e-01 1.613694625718673781e-01 1.143602196146084604e-02 1.371371371371371273e-01 1.766421886662367657e-01 1.057057057057057270e-01 9.829433059714681384e-03 8.446908446908446555e-02 1.191191191191191129e-01 3.847693847693848396e-02 5.394848718801695947e-03 2.725802725802725646e-02 4.489104489104488865e-02
6.012024048096191453e-03 1.671440671440671266e-01 4.825153163805563292e-03 1.578501578501578517e-01 1.737891737891738009e-01 2.006545006545006893e-01 6.425558387063330656e-03 1.889581889581889718e-01 2.095942095942096017e-01 2.378378378378378510e-01 8.798437308120158826e-03 2.198352198352198361e-01 2.473242473242473205e-01 2.116270116270116408e-01 1.047553150123709843e-02 1.933471933471933579e-01 2.242242242242242223e-01 1.447216447216447266e-01 9.564590530320290704e-03 1.287441287441287441e-01 1.590821590821590858e-01 6.220836220836221259e-02 6.675018495981812489e-03 5.028105028105028101e-02 7.022407022407022026e-02
8.016032064128255849e-03 1.876645876645876565e-01 4.069918447396185697e-03 1.803341803341803329e-01 1.916531916531916402e-01 2.274428274428274277e-01 5.840830169638560991e-03 2.181412181412181461e-01 2.355432355432355296e-01 2.731808731808731960e-01 8.624888579995208804e-03 2.583352583352583332e-01 2.848232848232848391e-01 2.499576499576499633e-01 1.114171691058371896e-02 2.303072303072302984e-01 2.637252637252637255e-01 1.767536767536767583e-01 9.134575312013625686e-03 1.636251636251636332e-01 1.881111881111880990e-01 8.238238238238239364e-02 7.001627629025258814e-03 7.099407099407099853e-02 9.001309001309001911e-02
1.002004008016032024e-02 2.064449064449064564e-01 1.924216363929358298e-03 2.035882035882035923e-01 2.089012089012088902e-01 2.523831523831523982e-01 3.658605808334578630e-03 2.474012474012474150e-01 2.583352583352583332e-01 3.066682066682067109e-01 4.826873137693309633e-03 3.018403018403018612e-01 3.142373142373142136e-01 2.844767844767844833e-01 6.817464367753916371e-03 2.753522753522753552e-01 2.960652960652960797e-01 2.066913066913066976e-01 4.301410663288139126e-03 2.005082005082005070e-01 2.120582120582120700e-01 1.035266035266035195e-01 4.372933282714462806e-03 9.571109571109570613e-02 1.101871101871101932e-01
1.202404809619238291e-02 2.219142219142219152e-01 3.352643834413394051e-03 2.182182182182182129e-01 2.283052283052283138e-01 2.717409717409717262e-01 5.648201024602239780e-03 2.634942634942634698e-01 2.820512820512820484e-01 3.310541310541310067e-01 7.037335249092890876e-03 3.227073227073227191e-01 3.440363440363440328e-01 3.109109109109108871e-01 7.231188700354025146e-03 3.011473011473011496e-01 3.240933240933240866e-01 2.310464310464310222e-01 4.885495603939353504e-03 2.219912219912219820e-01 2.393932393932393932e-01 1.211134211134210908e-01 4.050738331088003276e-03 1.148841148841148879e-01 1.268961268961268929e-01
1.402805611222444730e-02 2.362131362131361934e-01 3.760261529351306697e-03 2.317702317702317605e-01 2.449372449372449467e-01 2.905674905674905384e-01 5.788869680860926972e-03 2.845152845152845167e-01 3.039963039963040070e-01 3.549318549318549176e-01 7.899791368342904546e-03 3.459613459613459785e-01 3.709093709093709279e-01 3.370293370293370172e-01 8.803772748813522980e-03 3.247093247093247315e-01 3.564333564333564408e-01 2.565796565796565898e-01 8.784004630998182295e-03 2.451682451682451747e-01 2.721182721182721087e-01 1.402479402479402393e-01 6.377187099104894737e-03 1.318241318241318294e-01 1.533071533071533044e-01
1.603206412825651170e-02 2.485408485408485135e-01 4.659083714004334451e-03 2.429352429352429343e-01 2.586432586432586556e-01 3.066066066066066020e-01 6.997392324069713621e-03 3.006853006853006938e-01 3.230923230923231082e-01 3.758065758065757822e-01 1.036389000232656663e-02 3.638253638253638456e-01 3.983213983213983456e-01 3.599522599522599342e-01 1.115348441027756016e-02 3.456533456533456561e-01 3.837683837683837917e-01 2.788557788557788353e-01 1.163370258928499157e-02 2.635712635712635921e-01 3.013013013013012831e-01 1.576576576576576572e-01 8.940451717518185792e-03 1.476091476091476173e-01 1.766381766381766305e-01
1.803607214428857436e-02 2.600061600061600031e-01 3.849703537990917766e-03 2.541772541772541749e-01 2.664202664202663939e-01 3.208362208362208756e-01 6.446617330640024880e-03 3.139293139293139467e-01 3.325633325633325366e-01 3.940478940478940872e-01 8.505093340061182366e-03 3.831523831523831469e-01 4.094864094864094639e-01 3.807807807807807032e-01 1.056590331758313142e-02 3.632863632863632675e-01 3.972433972433972449e-01 2.999614999614999555e-01 1.113785286594363121e-02 2.839762839762839941e-01 3.143913143913144026e-01 1.737506737506737675e-01 8.948074887147982118e-03 1.639331639331639279e-01 1.873411873411873485e-01
