# bkg-pred	mN=2000GeV-pred	mN=2200GeV-pred	mN=2300GeV-pred	mN=2700GeV-pred	mN=3000GeV-pred
1.517393738031387329e-01 9.896427989006042480e-01 9.850281476974487305e-01 6.219864487648010254e-01 5.083966851234436035e-01 5.647305250167846680e-01
5.631121397018432617e-01 2.889873683452606201e-01 9.711604118347167969e-01 4.290677905082702637e-01 8.344058990478515625e-01 1.390509754419326782e-01
6.624360680580139160e-01 1.028876006603240967e-01 9.997407793998718262e-01 6.330655217170715332e-01 5.447375774383544922e-01 8.672401905059814453e-01
3.296198844909667969e-01 4.436265826225280762e-01 4.890005290508270264e-01 6.618080735206604004e-01 1.676952540874481201e-01 3.695487082004547119e-01
7.364984750747680664e-01 9.661163687705993652e-01 9.037606716156005859e-01 6.431095004081726074e-01 7.256763577461242676e-01 6.762388348579406738e-01
2.039453834295272827e-01 4.310682415962219238e-01 2.812165319919586182e-01 9.806984066963195801e-01 9.971998929977416992e-01 9.974437952041625977e-01
1.573246717453002930e-01 7.118362188339233398e-01 6.553215384483337402e-01 9.655413627624511719e-01 3.808535039424896240e-01 3.976996243000030518e-01
2.232030034065246582e-01 9.925829172134399414e-01 8.116618990898132324e-01 9.989239573478698730e-01 3.809205889701843262e-01 4.779376387596130371e-01
1.326263844966888428e-01 5.452628135681152344e-01 8.637775182723999023e-01 3.286073803901672363e-01 9.438227862119674683e-02 9.052339792251586914e-01
4.945152699947357178e-01 9.882125258445739746e-01 8.967407345771789551e-01 2.699244618415832520e-01 1.492722779512405396e-01 9.502856135368347168e-01
4.885767996311187744e-01 3.969394862651824951e-01 8.974772691726684570e-01 6.672428846359252930e-01 5.558488965034484863e-01 5.708162784576416016e-01
5.769777297973632812e-01 5.551348924636840820e-01 3.819067478179931641e-01 2.129141837358474731e-01 1.465067863464355469e-01 7.252254486083984375e-01
3.558647334575653076e-01 9.724938869476318359e-01 7.601948976516723633e-01 2.739555537700653076e-01 1.668569147586822510e-01 9.484708309173583984e-01
2.905218005180358887e-01 9.862891435623168945e-01 2.456108182668685913e-01 6.336016654968261719e-01 9.591546058654785156e-01 9.434351921081542969e-01
3.058069050312042236e-01 9.853861331939697266e-01 2.364699393510818481e-01 9.109961986541748047e-01 3.063524365425109863e-01 9.527928233146667480e-01
2.917479276657104492e-01 2.445578128099441528e-01 8.946326375007629395e-01 3.356476128101348877e-01 3.513029813766479492e-01 5.982112884521484375e-01
5.746211409568786621e-01 7.256590723991394043e-01 9.757584333419799805e-01 2.398710548877716064e-01 8.778021335601806641e-01 1.624856889247894287e-01
7.291789054870605469e-01 7.493236064910888672e-01 6.510084867477416992e-01 9.750085473060607910e-01 3.382412493228912354e-01 3.619855344295501709e-01
2.141008675098419189e-01 7.701388597488403320e-01 5.552281141281127930e-01 1.412486582994461060e-01 5.173544883728027344e-01 2.104686945676803589e-01
9.768567681312561035e-01 9.986242055892944336e-01 5.894645452499389648e-01 3.498959243297576904e-01 5.713668465614318848e-01 1.141033023595809937e-01
2.728587388992309570e-01 5.139796137809753418e-01 7.303435802459716797e-01 1.623443365097045898e-01 5.984471440315246582e-01 4.361625313758850098e-01
6.491666436195373535e-01 1.986193507909774780e-01 9.937269687652587891e-01 9.578972458839416504e-01 6.211845874786376953e-01 3.779597282409667969e-01
2.906983196735382080e-01 6.957635283470153809e-01 9.940636754035949707e-01 8.687341213226318359e-01 1.928367912769317627e-01 2.892623841762542725e-01
2.519967854022979736e-01 1.216789335012435913e-01 9.899243712425231934e-01 6.885845661163330078e-01 6.354492902755737305e-01 4.831614196300506592e-01
1.587215065956115723e-01 1.181799620389938354e-01 9.988105297088623047e-01 7.403935790061950684e-01 6.445667147636413574e-01 2.669849097728729248e-01
4.700582325458526611e-01 6.481783986091613770e-01 2.327275276184082031e-01 6.478824019432067871e-01 1.518069803714752197e-01 3.529188930988311768e-01
1.622048765420913696e-01 9.737372398376464844e-01 4.232380688190460205e-01 6.579957604408264160e-01 8.055646419525146484e-01 2.626977860927581787e-01
1.060211583971977234e-01 9.684039950370788574e-01 1.184482648968696594e-01 9.816135168075561523e-01 6.067540869116783142e-02 5.699921250343322754e-01
9.718949198722839355e-01 1.196853891015052795e-01 2.435814142227172852e-01 9.782946109771728516e-01 9.416774511337280273e-01 8.701105713844299316e-01
4.956555068492889404e-01 1.536503434181213379e-01 9.981574416160583496e-01 9.924243688583374023e-01 5.784747004508972168e-01 6.954491734504699707e-01
5.292899608612060547e-01 4.623739719390869141e-01 2.980632781982421875e-01 6.880164742469787598e-01 5.781629085540771484e-01 4.029317200183868408e-01
4.076559841632843018e-01 9.661623239517211914e-01 8.794655203819274902e-01 7.015534639358520508e-01 4.752255678176879883e-01 8.432659506797790527e-01
5.100628137588500977e-01 6.633613109588623047e-01 3.623484671115875244e-01 6.950768232345581055e-01 6.724590063095092773e-01 7.921050786972045898e-01
5.567881464958190918e-01 9.924610257148742676e-01 8.881602436304092407e-02 9.909364581108093262e-01 8.286087512969970703e-01 3.367395997047424316e-01
5.499191954731941223e-02 9.863167405128479004e-01 5.333605408668518066e-01 9.934025406837463379e-01 9.989174604415893555e-01 6.077812910079956055e-01
1.559582799673080444e-01 2.206648439168930054e-01 9.978821873664855957e-01 5.288280844688415527e-01 3.595389723777770996e-01 1.774615645408630371e-01
2.479224279522895813e-02 8.659338951110839844e-01 9.992921352386474609e-01 7.181307077407836914e-01 2.016258686780929565e-01 9.921499490737915039e-01
1.497453600168228149e-01 9.977529644966125488e-01 9.486825466156005859e-01 5.425558686256408691e-01 3.036149144172668457e-01 1.851447224617004395e-01
