seed=0 AUC=0.8469708854370455, AUC0=0.7134319769277293, AUC1=0.9367056517036235, AUC2=0.9372712652523336
seed=1 AUC=0.8287381062599861, AUC0=0.6783846868076389, AUC1=0.9229147512168738, AUC2=0.9280844138173022
seed=2 AUC=0.831190311948425, AUC0=0.673984635277944, AUC1=0.9277154881016764, AUC2=0.9341682898361185
seed=3 AUC=0.8241250939576507, AUC0=0.6678778009979488, AUC1=0.9239700513791239, AUC2=0.9283130504981403
seed=4 AUC=0.8221382769580745, AUC0=0.6675329846195406, AUC1=0.9159751892915089, AUC2=0.9234944572138352
seed=5 AUC=0.8464500713230821, AUC0=0.704284536757849, AUC1=0.9352379664683613, AUC2=0.9422500629589037
seed=6 AUC=0.8295968674047974, AUC0=0.6882291736522248, AUC1=0.9181226338561385, AUC2=0.9226284045370422
seed=7 AUC=0.8290506837224035, AUC0=0.6805369867117286, AUC1=0.9191786100594918, AUC2=0.9275288774937414
seed=8 AUC=0.8528986123247169, AUC0=0.733032220847605, AUC1=0.9333633044889129, AUC2=0.9332774752851979
seed=9 AUC=0.843610874740714, AUC0=0.7159901740084093, AUC1=0.9260313007030827, AUC2=0.9284184294342486
