# bkg-pred	mh=200GeV-pred	mh=300GeV-pred	mh=500GeV-pred	mh=700GeV-pred	mh=900GeV-pred	mh=1100GeV-pred
1.860701888799667358e-01 9.596498012542724609e-01 9.766160249710083008e-01 1.654588878154754639e-01 9.859297871589660645e-01 5.668610930442810059e-01 9.966907501220703125e-01
2.277280949056148529e-02 4.876874983310699463e-01 6.324187517166137695e-01 9.747552275657653809e-01 9.935963153839111328e-01 3.075181543827056885e-01 9.678023457527160645e-01
1.250703930854797363e-01 9.824329614639282227e-02 1.550019383430480957e-01 6.594403982162475586e-01 9.893822669982910156e-01 7.153825163841247559e-01 7.951188683509826660e-01
1.744194775819778442e-01 9.997019171714782715e-01 1.969958245754241943e-01 7.219194173812866211e-01 5.526620745658874512e-01 9.997467398643493652e-01 4.488986134529113770e-01
4.756043478846549988e-02 9.999392032623291016e-01 9.530501365661621094e-01 2.291772365570068359e-01 1.623838543891906738e-01 5.112034678459167480e-01 5.065131187438964844e-01
3.324422240257263184e-01 4.097755551338195801e-01 8.583954572677612305e-01 9.998607635498046875e-01 8.788250088691711426e-01 2.014914304018020630e-01 9.545119404792785645e-01
5.081482529640197754e-01 9.952676296234130859e-01 9.380719661712646484e-01 9.996304512023925781e-01 9.978043437004089355e-01 1.249963492155075073e-01 8.637856841087341309e-01
5.845824489369988441e-04 4.284844398498535156e-01 9.999907016754150391e-01 6.151108145713806152e-01 9.674284458160400391e-01 9.689888358116149902e-01 9.997938275337219238e-01
6.181434988975524902e-01 9.999867677688598633e-01 8.431215286254882812e-01 1.050875112414360046e-01 9.189508557319641113e-01 9.988152980804443359e-01 5.792166292667388916e-02
1.566040702164173126e-02 9.991652965545654297e-01 2.440246939659118652e-01 9.599373936653137207e-01 9.842947721481323242e-01 3.289021551609039307e-01 9.959203004837036133e-01
6.884999573230743408e-02 3.664257824420928955e-01 9.215162992477416992e-01 3.507110103964805603e-02 3.185161575675010681e-02 5.089410543441772461e-01 4.689449667930603027e-01
4.331499934196472168e-01 9.963290095329284668e-01 9.999136924743652344e-01 9.998323917388916016e-01 4.298836290836334229e-01 7.998637557029724121e-01 4.966429471969604492e-01
3.803509175777435303e-01 9.965175390243530273e-01 8.945302963256835938e-01 8.979136347770690918e-01 9.448340535163879395e-01 6.617951393127441406e-01 9.554504156112670898e-01
1.404796391725540161e-01 9.785327315330505371e-01 8.723293542861938477e-01 1.004758626222610474e-01 7.713632583618164062e-01 9.314030408859252930e-01 8.278580904006958008e-01
9.064020514488220215e-01 7.067869305610656738e-01 4.302431344985961914e-01 7.515293955802917480e-01 9.368040561676025391e-01 1.751966327428817749e-01 8.581860065460205078e-01
7.150573283433914185e-02 9.098182618618011475e-02 4.628537297248840332e-01 7.289806604385375977e-01 6.300730109214782715e-01 3.870941996574401855e-01 4.034705460071563721e-01
2.716116011142730713e-01 2.021899819374084473e-01 4.389340877532958984e-01 9.210547804832458496e-01 7.560661435127258301e-01 9.175382256507873535e-01 3.542243540287017822e-01
1.324921101331710815e-01 6.035950500518083572e-03 9.408860802650451660e-01 9.716662764549255371e-01 7.105947285890579224e-02 9.887967109680175781e-01 2.027288228273391724e-01
8.939763903617858887e-02 5.731775164604187012e-01 9.777809977531433105e-01 9.843485951423645020e-01 9.964658021926879883e-01 2.185054570436477661e-01 9.908266663551330566e-01
2.274877391755580902e-02 3.122486174106597900e-01 1.302240788936614990e-01 4.224788248538970947e-01 4.493464529514312744e-01 2.262130677700042725e-01 9.935050010681152344e-01
1.756123006343841553e-01 9.999989271163940430e-01 2.310335636138916016e-01 9.636895060539245605e-01 9.980237483978271484e-01 9.676765203475952148e-01 8.960075378417968750e-01
4.080473259091377258e-02 4.351299107074737549e-01 9.998885393142700195e-01 9.955217838287353516e-01 8.815016746520996094e-01 6.518744826316833496e-01 4.510489702224731445e-01
7.901634089648723602e-03 9.944127202033996582e-01 9.945937991142272949e-01 9.830858707427978516e-01 2.885640859603881836e-01 1.594043076038360596e-01 3.881218135356903076e-01
2.768264152109622955e-02 9.351131916046142578e-01 1.104910969734191895e-01 9.528760313987731934e-01 9.854252934455871582e-01 2.577795982360839844e-01 9.999952316284179688e-01
2.107527405023574829e-01 9.830768108367919922e-01 1.015842556953430176e-01 9.990955591201782227e-01 9.809245467185974121e-01 2.888031303882598877e-01 8.158083558082580566e-01
1.050474271178245544e-01 9.439241886138916016e-01 1.476368606090545654e-01 4.577406048774719238e-01 9.724341630935668945e-01 9.967670440673828125e-01 2.123260349035263062e-01
1.007957966066896915e-03 9.993996620178222656e-01 3.470862284302711487e-02 6.761642694473266602e-01 9.903885722160339355e-01 5.664189904928207397e-02 9.710381031036376953e-01
7.906645769253373146e-04 5.395523309707641602e-01 2.566242516040802002e-01 1.085010468959808350e-01 9.900278449058532715e-01 5.489374399185180664e-01 8.373082876205444336e-01
5.604803096503019333e-03 8.537193387746810913e-02 3.596515357494354248e-01 9.913229942321777344e-01 8.532923460006713867e-01 9.241382777690887451e-02 3.149733543395996094e-01
8.806223422288894653e-02 9.999815225601196289e-01 8.259350657463073730e-01 9.921898245811462402e-01 1.992394328117370605e-01 8.642488121986389160e-01 9.328194856643676758e-01
1.392513215541839600e-01 6.245260834693908691e-01 9.991689920425415039e-01 9.918482303619384766e-01 9.871440529823303223e-01 1.094353124499320984e-01 1.810913681983947754e-01
2.235814183950424194e-02 8.759462833404541016e-01 9.998925924301147461e-01 9.999651908874511719e-01 6.262066960334777832e-01 5.783319473266601562e-01 5.778750181198120117e-01
7.435247302055358887e-01 1.458923369646072388e-01 9.955006241798400879e-01 9.736064672470092773e-01 3.239184617996215820e-01 9.861586689949035645e-01 9.826548695564270020e-01
8.060259744524955750e-03 9.802966117858886719e-01 9.873051047325134277e-01 9.741011261940002441e-01 9.780797958374023438e-01 9.504964947700500488e-01 7.728065252304077148e-01
5.573677271604537964e-02 9.647343158721923828e-01 5.915063619613647461e-01 9.986341595649719238e-01 3.035524785518646240e-01 9.729634523391723633e-01 7.367236614227294922e-01
6.189343333244323730e-01 9.852555990219116211e-01 8.260878920555114746e-01 8.538371324539184570e-01 9.971801042556762695e-01 4.660304188728332520e-01 8.416221737861633301e-01
2.011148780584335327e-01 8.563525080680847168e-01 9.738968610763549805e-01 8.627105951309204102e-01 9.991025924682617188e-01 7.338451594114303589e-02 8.993109464645385742e-01
4.987759888172149658e-01 2.894109487533569336e-01 3.750167191028594971e-01 5.289981961250305176e-01 9.995619654655456543e-01 8.982013463973999023e-01 3.666910529136657715e-01
4.347879588603973389e-01 9.016764760017395020e-01 4.775614142417907715e-01 9.999995231628417969e-01 7.700719237327575684e-01 8.994724750518798828e-01 5.613770484924316406e-01
5.186093971133232117e-02 3.731082975864410400e-01 2.584558129310607910e-01 5.987323075532913208e-02 8.496953248977661133e-01 9.512130618095397949e-01 1.813256293535232544e-01
4.569984674453735352e-01 2.166315317153930664e-01 8.896932601928710938e-01 7.089912146329879761e-02 7.241971492767333984e-01 9.703359007835388184e-01 9.257535934448242188e-01
1.633429080247879028e-01 6.539002060890197754e-01 8.872833251953125000e-01 9.998943805694580078e-01 9.900284409523010254e-01 7.880458235740661621e-01 9.974344372749328613e-01
