# thresholds	B-mean	B-std	B-min	B-max	0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
0.000000000000000000e+00 5.555519999999998618e+03 9.094947017729282379e-13 5.555519999999999527e+03 5.555519999999999527e+03 7.006516814972908946e+01 1.421085471520200372e-14 7.006516814972910367e+01 7.006516814972910367e+01 1.694489443441142384e+01 0.000000000000000000e+00 1.694489443441142384e+01 1.694489443441142384e+01 8.898039914628137126e+01 1.421085471520200372e-14 8.898039914628138547e+01 8.898039914628138547e+01 1.759904617304219130e+02 0.000000000000000000e+00 1.759904617304219130e+02 1.759904617304219130e+02
4.752376188094046953e-04 5.546097012091356191e+03 1.032471753016251803e+01 5.516335297805642767e+03 5.553965051500224035e+03 7.005630163519946052e+01 1.118936074677810526e-02 7.002576141848628311e+01 7.006516814972910367e+01 1.694489443441142384e+01 0.000000000000000000e+00 1.694489443441142384e+01 1.694489443441142384e+01 8.898039914628137126e+01 1.421085471520200372e-14 8.898039914628138547e+01 8.898039914628138547e+01 1.759815952158922698e+02 1.118936074677810526e-02 1.759510549991790924e+02 1.759904617304219130e+02
9.504752376188093906e-04 5.526504660994178266e+03 2.152626134327238461e+01 5.467509914912672684e+03 5.550233175100760491e+03 7.003167242817269766e+01 2.613946834936141383e-02 6.997650300443275739e+01 7.006516814972910367e+01 1.694292409784928211e+01 3.940673124280636569e-03 1.693504275160072226e+01 1.694489443441142384e+01 8.897941397800029506e+01 2.955504843211543414e-03 8.897054746347068033e+01 8.898039914628138547e+01 1.759540105040223068e+02 2.856988015104491158e-02 1.758919449023148616e+02 1.759904617304219130e+02
1.425712856428214140e-03 5.504020105687415708e+03 3.246923106962361771e+01 5.417751562919837852e+03 5.542147442901925388e+03 7.000113221145952025e+01 5.047485436157053695e-02 6.986813449351501504e+01 7.006516814972910367e+01 1.694095376128714037e+01 4.826319198793378382e-03 1.693504275160072226e+01 1.694489443441142384e+01 8.897645847315708068e+01 6.534867087343996378e-03 8.896069578065996097e+01 8.898039914628138547e+01 1.759185444459037626e+02 5.287885586489178558e-02 1.757835763913971334e+02 1.759904617304219130e+02
1.900950475237618781e-03 5.479794008060904162e+03 4.236457116298930714e+01 5.367371231527094096e+03 5.531573793103448224e+03 6.996172548021669968e+01 6.342678351219786792e-02 6.979917271384007904e+01 7.004546478410769339e+01 1.693996859300607127e+01 4.925841405350794844e-03 1.693504275160072226e+01 1.694489443441142384e+01 8.897251780003280430e+01 8.588497959141959057e-03 8.896069578065996097e+01 8.898039914628138547e+01 1.758742118732556037e+02 6.794090751440902409e-02 1.757047629289114923e+02 1.759707583648005027e+02
2.376188094047023639e-03 5.453639774294671042e+03 5.158890767244961495e+01 5.319167828034034756e+03 5.519756184505149577e+03 6.991837807584960274e+01 7.205211269147099307e-02 6.974006261697584819e+01 7.001590973567559217e+01 1.693799825644393309e+01 4.514608220273533604e-03 1.693504275160072226e+01 1.694489443441142384e+01 8.897054746347066612e+01 8.811612983007512112e-03 8.896069578065996097e+01 8.898039914628138547e+01 1.758269237957642019e+02 7.684312592349311355e-02 1.756456528320472614e+02 1.759313516335576821e+02
2.851425712856428280e-03 5.428978291088221340e+03 5.803428611330392783e+01 5.279672136139721260e+03 5.507627586206896012e+03 6.987995651288785837e+01 7.754720068707063318e-02 6.970065588573304183e+01 6.999620637005416768e+01 1.693799825644393309e+01 4.514608220273533604e-03 1.693504275160072226e+01 1.694489443441142384e+01 8.896759195862746594e+01 9.900818690638498246e-03 8.895084409784925583e+01 8.898039914628138547e+01 1.757855467279592858e+02 8.642570883390279790e-02 1.755865427351830306e+02 1.759116482679362718e+02
3.326663331665832921e-03 5.402792958351992638e+03 6.358008535509075188e+01 5.243597330944917303e+03 5.494255029108821873e+03 6.982478708914791810e+01 9.116932722095150154e-02 6.964154578886882518e+01 6.997650300443275739e+01 1.693799825644393309e+01 4.514608220273533604e-03 1.693504275160072226e+01 1.694489443441142384e+01 8.895971061237889899e+01 1.118936074678110806e-02 8.894099241503856490e+01 8.898039914628138547e+01 1.757224959579707786e+02 1.004485231893214453e-01 1.755274326383187997e+02 1.758919449023148616e+02
3.801900950475237562e-03 5.375581359605911530e+03 7.051614470113324273e+01 5.200058772951186256e+03 5.474351688311688122e+03 6.977552867509439238e+01 1.083864215882133358e-01 6.956273232638318404e+01 6.996665132162205225e+01 1.693504275160072226e+01 4.405806491500578043e-03 1.692519106879001356e+01 1.694489443441142384e+01 8.895675510753569881e+01 1.182201937284688142e-02 8.894099241503856490e+01 8.898039914628138547e+01 1.756673265342308241e+02 1.191850055548558801e-01 1.754486191758331870e+02 1.758820932195041564e+02
4.277138569284642637e-03 5.346845911330049603e+03 7.695295437471894218e+01 5.156831204657411945e+03 5.452582409314822144e+03 6.972134441963552831e+01 1.082296027236873126e-01 6.950362222951896740e+01 6.991739290756855496e+01 1.693307241503858052e+01 3.940673124283478046e-03 1.692519106879001356e+01 1.693504275160072226e+01 8.895379960269247022e+01 1.083685109177320166e-02 8.893114073222785976e+01 8.897054746347068033e+01 1.756082164373665933e+02 1.160493109724090866e-01 1.753895090789689277e+02 1.758229831226399256e+02
