# thresholds	B-mean	B-std	B-min	B-max	0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
0.000000000000000000e+00 5.555519999999999072e+02 1.136868377216160297e-13 5.555520000000000209e+02 5.555520000000000209e+02 7.006516814972910012e+00 0.000000000000000000e+00 7.006516814972910012e+00 7.006516814972910012e+00 1.694489443441142384e+00 0.000000000000000000e+00 1.694489443441142384e+00 1.694489443441142384e+00 8.898039914628139258e+00 1.776356839400250465e-15 8.898039914628137481e+00 8.898039914628137481e+00 1.759904617304218633e+01 3.552713678800500929e-15 1.759904617304218988e+01 1.759904617304218988e+01
4.752376188094046953e-04 5.546097012091356646e+02 1.032471753016255711e+00 5.516335297805642313e+02 5.553965051500223353e+02 7.005630163519947828e+00 1.118936074677690093e-03 7.002576141848628311e+00 7.006516814972910012e+00 1.694489443441142384e+00 0.000000000000000000e+00 1.694489443441142384e+00 1.694489443441142384e+00 8.898039914628139258e+00 1.776356839400250465e-15 8.898039914628137481e+00 8.898039914628137481e+00 1.759815952158922769e+01 1.118936074677166206e-03 1.759510549991790995e+01 1.759904617304218988e+01
9.504752376188093906e-04 5.526504660994177129e+02 2.152626134327225493e+00 5.467509914912673139e+02 5.550233175100760263e+02 7.003167242817271543e+00 2.613946834935750550e-03 6.997650300443276628e+00 7.006516814972910012e+00 1.694292409784928566e+00 3.940673124279925549e-04 1.693504275160072403e+00 1.694489443441142384e+00 8.897941397800030572e+00 2.955504843207280006e-04 8.897054746347068388e+00 8.898039914628137481e+00 1.759540105040223068e+01 2.856988015103432803e-03 1.758919449023148829e+01 1.759904617304218988e+01
1.425712856428214140e-03 5.504020105687416162e+02 3.246923106962372962e+00 5.417751562919837625e+02 5.542147442901925842e+02 7.000113221145953801e+00 5.047485436156939551e-03 6.986813449351501504e+00 7.006516814972910012e+00 1.694095376128714303e+00 4.826319198792508093e-04 1.693504275160072403e+00 1.694489443441142384e+00 8.897645847315711620e+00 6.534867087335426627e-04 8.896069578065997518e+00 8.898039914628137481e+00 1.759185444459037839e+01 5.287885586489170578e-03 1.757835763913971405e+01 1.759904617304218988e+01
1.900950475237618781e-03 5.479794008060904389e+02 4.236457116298928405e+00 5.367371231527093869e+02 5.531573793103448224e+02 6.996172548021671211e+00 6.342678351219762506e-03 6.979917271384008082e+00 7.004546478410769161e+00 1.693996859300607394e+00 4.925841405349906665e-04 1.693504275160072403e+00 1.694489443441142384e+00 8.897251780003282207e+00 8.588497959131039406e-04 8.896069578065997518e+00 8.898039914628137481e+00 1.758742118732556392e+01 6.794090751440769876e-03 1.757047629289115065e+01 1.759707583648005169e+01
2.376188094047023639e-03 5.453639774294671270e+02 5.158890767244954212e+00 5.319167828034035210e+02 5.519756184505149577e+02 6.991837807584960096e+00 7.205211269146956019e-03 6.974006261697585529e+00 7.001590973567559217e+00 1.693799825644393575e+00 4.514608220272719801e-04 1.693504275160072403e+00 1.694489443441142384e+00 8.897054746347068388e+00 8.811612982996389933e-04 8.896069578065997518e+00 8.898039914628137481e+00 1.758269237957642517e+01 7.684312592349402601e-03 1.756456528320472543e+01 1.759313516335576821e+01
2.851425712856428280e-03 5.428978291088222932e+02 5.803428611330398113e+00 5.279672136139721488e+02 5.507627586206896240e+02 6.987995651288787080e+00 7.754720068707212331e-03 6.970065588573303828e+00 6.999620637005417478e+00 1.693799825644393575e+00 4.514608220272719801e-04 1.693504275160072403e+00 1.694489443441142384e+00 8.896759195862745884e+00 9.900818690628809815e-04 8.895084409784926649e+00 8.898039914628137481e+00 1.757855467279592432e+01 8.642570883389806211e-03 1.755865427351830377e+01 1.759116482679362647e+01
3.326663331665832921e-03 5.402792958351992638e+02 6.358008535509076076e+00 5.243597330944917303e+02 5.494255029108821873e+02 6.982478708914790388e+00 9.116932722095611938e-03 6.964154578886882163e+00 6.997650300443276628e+00 1.693799825644393575e+00 4.514608220272719801e-04 1.693504275160072403e+00 1.694489443441142384e+00 8.895971061237890609e+00 1.118936074677885683e-03 8.894099241503855779e+00 8.898039914628137481e+00 1.757224959579707146e+01 1.004485231893229892e-02 1.755274326383188210e+01 1.758919449023148829e+01
3.801900950475237562e-03 5.375581359605911302e+02 7.051614470113299227e+00 5.200058772951186938e+02 5.474351688311687667e+02 6.977552867509439594e+00 1.083864215882119481e-02 6.956273232638318760e+00 6.996665132162205758e+00 1.693504275160072625e+00 4.405806491500181225e-04 1.692519106879001534e+00 1.694489443441142384e+00 8.895675510753569881e+00 1.182201937284688142e-03 8.894099241503855779e+00 8.898039914628137481e+00 1.756673265342308099e+01 1.191850055548534550e-02 1.754486191758331870e+01 1.758820932195041564e+01
4.277138569284642637e-03 5.346845911330049148e+02 7.695295437471918909e+00 5.156831204657411263e+02 5.452582409314823053e+02 6.972134441963552476e+00 1.082296027236865667e-02 6.950362222951897095e+00 6.991739290756854963e+00 1.693307241503858362e+00 3.940673124283478480e-04 1.692519106879001534e+00 1.693504275160072403e+00 8.895379960269249153e+00 1.083685109177584972e-03 8.893114073222786686e+00 8.897054746347068388e+00 1.756082164373665933e+01 1.160493109724112550e-02 1.753895090789689348e+01 1.758229831226399398e+01
4.752376188094047278e-03 5.321220360053738432e+02 8.352284826325226064e+00 5.116713533363188731e+02 5.441386780116434920e+02 6.966913050073879177e+00 1.413845201554741332e-02 6.935584698735839382e+00 6.988783785913643243e+00 1.693307241503858362e+00 3.940673124283478480e-04 1.692519106879001534e+00 1.693504275160072403e+00 8.894788859300605921e+00 1.396717097151389808e-03 8.892128904941715817e+00 8.897054746347068388e+00 1.755500915087834102e+01 1.486298672982147573e-02 1.752417338368083577e+01 1.757934280742078315e+01
5.227613806903451919e-03 5.295159423197491151e+02 8.852460423345307916e+00 5.080016748768472326e+02 5.424593336318853289e+02 6.961593141356098968e+00 1.570841479096535612e-02 6.928688520768345960e+00 6.988783785913643243e+00 1.693307241503858362e+00 3.940673124283478480e-04 1.692519106879001534e+00 1.693504275160072403e+00 8.894197758331962689e+00 1.490830131585286133e-03 8.891143736660644947e+00 8.896069578065997518e+00 1.754909814119191935e+01 1.665517232804365061e-02 1.751629203743227592e+01 1.757835763913971405e+01
