# bkg-pred	mN=200GeV-pred	mN=300GeV-pred	mN=500GeV-pred	mN=700GeV-pred	mN=900GeV-pred	mN=1100GeV-pred
4.569984674453735352e-01 9.881934523582458496e-01 8.896932601928710938e-01 2.796016819775104523e-02 6.197792291641235352e-01 9.164170026779174805e-01 9.878327846527099609e-01
1.633429080247879028e-01 9.906870871782302856e-02 8.872833251953125000e-01 9.499222040176391602e-01 9.999777078628540039e-01 6.005673855543136597e-02 7.282888889312744141e-02
9.145332127809524536e-02 9.720963239669799805e-01 9.057739377021789551e-01 2.078163027763366699e-01 9.126724600791931152e-01 9.385668039321899414e-01 4.895205497741699219e-01
8.681429177522659302e-02 9.565586447715759277e-01 9.984283447265625000e-01 5.084954500198364258e-01 1.644111238420009613e-02 4.606405645608901978e-02 4.708990752696990967e-01
6.791321560740470886e-03 8.504613637924194336e-01 9.999997615814208984e-01 9.881779551506042480e-01 4.323888421058654785e-01 8.749106526374816895e-02 9.997598528861999512e-01
4.661231767386198044e-03 9.725421667098999023e-01 3.225626945495605469e-01 9.964284300804138184e-01 9.990124702453613281e-01 3.963280618190765381e-01 2.172574847936630249e-01
6.615235209465026855e-01 3.373446762561798096e-01 9.894868135452270508e-01 5.678169727325439453e-01 1.658927276730537415e-02 8.276045322418212891e-02 3.113374859094619751e-02
8.226337283849716187e-02 9.973713159561157227e-01 9.639762639999389648e-01 9.932963252067565918e-01 7.933185100555419922e-01 8.845897316932678223e-01 9.947015047073364258e-01
7.532863020896911621e-01 5.670041590929031372e-02 9.977719187736511230e-01 5.264130830764770508e-01 2.334905862808227539e-01 6.402716636657714844e-01 9.694927930831909180e-01
1.368229277431964874e-02 9.996160268783569336e-01 9.993510842323303223e-01 7.761356830596923828e-01 9.999890327453613281e-01 9.934530258178710938e-01 1.524373888969421387e-01
3.181994892656803131e-03 9.107653498649597168e-01 5.488089844584465027e-02 9.802808165550231934e-01 3.434526622295379639e-01 1.001977995038032532e-01 9.750630855560302734e-01
7.562966346740722656e-01 9.217336177825927734e-01 8.162748217582702637e-01 9.115719795227050781e-01 9.989534616470336914e-01 1.263713091611862183e-01 9.988645315170288086e-01
5.821133255958557129e-01 5.956775546073913574e-01 1.093004196882247925e-01 9.961696267127990723e-01 9.996573925018310547e-01 1.319354772567749023e-01 9.940839409828186035e-01
6.847558021545410156e-01 9.832715392112731934e-01 9.841187000274658203e-01 1.129555553197860718e-01 9.970049262046813965e-01 1.828674413263797760e-02 9.968200922012329102e-01
7.529341578483581543e-01 8.755595088005065918e-01 2.005566060543060303e-01 4.807828664779663086e-01 9.156892299652099609e-01 5.654471516609191895e-01 9.419312477111816406e-01
7.952642044983804226e-04 1.243154108524322510e-01 9.100744128227233887e-01 4.992836713790893555e-02 5.260363593697547913e-02 7.126653194427490234e-01 9.554966688156127930e-01
2.752837240695953369e-01 6.795006990432739258e-01 7.419773936271667480e-01 9.946244359016418457e-01 9.991670846939086914e-01 8.412314653396606445e-01 9.999214410781860352e-01
2.435171604156494141e-02 9.217348694801330566e-02 9.022190570831298828e-01 9.561610221862792969e-01 2.817766666412353516e-01 5.607298389077186584e-02 4.946084618568420410e-01
1.438956335186958313e-02 9.982044696807861328e-01 9.999725818634033203e-01 5.899128317832946777e-01 9.762470722198486328e-01 9.998660087585449219e-01 9.522982835769653320e-01
7.807814478874206543e-01 8.345212936401367188e-01 7.363943457603454590e-01 9.646545648574829102e-01 3.409978449344635010e-01 9.821910858154296875e-01 9.988511800765991211e-01
8.523979187011718750e-01 9.994464516639709473e-01 8.412335067987442017e-02 2.136988192796707153e-01 9.998439550399780273e-01 8.309167623519897461e-02 9.666981101036071777e-01
1.537242978811264038e-01 3.202760219573974609e-02 7.590463012456893921e-02 1.886588782072067261e-01 9.602047801017761230e-01 6.646042466163635254e-01 3.897330760955810547e-01
1.110734324902296066e-02 6.450986862182617188e-01 9.798625111579895020e-01 9.626388549804687500e-01 4.104540646076202393e-01 3.317941725254058838e-02 9.991616010665893555e-01
8.627936840057373047e-01 9.571885466575622559e-01 8.382977843284606934e-01 2.406247891485691071e-02 9.865125417709350586e-01 8.495950698852539062e-01 9.811371564865112305e-01
2.054513394832611084e-01 9.707868695259094238e-01 9.843839406967163086e-01 3.080907166004180908e-01 9.158849120140075684e-01 7.129922509193420410e-01 4.749925434589385986e-01
4.632922634482383728e-02 2.488167583942413330e-01 8.696969747543334961e-01 9.998731613159179688e-01 7.451455295085906982e-02 3.786356374621391296e-02 6.742098331451416016e-01
3.738299012184143066e-02 7.265552878379821777e-01 4.265200197696685791e-01 9.763982892036437988e-01 1.992999613285064697e-01 9.691192507743835449e-01 9.842775464057922363e-01
2.159975841641426086e-02 9.977169036865234375e-01 9.997764229774475098e-01 2.566162645816802979e-01 7.578557133674621582e-01 9.479416012763977051e-01 9.948348999023437500e-01
7.386770099401473999e-02 9.959195852279663086e-01 9.972557425498962402e-01 9.233766198158264160e-01 3.580877184867858887e-01 6.721608638763427734e-01 7.889891266822814941e-01
5.407490581274032593e-02 9.980179071426391602e-01 2.131414264440536499e-01 9.994935989379882812e-01 9.999740123748779297e-01 4.514536261558532715e-01 2.544874250888824463e-01
9.517388790845870972e-02 9.254018664360046387e-01 9.959329962730407715e-01 9.976186156272888184e-01 3.513893485069274902e-01 9.970462918281555176e-01 9.997891783714294434e-01
1.540369838476181030e-01 2.524505257606506348e-01 9.956362843513488770e-01 6.679417490959167480e-01 8.536841869354248047e-01 9.516990184783935547e-01 8.385252356529235840e-01
3.906193375587463379e-01 5.242406725883483887e-01 4.222584888339042664e-02 3.172088861465454102e-01 2.347450852394104004e-01 3.950626254081726074e-01 7.192902565002441406e-01
1.088521792553365231e-03 3.073327615857124329e-02 9.913985729217529297e-01 1.145409196615219116e-01 1.875929236412048340e-01 9.941587448120117188e-01 9.982960820198059082e-01
6.405356526374816895e-02 9.999853372573852539e-01 2.277558147907257080e-01 9.987694621086120605e-01 8.500047773122787476e-02 8.422554284334182739e-02 4.698067307472229004e-01
9.924238920211791992e-01 9.924293160438537598e-01 9.999790191650390625e-01 9.944126009941101074e-01 9.221802353858947754e-01 9.725816249847412109e-01 9.986643791198730469e-01
7.279266715049743652e-01 3.196696341037750244e-01 9.767157435417175293e-01 8.252488970756530762e-01 9.883918166160583496e-01 9.799042344093322754e-02 8.363193869590759277e-01
6.850680708885192871e-01 9.800017476081848145e-01 9.998306035995483398e-01 4.553806409239768982e-02 9.954927489161491394e-03 9.951788000762462616e-03 9.935670495033264160e-01
1.525420099496841431e-01 7.836634516716003418e-01 9.721101522445678711e-01 9.999575614929199219e-01 4.781233668327331543e-01 1.884278953075408936e-01 9.981789588928222656e-01
1.114534866064786911e-02 9.488940834999084473e-01 9.645760059356689453e-01 9.833058714866638184e-01 1.908715218305587769e-01 8.458265066146850586e-01 9.205349087715148926e-01
7.609793543815612793e-01 6.897366046905517578e-01 9.857302904129028320e-01 9.998302459716796875e-01 9.872102737426757812e-01 9.669573307037353516e-01 9.031926989555358887e-01
2.992555201053619385e-01 1.898725479841232300e-01 9.999876022338867188e-01 9.752079248428344727e-01 9.999581575393676758e-01 9.073194861412048340e-01 2.371698915958404541e-01
7.295395433902740479e-02 9.974356293678283691e-01 1.169681474566459656e-01 9.601857662200927734e-01 7.997369021177291870e-02 2.390683740377426147e-01 7.960785627365112305e-01
3.465772569179534912e-01 9.996820688247680664e-01 8.626813888549804688e-01 9.841511249542236328e-01 1.050991788506507874e-01 4.242622852325439453e-01 2.546531260013580322e-01
7.877557277679443359e-01 1.208191663026809692e-01 9.999996423721313477e-01 5.545683950185775757e-02 2.464783936738967896e-01 4.084348976612091064e-01 8.965048193931579590e-01
2.377004921436309814e-01 9.518195986747741699e-01 9.649731516838073730e-01 8.743063360452651978e-02 2.022695690393447876e-01 7.344982624053955078e-01 9.017817974090576172e-01
4.133005440235137939e-02 5.408829450607299805e-01 4.558656215667724609e-01 5.221276283264160156e-01 1.299645453691482544e-01 2.773118019104003906e-01 8.538821935653686523e-01
3.376319259405136108e-02 9.651282429695129395e-01 9.995230436325073242e-01 8.713043332099914551e-01 2.837821245193481445e-01 9.102183580398559570e-01 9.438992142677307129e-01
8.875078521668910980e-03 8.568083643913269043e-01 7.022011280059814453e-01 9.936891794204711914e-01 9.909589290618896484e-01 9.860582947731018066e-01 2.351275235414505005e-01
6.496778875589370728e-02 6.015170812606811523e-01 9.804829359054565430e-01 5.254556611180305481e-02 1.114688254892826080e-02 9.975240826606750488e-01 7.817070484161376953e-01
9.950972199440002441e-01 9.996486902236938477e-01 9.061730504035949707e-01 1.842475980520248413e-01 1.560479104518890381e-01 5.398144945502281189e-02 9.999816417694091797e-01
1.804018169641494751e-01 9.854921698570251465e-01 9.786466956138610840e-01 4.347876012325286865e-01 2.076449617743492126e-02 9.852146506309509277e-01 1.254715025424957275e-01
2.243957947939634323e-03 9.947842955589294434e-01 5.924497842788696289e-01 9.999998807907104492e-01 9.471408277750015259e-02 1.296331137418746948e-01 9.652603864669799805e-01
2.099009305238723755e-01 6.767489016056060791e-02 7.917242050170898438e-01 7.539240717887878418e-01 9.697332978248596191e-01 5.223522186279296875e-01 9.534915685653686523e-01
4.721412807703018188e-02 1.268566250801086426e-01 1.144015118479728699e-01 8.633005619049072266e-01 9.985125660896301270e-01 2.320997118949890137e-01 9.435540437698364258e-01
1.226038336753845215e-01 1.315047889947891235e-01 9.865399003028869629e-01 9.592213034629821777e-01 6.134096533060073853e-02 4.595090746879577637e-01 8.838350176811218262e-01
4.881829395890235901e-02 9.894322156906127930e-01 8.880423903465270996e-01 9.274555444717407227e-01 9.662721753120422363e-01 1.480274647474288940e-01 7.136108875274658203e-01
6.638827919960021973e-01 9.969334602355957031e-01 2.744163572788238525e-01 3.212637826800346375e-02 5.148650407791137695e-01 5.144987106323242188e-01 9.999250173568725586e-01
4.533374309539794922e-01 7.082385420799255371e-01 2.501645684242248535e-02 9.999644756317138672e-01 2.742721140384674072e-01 7.269574403762817383e-01 9.809207916259765625e-01
1.187096461653709412e-01 6.700285077095031738e-01 9.634961485862731934e-01 7.882311344146728516e-01 3.975528478622436523e-02 9.787090420722961426e-01 6.180711463093757629e-02
8.624753355979919434e-02 8.069831728935241699e-01 2.472577840089797974e-01 9.999768733978271484e-01 4.110870957374572754e-01 5.081747174263000488e-01 7.091965079307556152e-01
7.145878672599792480e-01 8.853309601545333862e-02 9.317616224288940430e-01 7.034760117530822754e-01 2.299224883317947388e-01 8.923262357711791992e-01 6.541118621826171875e-01
7.276290059089660645e-01 9.990171194076538086e-01 5.194246172904968262e-01 2.888773977756500244e-01 9.994388222694396973e-01 6.075100898742675781e-01 9.996548891067504883e-01
8.861918002367019653e-03 8.979791402816772461e-01 9.812520742416381836e-01 6.870472431182861328e-01 9.876097440719604492e-01 4.998034611344337463e-02 9.997295737266540527e-01
6.149164214730262756e-02 4.233801662921905518e-01 9.741965532302856445e-01 7.582651972770690918e-01 9.600788354873657227e-01 6.552514433860778809e-02 9.939749836921691895e-01
2.414495684206485748e-02 9.794009327888488770e-01 5.503823757171630859e-01 7.147005200386047363e-01 9.951794147491455078e-01 9.158107042312622070e-01 9.741289019584655762e-01
4.245837032794952393e-02 1.374560296535491943e-01 1.109378263354301453e-01 5.598233938217163086e-01 3.607085719704627991e-02 4.083812534809112549e-01 1.792678833007812500e-01
3.504439443349838257e-02 3.974553346633911133e-01 1.521018743515014648e-01 8.712779283523559570e-01 1.253074854612350464e-01 1.949777454137802124e-01 9.995018243789672852e-01
1.459711231291294098e-02 9.923793077468872070e-01 9.847306013107299805e-01 9.998755455017089844e-01 9.726939797401428223e-01 9.816243052482604980e-01 2.781850993633270264e-01
4.730875790119171143e-02 9.996730089187622070e-01 9.999995231628417969e-01 2.069056034088134766e-02 9.998223185539245605e-01 1.718279272317886353e-01 9.913396239280700684e-01
6.828708201646804810e-02 9.990038275718688965e-01 8.622675538063049316e-01 9.933316111564636230e-01 9.982660412788391113e-01 5.286850333213806152e-01 9.975074529647827148e-01
3.477016687393188477e-01 9.998074173927307129e-01 4.307372272014617920e-01 2.162032574415206909e-02 4.411134123802185059e-01 1.109203323721885681e-01 9.999718666076660156e-01
7.265230417251586914e-01 9.857767224311828613e-01 5.810660719871520996e-01 4.041001200675964355e-02 1.277862489223480225e-01 9.992743134498596191e-01 8.528210520744323730e-01
4.579951465129852295e-01 8.720874190330505371e-01 9.272912740707397461e-01 9.999496936798095703e-01 9.999865293502807617e-01 2.028828412294387817e-01 5.344476699829101562e-01
4.678626358509063721e-02 5.057719349861145020e-01 3.455391228199005127e-01 9.904878735542297363e-01 9.492393732070922852e-01 8.758631944656372070e-01 9.577212929725646973e-01
8.689431473612785339e-03 9.939190149307250977e-01 2.377212792634963989e-01 3.191939294338226318e-01 6.049339771270751953e-01 7.661542892456054688e-01 1.818763464689254761e-01
1.680733449757099152e-02 9.999452829360961914e-01 9.556170105934143066e-01 4.961729347705841064e-01 9.833372235298156738e-01 7.910169363021850586e-01 7.348049432039260864e-02
4.795709252357482910e-02 9.972363710403442383e-01 9.773754477500915527e-01 6.791754961013793945e-01 5.841655731201171875e-01 5.127995610237121582e-01 9.031970500946044922e-01
2.517597377300262451e-02 8.267433047294616699e-01 8.053291589021682739e-02 5.505595207214355469e-01 9.383958578109741211e-02 9.667929410934448242e-01 9.567642807960510254e-01
8.681412935256958008e-01 9.500834345817565918e-01 9.046388864517211914e-01 7.240418195724487305e-01 2.488321959972381592e-01 7.622859477996826172e-01 8.907353281974792480e-01
1.770373084582388401e-03 8.744799494743347168e-01 8.800061792135238647e-02 9.873365610837936401e-02 2.968786060810089111e-01 2.014604024589061737e-02 9.892242550849914551e-01
1.258108913898468018e-01 2.502242922782897949e-01 7.618917226791381836e-01 9.859425425529479980e-01 5.600068569183349609e-01 6.845803465694189072e-03 9.896320104598999023e-01
2.504382282495498657e-02 7.634870409965515137e-01 2.587665021419525146e-01 9.998481273651123047e-01 2.575130015611648560e-02 9.361980557441711426e-01 9.990664124488830566e-01
2.433337736874818802e-03 9.979087114334106445e-01 9.973043203353881836e-01 6.113489270210266113e-01 3.040881752967834473e-01 9.961273074150085449e-01 7.852795124053955078e-01
7.520032674074172974e-02 5.238344073295593262e-01 9.722943902015686035e-01 9.999698400497436523e-01 5.589436888694763184e-01 3.056395649909973145e-01 6.644900143146514893e-02
2.330239489674568176e-02 9.880728125572204590e-01 9.978819489479064941e-01 2.739673256874084473e-01 5.233641266822814941e-01 3.535650074481964111e-01 9.842026233673095703e-01
2.596201300621032715e-01 9.952685236930847168e-01 2.515232190489768982e-02 2.002212703227996826e-01 5.142050981521606445e-01 5.880196020007133484e-02 9.997484087944030762e-01
6.826989818364381790e-03 9.983343482017517090e-01 5.734674260020256042e-02 8.566190004348754883e-01 7.207511067390441895e-01 5.185534954071044922e-01 8.493314385414123535e-01
9.174320697784423828e-01 9.977356195449829102e-01 9.586870074272155762e-01 5.326424241065979004e-01 9.088895469903945923e-02 9.878863096237182617e-01 7.632734775543212891e-01
5.960582755506038666e-03 9.990932941436767578e-01 9.999607801437377930e-01 3.675688803195953369e-02 9.997538924217224121e-01 5.263336300849914551e-01 8.364077806472778320e-01
6.105273589491844177e-02 7.773434519767761230e-01 9.710779190063476562e-01 7.619258165359497070e-01 1.149219181388616562e-02 9.929109215736389160e-01 8.354644775390625000e-01
1.783305555582046509e-01 9.856773614883422852e-01 9.999353885650634766e-01 9.988566637039184570e-01 9.965125918388366699e-01 8.037294745445251465e-01 7.784461379051208496e-01
6.991426348686218262e-01 9.962928891181945801e-01 9.617974758148193359e-01 9.999115467071533203e-01 9.995305538177490234e-01 1.093070954084396362e-01 7.042355090379714966e-02
1.115493178367614746e-01 9.949510097503662109e-01 1.547439396381378174e-01 8.626448512077331543e-01 9.848275184631347656e-01 2.244565337896347046e-01 9.989022016525268555e-01
1.282832622528076172e-01 9.993073940277099609e-01 9.999374151229858398e-01 8.196038007736206055e-02 9.999909400939941406e-01 4.549573361873626709e-01 3.664606213569641113e-01
6.712887436151504517e-02 1.801815032958984375e-01 9.991336464881896973e-01 5.571477413177490234e-01 9.346634149551391602e-01 3.272730708122253418e-01 8.801600933074951172e-01
5.528330057859420776e-02 9.824979901313781738e-01 1.899084299802780151e-01 9.332799911499023438e-01 4.584549460560083389e-03 6.917752325534820557e-02 7.989116758108139038e-02
2.673766342923045158e-03 9.917113780975341797e-01 9.424781799316406250e-01 8.764328360557556152e-01 9.980022311210632324e-01 4.618120193481445312e-01 9.925470948219299316e-01
1.057305932044982910e-01 6.585628390312194824e-01 9.984149932861328125e-01 8.171606063842773438e-01 8.958346247673034668e-01 9.556753635406494141e-01 9.137352705001831055e-01
3.148983465507626534e-03 4.795205593109130859e-02 8.093451261520385742e-01 8.006474375724792480e-01 9.997991919517517090e-01 3.394924700260162354e-01 7.764931023120880127e-02
4.505422711372375488e-02 9.670920968055725098e-01 9.899739027023315430e-01 9.988535642623901367e-01 9.111559391021728516e-01 3.308840394020080566e-01 9.469047188758850098e-02
7.273026555776596069e-02 9.986270666122436523e-01 4.646895453333854675e-02 9.163461923599243164e-01 4.382421672344207764e-01 9.999989271163940430e-01 9.767028689384460449e-01
4.645350389182567596e-03 4.111733734607696533e-01 1.288331598043441772e-01 9.248202443122863770e-01 3.538446128368377686e-01 1.028738319873809814e-01 2.528586387634277344e-01
7.770503163337707520e-01 9.998843669891357422e-01 9.999333620071411133e-01 3.112424015998840332e-01 9.960893392562866211e-01 5.347360968589782715e-01 9.194951057434082031e-01
1.168246939778327942e-01 9.986572265625000000e-01 4.546737074851989746e-01 9.922376275062561035e-01 9.998984336853027344e-01 9.130053222179412842e-02 1.629826128482818604e-01
