seed=0 AUC=0.8497600510745567, AUC0=0.7250940401115495, AUC1=0.9252443888588425, AUC2=0.9324642990163505
seed=1 AUC=0.8529449565974816, AUC0=0.7308985842461481, AUC1=0.9306841535965387, AUC2=0.9354380713863746
seed=2 AUC=0.8509224260391846, AUC0=0.7292289699375316, AUC1=0.9264903326122228, AUC2=0.9299933459205376
seed=3 AUC=0.8499843489567092, AUC0=0.7327920000227757, AUC1=0.9209572742022716, AUC2=0.9295371451647954
seed=4 AUC=0.8499303070128909, AUC0=0.7298665273350955, AUC1=0.9235226811790157, AUC2=0.9293930849941279
seed=5 AUC=0.8509858624946327, AUC0=0.7234201553862292, AUC1=0.9309971606273661, AUC2=0.9356590343379039
seed=6 AUC=0.8507508304898692, AUC0=0.7247561236193901, AUC1=0.9264739386154677, AUC2=0.9336461759134532
seed=7 AUC=0.8483499405193922, AUC0=0.7203079112790879, AUC1=0.9275338020551649, AUC2=0.935292166333501
seed=8 AUC=0.8551641577157882, AUC0=0.7339786816053224, AUC1=0.9299465927528394, AUC2=0.9361575815759104
seed=9 AUC=0.8559105278494689, AUC0=0.741880692307303, AUC1=0.9228647241752297, AUC2=0.9325824756735427
