# mN	mSQ	0sq(mean)	1sq(mean)	2sq(mean)	S-comb(mean)	0sq(std)	1sq(std)	2sq(std)	S-comb(std)	0sq(min)	1sq(min)	2sq(min)	S-comb(min)	0sq(max)	1sq(max)	2sq(max)	S-comb(max)
2.000000000000000000e+02 2.000000000000000000e+03 7.192592757001750048e-01 5.256342957320649933e-01 1.778371567745759663e+00 2.345571530601977983e+00 3.367182841760197470e-02 3.754644834739045978e-02 4.425694963642059360e-02 5.089238766699408917e-02 6.964314453558608786e-01 5.027849558801085195e-01 1.741153405568801604e+00 2.311586532023231388e+00 7.500352344355446510e-01 5.650725285993077884e-01 1.861023116053595272e+00 2.403019194100207923e+00
2.000000000000000000e+02 2.200000000000000000e+03 7.096274859448536976e-01 3.772225168476336377e-01 1.441474709436442181e+00 1.924256924824687687e+00 3.245849480661070624e-02 3.968533701994658019e-02 4.197307628276238101e-02 4.158457160373826844e-02 6.888315617294356041e-01 3.599000303068486950e-01 1.410556437685235531e+00 1.879490368080084295e+00 7.529864328648638860e-01 4.387674955114523878e-01 1.502305879660317922e+00 1.983821895518366407e+00
2.000000000000000000e+02 2.300000000000000000e+03 3.113267708605689243e-01 2.527442556553913811e-01 1.104915727837447514e+00 1.326601256899517356e+00 1.841606279133193441e-02 3.832061240876791924e-02 3.837032553953662745e-02 4.077682359274920759e-02 3.059751231993639853e-01 2.316307563925286972e-01 1.068410203525602675e+00 1.302279339500807653e+00 3.208702576328030243e-01 3.119796209224838801e-01 1.150374665289687348e+00 1.377695903709048375e+00
2.000000000000000000e+02 2.700000000000000000e+03 7.195529401278137893e-01 1.150397363381846505e-01 5.569132136362473506e-01 9.974958391689622283e-01 4.024895215150681854e-02 3.216786599813448860e-02 4.362021958740348870e-02 3.589768642936130155e-02 7.021401279488075353e-01 7.850031955712710730e-02 5.165165081670570757e-01 9.535765484714708862e-01 7.613251315654874229e-01 1.901431838241680605e-01 6.116965017038353825e-01 1.057239998406857895e+00
2.000000000000000000e+02 3.000000000000000000e+03 6.977943440870547631e-01 4.346154408125661034e-02 3.282277877768707830e-01 7.677616883313502782e-01 3.655266783675024250e-02 2.763226095363245996e-02 4.343355408540363477e-02 3.574402697210984914e-02 6.805847773459240413e-01 2.581579808662140194e-02 2.631920662680037326e-01 7.439896921340983793e-01 7.238115723842756255e-01 1.191932929291353721e-01 3.863199634427119111e-01 8.086266163821627107e-01
3.000000000000000000e+02 2.000000000000000000e+03 3.373565804328361728e-01 4.846942629964126614e-01 1.722335775885129650e+00 2.109261101702066377e+00 1.384868318049685583e-02 3.914059826337221853e-02 4.652415468115268793e-02 4.900044425894089367e-02 3.325374507152064618e-01 4.673484318138361737e-01 1.688144039939836638e+00 2.074512824111556242e+00 3.492094399621764600e-01 5.153581014736110522e-01 1.782102022434482347e+00 2.162175916068062698e+00
3.000000000000000000e+02 2.200000000000000000e+03 3.311152260712837969e-01 3.512650106430953989e-01 1.304187814591872163e+00 1.591710620164175527e+00 1.428326766899635711e-02 4.010270721002166111e-02 3.754076575981539488e-02 3.951939343950977568e-02 3.245924964474999896e-01 3.271286090504337274e-01 1.267860216704421950e+00 1.552708647663821218e+00 3.420203372859484392e-01 4.073664662903704881e-01 1.357091603983769268e+00 1.648887256409084179e+00
3.000000000000000000e+02 2.300000000000000000e+03 3.220225123333061434e-01 2.546404076829223984e-01 1.136605022252243025e+00 1.355285875837019649e+00 1.407926318082626180e-02 3.679387067892120333e-02 3.790935851642506654e-02 4.084489313269876881e-02 3.158783568875332959e-01 2.286479993393030763e-01 1.103966335265439858e+00 1.324538980818253275e+00 3.299927214515910867e-01 3.103939674995510045e-01 1.194602525627802558e+00 1.432442749667222515e+00
3.000000000000000000e+02 2.700000000000000000e+03 3.166760271395937520e-01 1.125282692923063044e-01 4.914328335529581371e-01 6.545416483811707931e-01 1.270364516306529690e-02 3.305054048661389826e-02 4.934891253636405212e-02 4.160367954105463617e-02 3.134364971417185619e-01 8.347997183423951084e-02 4.561992076116650474e-01 6.234098835600009325e-01 3.252211758427839272e-01 1.901214981554470440e-01 5.522167936952951939e-01 6.898429449636831468e-01
3.000000000000000000e+02 3.000000000000000000e+03 3.169455767873942675e-01 4.095771967739501862e-02 2.239113297278818582e-01 3.658521482662423496e-01 1.316458775207858707e-02 2.340574956714744359e-02 4.547907195240222938e-02 3.958586986119772000e-02 3.118097278181287679e-01 2.179237138367593266e-02 1.798217878618422194e-01 3.565510950012338864e-01 3.252586017485399328e-01 1.041282544175296809e-01 2.951764793644947593e-01 3.795222266744495143e-01
5.000000000000000000e+02 2.000000000000000000e+03 9.249598260108830849e-02 3.755113616412827371e-01 1.382850308281948326e+00 1.659186565014848069e+00 4.101076274718733379e-03 3.546633499826556957e-02 3.694947775939184248e-02 4.031200143623746984e-02 9.147044145531928183e-02 3.605692346844086571e-01 1.344210612703700569e+00 1.610829036360133859e+00 9.451433759746484531e-02 4.039959032274503814e-01 1.430972979788191379e+00 1.713610004666180631e+00
5.000000000000000000e+02 2.200000000000000000e+03 9.234213108393096725e-02 2.646839278413686269e-01 1.119750529724520272e+00 1.303500023850290734e+00 3.499595173417775675e-03 3.906828625994410858e-02 3.811612262529193856e-02 4.006079349246948612e-02 9.117430735675442766e-02 2.438138025817599974e-01 1.095772147259870488e+00 1.269231873507616237e+00 9.436183126891854733e-02 2.909376077633923363e-01 1.175049657026123739e+00 1.363668513814759509e+00
5.000000000000000000e+02 2.300000000000000000e+03 8.970199095336059414e-02 1.984796724421117875e-01 9.867659730946071184e-01 1.119517390794476652e+00 4.334149784599986358e-03 4.002268440759607082e-02 3.751612372191955730e-02 3.686009345465381115e-02 8.864100169008115593e-02 1.885949863843212893e-01 9.500795482871153830e-01 1.087075203114197919e+00 9.280517984072123028e-02 2.509080403779395674e-01 1.029134054276131360e+00 1.169476940596063663e+00
5.000000000000000000e+02 2.700000000000000000e+03 8.581258533417240875e-02 7.560132488105725246e-02 4.255502072161426175e-01 4.934269085539423338e-01 3.097759942446971435e-03 2.959851821588527915e-02 4.548362921479746912e-02 4.497672926375106267e-02 8.496628681533908989e-02 5.801094741488021372e-02 4.001096673177554353e-01 4.644789117691927038e-01 8.785905676864746994e-02 1.485242161347828105e-01 4.676598451808761658e-01 5.389133137776870308e-01
5.000000000000000000e+02 3.000000000000000000e+03 8.640656463822524169e-02 2.849169413217078617e-02 1.794517825688654866e-01 2.042009878353255592e-01 2.367764052642979886e-03 1.882285712662887939e-02 4.239647211910340524e-02 4.087650764737796316e-02 8.560723395365443800e-02 1.669903725592909727e-02 1.474507071822937221e-01 1.848151816206781706e-01 8.855884331086490147e-02 8.129133547951712668e-02 2.614231353400236491e-01 2.697804162104513459e-01
7.000000000000000000e+02 2.000000000000000000e+03 3.163337529917632784e-02 2.506391675801934449e-01 1.062324652811718284e+00 1.278303504688649728e+00 2.250826319706314849e-03 2.286870958163766260e-02 3.655029292749321923e-02 3.922062840424095365e-02 3.091940948306117279e-02 2.373729066665258847e-01 1.028075455997136123e+00 1.236805517335713978e+00 3.282668991745208570e-02 2.688450897042558574e-01 1.113357551116851862e+00 1.336887046841341631e+00
7.000000000000000000e+02 2.200000000000000000e+03 2.793243040292769236e-02 1.868032792113115959e-01 9.164340091587848125e-01 1.055427551329488844e+00 1.877788260003199119e-03 3.109710760381795627e-02 4.019152972594848550e-02 3.971337550350785561e-02 2.740856339981621176e-02 1.735856321809931546e-01 8.780808598239066010e-01 1.016687672329993797e+00 2.855964558879171833e-02 2.031847741066976909e-01 9.583864400416467477e-01 1.099839026623515181e+00
7.000000000000000000e+02 2.300000000000000000e+03 2.858939094328919600e-02 1.585972103972455860e-01 8.247569394137134191e-01 9.309380068445550771e-01 9.487594377160689851e-04 3.452323865505196182e-02 4.047244765335566985e-02 3.960748046983508103e-02 2.812418909436284822e-02 1.524360406003164581e-01 7.959269082689052199e-01 8.993689079555087229e-01 2.997190827104829342e-02 2.050816354009523945e-01 8.774799412295647416e-01 9.904423980496370739e-01
7.000000000000000000e+02 2.700000000000000000e+03 2.687699193143092136e-02 5.725085134643355389e-02 3.858663000541276977e-01 4.314032071437094440e-01 8.639256771970526454e-04 2.580178438678511210e-02 4.588175795764311282e-02 4.561354920025229714e-02 2.649969791963634538e-02 4.723204112007391153e-02 3.641305049957671569e-01 4.090406180931687175e-01 2.763107238592628703e-02 1.233116567567007354e-01 4.289357925894053403e-01 4.755793726233606966e-01
7.000000000000000000e+02 3.000000000000000000e+03 2.602290022729333852e-02 2.651424350927575335e-02 1.573537921291183472e-01 1.784885551285085581e-01 6.918845958665536134e-04 1.874230831711257497e-02 4.198293363190861577e-02 4.278615657854547422e-02 2.578182745031729409e-02 1.569678688952012846e-02 1.387782299059371338e-01 1.598827978480258927e-01 2.670896335012183306e-02 7.915396181456584024e-02 2.400267705327684409e-01 2.518964366004696198e-01
9.000000000000000000e+02 2.000000000000000000e+03 1.257286946052331954e-02 1.554966218338245387e-01 7.407997117986052649e-01 8.904085189341562900e-01 8.225336158006536433e-03 9.345299011678518883e-03 2.342917853627575139e-02 2.749143975105704935e-02 1.240016009305523574e-02 1.502297368426489810e-01 7.221086762790953628e-01 8.700524789472935394e-01 3.026162831495414832e-02 1.667521493446098568e-01 7.687088031785697106e-01 9.262975747316971598e-01
9.000000000000000000e+02 2.200000000000000000e+03 1.124945541514922251e-02 1.297019962226460266e-01 6.844827455500376301e-01 7.914730897264310450e-01 6.201933149944375461e-04 1.559283701287962273e-02 3.685065269009341754e-02 3.570045116938443119e-02 1.092316608856221463e-02 1.220848184492334537e-01 6.524632333438327159e-01 7.549169560632124076e-01 1.205242448374045997e-02 1.396725831477938218e-01 7.251734464222187038e-01 8.352067849624014162e-01
9.000000000000000000e+02 2.300000000000000000e+03 9.540141266589582253e-03 1.073524829833404082e-01 6.427895897849085216e-01 7.293090373290014305e-01 9.812642838967827394e-04 1.824570147584383267e-02 4.101855486119054817e-02 3.970731522831836419e-02 9.364205963322219314e-03 1.002812011419673549e-01 6.174993080390089872e-01 6.994859502628180126e-01 9.857276477772293835e-03 1.229328464229989953e-01 6.788801960675217018e-01 7.668704611565849705e-01
9.000000000000000000e+02 2.700000000000000000e+03 9.686112885338190107e-03 5.149383714920323374e-02 3.597538452735556946e-01 4.015751133809583595e-01 3.720133105206438430e-04 2.341966159891658780e-02 4.414375197463582534e-02 4.434840641496081565e-02 9.487185870018228009e-03 4.610050593538198710e-02 3.382640361544994034e-01 3.770557519892552278e-01 1.002201094683533543e-02 1.113975265624737310e-01 4.024315331990339084e-01 4.440039026277069478e-01
9.000000000000000000e+02 3.000000000000000000e+03 9.353141933845171910e-03 2.358859761286868223e-02 1.532839207036493512e-01 1.705388815869640085e-01 2.841308713022790296e-04 1.618138706071935856e-02 4.053702754486236681e-02 4.187185378949818265e-02 9.179146191741255692e-03 1.515173130268379284e-02 1.378605875085744947e-01 1.539622174108146724e-01 9.640191056284887552e-03 6.869273666806374745e-02 2.320346718797198504e-01 2.449578099139299303e-01
1.100000000000000000e+03 2.000000000000000000e+03 6.005656278387227175e-03 1.042366472269463940e-01 4.795321542675622939e-01 5.854536686500002585e-01 4.467521069615490144e-04 3.687115139081934261e-03 1.538174876737876361e-02 1.794883207290655369e-02 5.807344003499519125e-03 9.994376153340112090e-02 4.621011166106435697e-01 5.635471687025008780e-01 6.434626726654973754e-03 1.097764065866246169e-01 4.940903119657371612e-01 6.031479755229408601e-01
1.100000000000000000e+03 2.200000000000000000e+03 5.432678309818065113e-03 7.962924649151170708e-02 4.380127494208415628e-01 5.156092823185025598e-01 6.505855303163981824e-04 3.804162590532273510e-03 1.902766555147026792e-02 2.116601287583597460e-02 5.253293395411059823e-03 7.577274313330760458e-02 4.238068107841275189e-01 4.995033981156298819e-01 5.632265369711842752e-03 8.618333525421868757e-02 4.630589214316525037e-01 5.462969211041820428e-01
1.100000000000000000e+03 2.300000000000000000e+03 4.357704123899922878e-03 7.304660890330685885e-02 4.140364266933061477e-01 4.826736275011703770e-01 3.119454319280589617e-04 8.437894573638800993e-03 3.462739691602269992e-02 3.620413177038872554e-02 4.253553382911547283e-03 6.933506239785212910e-02 3.989624254562287864e-01 4.662789979792095196e-01 4.592215529869200785e-03 7.761614802621041864e-02 4.349988383362034527e-01 5.051841036803503826e-01
1.100000000000000000e+03 2.700000000000000000e+03 3.341930491992857379e-03 3.846299274689364556e-02 3.101205028259545471e-01 3.417372850534221573e-01 4.838066600340405884e-04 1.324703069590746699e-02 4.299853156837906559e-02 4.338142607828768260e-02 3.288659474552273112e-03 3.457287874369489172e-02 2.861327834174383078e-01 3.147670165446626589e-01 3.461556869183981047e-03 6.562126838432999487e-02 3.439945642527268976e-01 3.747649720171141730e-01
1.100000000000000000e+03 3.000000000000000000e+03 3.410703134422782105e-03 2.046203839622224782e-02 1.443702963202244116e-01 1.588848363641138239e-01 1.162357526919997392e-04 1.630811383153522170e-02 3.826011151109016267e-02 3.936340733223391009e-02 3.363251335053208963e-03 1.358752269672294441e-02 1.321534871174168124e-01 1.445377501513336604e-01 3.536437540119071778e-03 6.759174802280483452e-02 2.165749740419041502e-01 2.286413998740648434e-01
