# bkg-pred	mN=2000GeV-pred	mN=2200GeV-pred	mN=2300GeV-pred	mN=2700GeV-pred	mN=3000GeV-pred
2.191916108131408691e-02 9.999934434890747070e-01 5.393028855323791504e-01 8.961217999458312988e-01 9.950215816497802734e-01 6.744481921195983887e-01
1.252766400575637817e-01 1.292485147714614868e-01 9.974728226661682129e-01 4.566246271133422852e-02 3.333748877048492432e-01 1.195713728666305542e-01
1.720147021114826202e-02 9.937782287597656250e-01 9.998742341995239258e-01 8.929205536842346191e-01 4.972932934761047363e-01 9.997182488441467285e-01
3.191418349742889404e-01 9.995269775390625000e-01 8.849400877952575684e-01 2.835451662540435791e-01 3.238488137722015381e-01 1.724492162466049194e-01
6.063365936279296875e-01 9.489871263504028320e-01 3.763363957405090332e-01 9.880791306495666504e-01 7.939026951789855957e-01 5.797898173332214355e-01
1.189527958631515503e-01 9.963911175727844238e-01 9.189188480377197266e-01 9.992671608924865723e-01 9.999825954437255859e-01 9.127924442291259766e-01
3.089205175638198853e-02 9.928023219108581543e-01 9.890660047531127930e-01 7.189627885818481445e-01 8.519601821899414062e-01 7.966513633728027344e-01
4.045131802558898926e-01 5.222921967506408691e-01 5.589045286178588867e-01 4.136164784431457520e-01 9.919586181640625000e-01 6.596674919128417969e-01
6.394726634025573730e-01 9.790351390838623047e-01 7.444312423467636108e-02 8.165032267570495605e-01 9.999976158142089844e-01 6.608117222785949707e-01
3.725447505712509155e-02 8.460814356803894043e-01 9.002669453620910645e-01 5.179173350334167480e-01 6.018877029418945312e-01 9.050849676132202148e-01
8.920206688344478607e-03 9.627870917320251465e-01 7.786969542503356934e-01 9.490321278572082520e-01 6.363440752029418945e-01 6.688106656074523926e-01
2.112375497817993164e-01 9.000336378812789917e-02 9.686855673789978027e-01 9.953812360763549805e-01 5.961421877145767212e-02 9.952785968780517578e-01
2.667365372180938721e-01 9.855824708938598633e-01 9.964070916175842285e-01 9.933983087539672852e-01 9.979364871978759766e-01 9.786713123321533203e-01
3.677588403224945068e-01 9.665188193321228027e-01 9.986109733581542969e-01 4.936580061912536621e-01 9.902924895286560059e-01 7.903126068413257599e-03
6.411023736000061035e-01 9.947206974029541016e-01 9.382014274597167969e-01 4.361584186553955078e-01 2.827326953411102295e-01 8.439484834671020508e-01
1.310185194015502930e-01 9.852036237716674805e-01 6.241863220930099487e-02 6.044747307896614075e-02 1.638740897178649902e-01 9.609782695770263672e-01
8.719458244740962982e-03 9.745837450027465820e-01 9.989396929740905762e-01 8.328788280487060547e-01 7.518017888069152832e-01 6.018467545509338379e-01
2.790871560573577881e-01 3.329548239707946777e-01 5.106056928634643555e-01 6.597545742988586426e-01 9.910148978233337402e-01 5.870668292045593262e-01
1.568134278059005737e-01 9.999997615814208984e-01 9.995490908622741699e-01 5.710465312004089355e-01 3.463616222143173218e-02 3.464490473270416260e-01
7.469559311866760254e-01 9.969357252120971680e-01 6.397367119789123535e-01 9.991281628608703613e-01 2.246667891740798950e-01 7.752294540405273438e-01
6.610668301582336426e-01 9.751127362251281738e-01 1.380718052387237549e-01 6.712911725044250488e-01 6.694177389144897461e-01 9.895312786102294922e-01
8.451035022735595703e-01 5.561240315437316895e-01 9.999991655349731445e-01 7.976489067077636719e-01 1.328654438257217407e-01 1.659054905176162720e-01
4.786036908626556396e-01 5.401697158813476562e-01 9.963239431381225586e-01 8.324624896049499512e-01 9.188223481178283691e-01 7.014657258987426758e-01
6.918675303459167480e-01 4.972477257251739502e-01 9.999700784683227539e-01 9.708365201950073242e-01 7.631151080131530762e-01 1.392020583152770996e-01
5.753306150436401367e-01 6.734593510627746582e-01 3.756153881549835205e-01 8.383044004440307617e-01 9.943063855171203613e-01 4.732879698276519775e-01
8.838135004043579102e-01 9.702639579772949219e-01 6.574267745018005371e-01 9.903033375740051270e-01 3.842640221118927002e-01 9.598884582519531250e-01
4.558021202683448792e-03 9.329633116722106934e-01 9.488632678985595703e-01 9.999964237213134766e-01 6.123008728027343750e-01 7.745051383972167969e-01
1.624458935111761093e-03 9.493770003318786621e-01 9.736508727073669434e-01 7.501639127731323242e-01 1.485984474420547485e-01 6.989289522171020508e-01
2.084084041416645050e-02 9.632151722908020020e-01 8.888323903083801270e-01 8.446332216262817383e-01 7.839996218681335449e-01 5.424770712852478027e-01
7.857549786567687988e-01 9.914174675941467285e-01 5.930405482649803162e-02 6.825675964355468750e-01 7.936428189277648926e-01 9.822010397911071777e-01
5.892396718263626099e-02 9.997223019599914551e-01 4.891118407249450684e-02 8.390189409255981445e-01 5.054880380630493164e-01 5.081422626972198486e-02
3.224899172782897949e-01 9.981258511543273926e-01 7.952540516853332520e-01 2.758522033691406250e-01 8.982824683189392090e-01 7.806676030158996582e-01
1.124142408370971680e-01 5.439887642860412598e-01 9.998914003372192383e-01 5.824363827705383301e-01 4.682243764400482178e-01 5.535094738006591797e-01
3.094211220741271973e-02 4.580524861812591553e-01 9.995760321617126465e-01 7.542222142219543457e-01 8.558930754661560059e-01 4.397757947444915771e-01
4.390214383602142334e-01 4.289824962615966797e-01 4.528467357158660889e-01 8.765029907226562500e-01 9.748845696449279785e-01 6.521747112274169922e-01
3.653307259082794189e-01 9.976546764373779297e-01 1.391159445047378540e-01 7.661255598068237305e-01 7.836067080497741699e-01 1.782594472169876099e-01
2.654301822185516357e-01 7.784643173217773438e-01 9.479968547821044922e-01 8.866117596626281738e-01 7.277504354715347290e-02 2.651069462299346924e-01
1.327891945838928223e-01 9.998658895492553711e-01 9.954792261123657227e-01 5.841954946517944336e-01 1.601410061120986938e-01 9.937054514884948730e-01
