seed=0 AUC=0.816922261341772, AUC0=0.7083950375867439, AUC1=0.8841556216662854, AUC2=0.9369143905023567
seed=1 AUC=0.7954266810494364, AUC0=0.670495085838928, AUC1=0.8673060568912836, AUC2=0.928327429181955
seed=2 AUC=0.7979322536813308, AUC0=0.6671547897723438, AUC1=0.8765724056865002, AUC2=0.9334441040323034
seed=3 AUC=0.7899716204093101, AUC0=0.664267879936713, AUC1=0.86374307712401, AUC2=0.9252418024788325
seed=4 AUC=0.7887713275453632, AUC0=0.66320164082722, AUC1=0.8601452332289465, AUC2=0.9209956075585077
seed=5 AUC=0.8161920305018, AUC0=0.6986046482003814, AUC1=0.885680793164271, AUC2=0.9418092319829992
seed=6 AUC=0.7951038725818086, AUC0=0.6819931381798546, AUC1=0.8475732287481015, AUC2=0.9213745191313001
seed=7 AUC=0.7949111874788573, AUC0=0.6735356013215009, AUC1=0.8629609138263353, AUC2=0.9240733744859716
seed=8 AUC=0.8280159679823177, AUC0=0.729411174287955, AUC1=0.8928080936268107, AUC2=0.9335805356605256
seed=9 AUC=0.8155480981070364, AUC0=0.709015851940147, AUC1=0.8775073006824519, AUC2=0.9290618098623291
