# mN	mSQ	0sq(mean)	1sq(mean)	2sq(mean)	S-comb(mean)	0sq(std)	1sq(std)	2sq(std)	S-comb(std)	0sq(min)	1sq(min)	2sq(min)	S-comb(min)	0sq(max)	1sq(max)	2sq(max)	S-comb(max)
2.000000000000000000e+02 2.000000000000000000e+03 1.829252099769737017e+00 1.317623516151662733e+00 4.870765687339051020e+00 6.438880861240397380e+00 8.552636800728717625e-02 1.080772951901751572e-01 1.278181004358193984e-01 1.223025102500615718e-01 1.818326656305682354e+00 1.280960517952524969e+00 4.777682765117342356e+00 6.386404668167898535e+00 1.852214643541238326e+00 1.575319619995442455e+00 5.144390396213569971e+00 6.579149940412080788e+00
2.000000000000000000e+02 2.200000000000000000e+03 1.821337415521312453e+00 9.463740650476495375e-01 3.956854683404540829e+00 5.125827306699207497e+00 7.996903041593846073e-02 1.127367422250439843e-01 1.364254581835600555e-01 1.386466955442829940e-01 1.809890818464800155e+00 9.181413216152245482e-01 3.856996327778297928e+00 5.071822793438147237e+00 1.839889955452723935e+00 1.122159924856841462e+00 4.129783084936965665e+00 5.261606894296234849e+00
2.000000000000000000e+02 2.300000000000000000e+03 8.875859142073549979e-01 6.537922995840750318e-01 2.998533348054616354e+00 3.578345689739061530e+00 3.532289293907191208e-02 1.137859530862898594e-01 1.140175689108073875e-01 1.102353757046363320e-01 8.818554126315732988e-01 6.013770567717944271e-01 2.899534786113091123e+00 3.455296635417043127e+00 8.974001835506189018e-01 8.433312424231144133e-01 3.184382609993964497e+00 3.747857802732268429e+00
2.000000000000000000e+02 2.700000000000000000e+03 1.818078770608919870e+00 4.178314496308689341e-01 1.411718608053206703e+00 2.389287037726953944e+00 7.217777240995368326e-02 1.259613803813246780e-01 1.088430409312126090e-01 9.145236416561321191e-02 1.810610619239688912e+00 2.395714171532816184e-01 1.301426075395892390e+00 2.344445031482267794e+00 1.834159590536000639e+00 6.015494185483234446e-01 1.587051653616699198e+00 2.459276913703748235e+00
2.000000000000000000e+02 3.000000000000000000e+03 1.797624482861516881e+00 8.772249645852785160e-02 7.426245926551762189e-01 1.909865859995797610e+00 7.462659739767593670e-02 4.811117815870578907e-02 1.352039132209565397e-01 1.182615203716181340e-01 1.787473168118042466e+00 5.734983928136605513e-02 6.396961027472245487e-01 1.891128048986997490e+00 1.815198251243405281e+00 2.166284661077571838e-01 1.015746876303382340e+00 1.930816048870675150e+00
3.000000000000000000e+02 2.000000000000000000e+03 9.649741116192919188e-01 1.204087498960506597e+00 4.664181250043412774e+00 5.857309164347934249e+00 2.936439113811161947e-02 1.300033995674284015e-01 1.404269452713539645e-01 1.329963924302312583e-01 9.557197063687944416e-01 1.149917012340859079e+00 4.580473122532389141e+00 5.746497493887720687e+00 9.768292384662514705e-01 1.294752986691780405e+00 4.908031258294797361e+00 6.070123366726752678e+00
3.000000000000000000e+02 2.200000000000000000e+03 9.237732371000231257e-01 8.816830581820838120e-01 3.564488644678311058e+00 4.306449834841457935e+00 3.003574472117043551e-02 1.152360712530137304e-01 1.350305344694723853e-01 1.390040034330848606e-01 9.158034412235874777e-01 8.498527915022626722e-01 3.441890748511542863e+00 4.206521083183979215e+00 9.321901176674138867e-01 1.045824417489062741e+00 3.791397704389806833e+00 4.520840363552053098e+00
3.000000000000000000e+02 2.300000000000000000e+03 9.146751960065063747e-01 6.217134633487254591e-01 3.092140074004897432e+00 3.663364433707747114e+00 3.555062214499268847e-02 1.083340026562002179e-01 1.296936717987001997e-01 1.192349019715960023e-01 9.108545740484081943e-01 5.876720355584434952e-01 2.989489432873809527e+00 3.542243658649253835e+00 9.200733564074523585e-01 7.895105785012940247e-01 3.310374178789796673e+00 3.867780929679022428e+00
3.000000000000000000e+02 2.700000000000000000e+03 8.947953977613835042e-01 2.931653466242792883e-01 1.285702372472701693e+00 1.635967073293659535e+00 2.469836487977397632e-02 1.076007169424512550e-01 1.222679144070321633e-01 1.036631189422092536e-01 8.893025122770111812e-01 2.122672016204514567e-01 1.176852394328825602e+00 1.512674496807405511e+00 9.026366816747007915e-01 4.909659706814595292e-01 1.460434722813054975e+00 1.747721645488733211e+00
3.000000000000000000e+02 3.000000000000000000e+03 8.996190611887362465e-01 6.650229029931498115e-02 5.009288055754824720e-01 1.001617722470743876e+00 2.535137635699149378e-02 3.465544602809444291e-02 1.179445878318615554e-01 1.060857740890969042e-01 8.952827315325015967e-01 4.693276876853377105e-02 4.292025236105229125e-01 9.967126355447495367e-01 9.067121928559143118e-01 1.487202832910345662e-01 6.863822617572626905e-01 1.014479709427971388e+00
