# bkg-pred	mh=200GeV-pred	mh=300GeV-pred	mh=500GeV-pred	mh=700GeV-pred	mh=900GeV-pred	mh=1100GeV-pred
1.022470146417617798e-01 9.638919234275817871e-01 6.184211373329162598e-01 9.901533722877502441e-01 9.956613183021545410e-01 7.952190041542053223e-01 8.791705965995788574e-01
2.503295242786407471e-01 6.160282492637634277e-01 9.478930234909057617e-01 9.025207161903381348e-01 4.698486626148223877e-01 9.986400008201599121e-01 9.993088245391845703e-01
3.113624155521392822e-01 9.920610189437866211e-01 9.979683756828308105e-01 9.966961145401000977e-01 3.715330362319946289e-01 5.083345770835876465e-01 4.785856902599334717e-01
3.567078113555908203e-01 9.959732890129089355e-01 8.297806978225708008e-01 9.974098801612854004e-01 7.177670598030090332e-01 9.287424683570861816e-01 9.291372895240783691e-01
2.899158596992492676e-01 9.999880790710449219e-01 9.276974946260452271e-02 9.998964071273803711e-01 9.516338706016540527e-01 5.372257828712463379e-01 8.999198079109191895e-01
1.506826877593994141e-01 9.726463556289672852e-01 9.990253448486328125e-01 9.204332828521728516e-01 9.411281943321228027e-01 7.502999305725097656e-01 6.421086788177490234e-01
5.693173408508300781e-02 8.583850413560867310e-02 6.654124855995178223e-01 9.859563112258911133e-01 4.837363660335540771e-01 9.401118755340576172e-01 6.060432791709899902e-01
6.493435800075531006e-02 5.158045887947082520e-01 9.986376166343688965e-01 9.949859380722045898e-01 9.740930795669555664e-01 5.628258585929870605e-01 9.821944832801818848e-01
7.267709821462631226e-02 5.076649785041809082e-02 6.657879054546356201e-02 9.988747239112854004e-01 4.663051962852478027e-01 9.996036887168884277e-01 5.043851733207702637e-01
7.637804150581359863e-01 9.990328550338745117e-01 5.343609452247619629e-01 9.996801614761352539e-01 9.907784461975097656e-01 1.934587508440017700e-01 7.520892024040222168e-01
6.091061234474182129e-01 5.353518724441528320e-01 5.111283063888549805e-01 7.914730906486511230e-01 8.955207467079162598e-01 3.043058514595031738e-01 9.679285287857055664e-01
3.115169405937194824e-01 7.391979694366455078e-01 6.454547047615051270e-01 8.936030268669128418e-01 8.270592242479324341e-02 9.796970486640930176e-01 5.844590663909912109e-01
1.669705063104629517e-01 1.856565922498703003e-01 9.994150400161743164e-01 9.714903235435485840e-01 7.585355043411254883e-01 9.121767282485961914e-01 9.811602234840393066e-01
