# bkg-pred	mN=200GeV-pred	mN=300GeV-pred	mN=500GeV-pred	mN=700GeV-pred	mN=900GeV-pred	mN=1100GeV-pred
1.022470146417617798e-01 9.995212554931640625e-01 6.184211373329162598e-01 1.016169115900993347e-01 9.684090614318847656e-01 7.550718188285827637e-01 8.885963559150695801e-01
2.503295242786407471e-01 9.415992349386215210e-02 9.478930234909057617e-01 6.645630598068237305e-01 9.997660517692565918e-01 4.228453636169433594e-01 9.454983472824096680e-01
3.113624155521392822e-01 9.585298895835876465e-01 9.979683756828308105e-01 9.700994491577148438e-01 4.526033699512481689e-01 2.460348159074783325e-01 7.064194083213806152e-01
3.567078113555908203e-01 9.700832962989807129e-01 8.297806978225708008e-01 9.999654293060302734e-01 8.367386460304260254e-01 5.617957115173339844e-01 9.885693192481994629e-01
2.899158596992492676e-01 5.262071490287780762e-01 9.276974946260452271e-02 4.819022119045257568e-02 9.508627057075500488e-01 7.955037951469421387e-01 9.935743212699890137e-01
1.506826877593994141e-01 7.940547168254852295e-02 9.990253448486328125e-01 3.979621231555938721e-01 5.918618440628051758e-01 5.980953574180603027e-01 9.926912188529968262e-01
5.693173408508300781e-02 9.775587916374206543e-01 6.654124855995178223e-01 1.826624274253845215e-01 9.633558392524719238e-01 7.156716585159301758e-01 9.857785701751708984e-01
6.493435800075531006e-02 9.493192434310913086e-01 9.986376166343688965e-01 9.991328120231628418e-01 2.439012825489044189e-01 8.834465593099594116e-02 8.152411580085754395e-01
7.267709821462631226e-02 9.582555294036865234e-01 6.657879054546356201e-02 9.988773465156555176e-01 8.938110470771789551e-01 4.448391199111938477e-01 9.197705388069152832e-01
7.637804150581359863e-01 9.968683123588562012e-01 5.343609452247619629e-01 2.551681697368621826e-01 1.081129536032676697e-01 6.719731688499450684e-01 8.213008046150207520e-01
6.091061234474182129e-01 9.990633130073547363e-01 5.111283063888549805e-01 7.289262413978576660e-01 8.363749980926513672e-01 9.529122114181518555e-01 9.042149186134338379e-01
3.115169405937194824e-01 2.362871170043945312e-01 6.454547047615051270e-01 1.604531556367874146e-01 9.997916817665100098e-01 4.282663464546203613e-01 4.033559933304786682e-02
1.669705063104629517e-01 9.994745850563049316e-01 9.994150400161743164e-01 9.829357862472534180e-01 9.944390058517456055e-01 2.633340358734130859e-01 2.465859502553939819e-01
4.419672489166259766e-01 8.579364418983459473e-01 4.975652098655700684e-01 9.668075442314147949e-01 9.999508857727050781e-01 9.979920387268066406e-01 2.869016826152801514e-01
4.555066823959350586e-01 9.878616333007812500e-01 4.270826876163482666e-01 1.641202270984649658e-01 3.297407925128936768e-01 2.582690715789794922e-01 3.851609230041503906e-01
1.303356736898422241e-01 9.384036660194396973e-01 9.986934065818786621e-01 5.377985239028930664e-01 3.053159117698669434e-01 5.958648324012756348e-01 5.292632579803466797e-01
4.002667367458343506e-01 9.999880790710449219e-01 9.822659492492675781e-01 2.912156656384468079e-02 1.435913294553756714e-01 7.070895433425903320e-01 9.774748682975769043e-01
5.163016915321350098e-01 9.968299269676208496e-01 9.914950132369995117e-01 5.737757086753845215e-01 2.804587483406066895e-01 2.597359120845794678e-01 3.638588190078735352e-01
8.687248080968856812e-02 7.052951455116271973e-01 8.990247845649719238e-01 1.677574515342712402e-01 5.228635072708129883e-01 9.996761083602905273e-01 6.216030716896057129e-01
9.208613038063049316e-01 8.399717211723327637e-01 1.168903633952140808e-01 9.978972673416137695e-01 5.224663615226745605e-01 5.899190902709960938e-01 4.850209057331085205e-01
4.615603685379028320e-01 9.651364684104919434e-01 2.150172591209411621e-01 8.958826661109924316e-01 2.852331399917602539e-01 9.351279139518737793e-01 7.089255452156066895e-01
6.012516617774963379e-01 9.251526594161987305e-01 7.645593881607055664e-01 6.915898323059082031e-01 8.282176852226257324e-01 4.721192717552185059e-01 9.873918890953063965e-01
1.768940091133117676e-01 8.183366656303405762e-01 5.804812908172607422e-01 3.400148451328277588e-01 9.766659140586853027e-01 9.726256132125854492e-01 6.914397478103637695e-01
4.680126160383224487e-02 4.839977025985717773e-01 9.708356261253356934e-01 9.999856948852539062e-01 9.728168845176696777e-01 1.894056349992752075e-01 9.879262447357177734e-01
6.115390360355377197e-02 9.626356363296508789e-01 9.993663430213928223e-01 5.232036709785461426e-01 2.683868110179901123e-01 3.630104064941406250e-01 9.924082756042480469e-01
2.695724666118621826e-01 2.702912688255310059e-01 9.652056097984313965e-01 9.975187778472900391e-01 6.436743736267089844e-01 9.803504943847656250e-01 9.554095864295959473e-01
1.593724936246871948e-01 3.536363244056701660e-01 2.134201526641845703e-01 7.650483250617980957e-01 7.936511635780334473e-01 5.896136760711669922e-01 9.374856948852539062e-01
6.216181069612503052e-02 9.939823746681213379e-01 7.333651185035705566e-01 9.958418011665344238e-01 4.803398251533508301e-01 2.714767456054687500e-01 9.888705611228942871e-01
