# FPR	mN=200GeV-mean	mN=200GeV-std	mN=200GeV-min	mN=200GeV-max	mN=300GeV-mean	mN=300GeV-std	mN=300GeV-min	mN=300GeV-max	mN=500GeV-mean	mN=500GeV-std	mN=500GeV-min	mN=500GeV-max	mN=700GeV-mean	mN=700GeV-std	mN=700GeV-min	mN=700GeV-max	mN=900GeV-mean	mN=900GeV-std	mN=900GeV-min	mN=900GeV-max	mN=1100GeV-mean	mN=1100GeV-std	mN=1100GeV-min	mN=1100GeV-max
2.004008016032064049e-02 3.018634018634019367e-01 3.691356707528418903e-03 2.974512974512974472e-01 3.078463078463078428e-01 3.352814352814352805e-01 7.338317408762787958e-03 3.254023254023253875e-01 3.527373527373527384e-01 3.804419804419804096e-01 1.097372939730853307e-02 3.655963655963656023e-01 4.074844074844075070e-01 3.536382536382535746e-01 1.207669806624006234e-02 3.344883344883344822e-01 3.815353815353815237e-01 2.766689766689766627e-01 1.168953737751975142e-02 2.631862631862632029e-01 3.040733040733040737e-01 1.622083622083622112e-01 9.251885286506585440e-03 1.513821513821513864e-01 1.824901824901824787e-01
2.204408817635270315e-02 3.121583121583121345e-01 3.579302840331459283e-03 3.069223069223069311e-01 3.167783167783168041e-01 3.469931469931470391e-01 7.752971003238613365e-03 3.344113344113344155e-01 3.642103642103642347e-01 3.953260953260953614e-01 1.077535952191989790e-02 3.783013783013782771e-01 4.199584199584199817e-01 3.705474705474705033e-01 1.215236136105347052e-02 3.492723492723492917e-01 3.973973973973973783e-01 2.924385924385924929e-01 1.142860916455210041e-02 2.769692769692769785e-01 3.177023177023177158e-01 1.753753753753753697e-01 9.065378355153592971e-03 1.628551628551628550e-01 1.935011935011934914e-01
2.404809619238476581e-02 3.230153230153230415e-01 3.691348676581030462e-03 3.158543158543158369e-01 3.298683298683298681e-01 3.586201586201586133e-01 7.841859623167413140e-03 3.470393470393470237e-01 3.776083776083776211e-01 4.098329098329098197e-01 1.130691794180266330e-02 3.926233926233926308e-01 4.366674366674366814e-01 3.862323862323862600e-01 1.215762698949265398e-02 3.659043659043659247e-01 4.146454146454146561e-01 3.086933086933086878e-01 1.199111496790572495e-02 2.937552937552937449e-01 3.384923384923385070e-01 1.888272888272888583e-01 9.150839598946481843e-03 1.767921767921767917e-01 2.089782089782089847e-01
2.605210420841683194e-02 3.334257334257334504e-01 2.947162230268592954e-03 3.289443289443289564e-01 3.394933394933394855e-01 3.696542696542696738e-01 7.190838442508875640e-03 3.587433587433587201e-01 3.863093863093863267e-01 4.234157234157233662e-01 1.073058718341580488e-02 4.053284053284053057e-01 4.476014476014475996e-01 4.018788018788018723e-01 1.213535870807758849e-02 3.807653807653807454e-01 4.281974281974281760e-01 3.237699237699237509e-01 1.103321633539394199e-02 3.070763070763070646e-01 3.501963501963502035e-01 2.019789019789019480e-01 9.166078945979162437e-03 1.884961884961884881e-01 2.209132209132209090e-01
2.805611222444889460e-02 3.431739431739432300e-01 2.790719050033131816e-03 3.381843381843381846e-01 3.478093478093478019e-01 3.806960806960806298e-01 6.933295764002287559e-03 3.704473704473704720e-01 3.940863940863940651e-01 4.367290367290367348e-01 1.060997358069124159e-02 4.187264187264187476e-01 4.573804573804574058e-01 4.164010164010164550e-01 1.150231675995968227e-02 3.959343959343959440e-01 4.375914375914375931e-01 3.387926387926387672e-01 1.079361196328651289e-02 3.219373219373219408e-01 3.603603603603603434e-01 2.154770154770155044e-01 9.806086022391911558e-03 2.020482020482020358e-01 2.314622314622314658e-01
3.006012024048096073e-02 3.512743512743513041e-01 2.505994684753427241e-03 3.473473473473473461e-01 3.558173558173557960e-01 3.894663894663894510e-01 6.359945337640009362e-03 3.766073766073765872e-01 3.990913990913990683e-01 4.477708477708478019e-01 1.012208699593062158e-02 4.279664279664279758e-01 4.654654654654654666e-01 4.293062293062293588e-01 1.137837096839975672e-02 4.040194040194040048e-01 4.463694463694463654e-01 3.516054516054515355e-01 1.042207064498243928e-02 3.327943327943327922e-01 3.696003696003696271e-01 2.270963270963270997e-01 9.885925305854813966e-03 2.107492107492107414e-01 2.410102410102410164e-01
3.206412825651302340e-02 3.604450604450604168e-01 2.361141791586345278e-03 3.565873565873565743e-01 3.659043659043659247e-01 3.984522984522984590e-01 6.210145716630250182e-03 3.866943866943867159e-01 4.081004081004080963e-01 4.596904596904597406e-01 9.941243737911028069e-03 4.404404404404404505e-01 4.775544775544775522e-01 4.425887425887425897e-01 1.073914804202297409e-02 4.203434203434203709e-01 4.597674597674597519e-01 3.643335643335642859e-01 9.962405535760365458e-03 3.474243474243474128e-01 3.816123816123815904e-01 2.389928389928390184e-01 9.455835186039809534e-03 2.241472241472241556e-01 2.530992530992530742e-01
3.406813627254508953e-02 3.681681681681681639e-01 2.457062684244746675e-03 3.649803649803649575e-01 3.724493724493724289e-01 4.066220066220067042e-01 6.165759229254396540e-03 3.951643951643951658e-01 4.170324170324170576e-01 4.698467698467698739e-01 9.338712696781202929e-03 4.516824516824516911e-01 4.867174867174867137e-01 4.543885646090055630e-01 1.040590774019765040e-02 4.326205348249436144e-01 4.727034727034726824e-01 3.763455763455763048e-01 9.015206370783233544e-03 3.598213598213598208e-01 3.925463925463925641e-01 2.492877492877492995e-01 9.027368311788097968e-03 2.346192346192346179e-01 2.620312620312620355e-01
3.607214428857714872e-02 3.755986755986756020e-01 2.162989590137512352e-03 3.733733733733733962e-01 3.800723800723800894e-01 4.145376145376145627e-01 5.760635080422980836e-03 4.030954030954030931e-01 4.228074228074227836e-01 4.800723800723800672e-01 8.109321883618696505e-03 4.649264649264649440e-01 4.944174944174944408e-01 4.662698770915203461e-01 9.645556876954284806e-03 4.467544467544467546e-01 4.816354816354816437e-01 3.882574882574882369e-01 8.313230858670141513e-03 3.739123739123739187e-01 4.003234003234003024e-01 2.599676599676599142e-01 8.887476841849447848e-03 2.468622468622468646e-01 2.731192731192731427e-01
3.807615230460921485e-02 3.824516824516824842e-01 2.490199632997775955e-03 3.777623777623777546e-01 3.863863863863863934e-01 4.219450219450219808e-01 5.884115947668466795e-03 4.102564102564102422e-01 4.290444290444290210e-01 4.893508893508893287e-01 8.249421855248635638e-03 4.742434742434742390e-01 4.998844998844998999e-01 4.765072765072764227e-01 1.002197932746016346e-02 4.578424578424578617e-01 4.896434896434896378e-01 3.991837991837991484e-01 9.375485866843514746e-03 3.826903826903826911e-01 4.148764148764148563e-01 2.701701701701701985e-01 9.447194016683483492e-03 2.535612535612535856e-01 2.871332871332871184e-01
4.008016032064128098e-02 3.890043890043889951e-01 2.434956233285877000e-03 3.854623854623854817e-01 3.927003927003926975e-01 4.290906290906290610e-01 6.033210319491360239e-03 4.167244167244167352e-01 4.385924385924385716e-01 4.983367983367982812e-01 9.379446985721682714e-03 4.801724801724801539e-01 5.116655116655116631e-01 4.868175868175868004e-01 1.077214565293877803e-02 4.662354662354662449e-01 5.025795025795025683e-01 4.096712096712097351e-01 1.011894688918120108e-02 3.935473935473935425e-01 4.272734272734272643e-01 2.800569800569800427e-01 1.001684587503981830e-02 2.650342650342650264e-01 2.992992992992993262e-01
4.208416833667334017e-02 3.961114961114960975e-01 2.939154566750530433e-03 3.927003927003926975e-01 4.017864017864017923e-01 4.367213367213366726e-01 5.634706539812329128e-03 4.248094248094247960e-01 4.435204435204435081e-01 5.075537075537075449e-01 8.612602319494571876e-03 4.897204897204897045e-01 5.201355201355201130e-01 4.975898975898975785e-01 9.500686257633627479e-03 4.794794794794794979e-01 5.130515130515130862e-01 4.213213213213212738e-01 9.066022549908398301e-03 4.058674058674058838e-01 4.378994378994379155e-01 2.907291907291906785e-01 9.065237738029171058e-03 2.768922768922769118e-01 3.068453068453068644e-01
4.408817635270540630e-02 4.028182028182028529e-01 3.378750744269510414e-03 3.989373989373989349e-01 4.104874104874104979e-01 4.438361438361438371e-01 5.825446410500909056e-03 4.319704319704319451e-01 4.517594517594517578e-01 5.161238161238160815e-01 9.288549002088473602e-03 4.961114961114961308e-01 5.306075306075306308e-01 5.070070070070069601e-01 9.340858362762109041e-03 4.879494879494879478e-01 5.238315238315238709e-01 4.315854315854316114e-01 9.047361599351599892e-03 4.146454146454146561e-01 4.447524447524447422e-01 3.006006006006006759e-01 8.803196919442077273e-03 2.852082852082852282e-01 3.133133133133133019e-01
4.609218436873747243e-02 4.085316085316085255e-01 3.644666696308098384e-03 4.039424039424039381e-01 4.158774158774158902e-01 4.498113498113497921e-01 5.720753354585841020e-03 4.382074382074381824e-01 4.569184569184568945e-01 5.232771232771232794e-01 9.584069393982954516e-03 5.028105028105027685e-01 5.363055363055363456e-01 5.157388157388156369e-01 9.860367217481600527e-03 4.962654962654962643e-01 5.308385308385308310e-01 4.407869407869407508e-01 9.765130821728116445e-03 4.233464233464233617e-01 4.573034573034572836e-01 3.088011088011087812e-01 9.520660189600843940e-03 2.913682913682913433e-01 3.253253253253253208e-01
4.809619238476953162e-02 4.136059136059135888e-01 3.792634864859004747e-03 4.093324093324093305e-01 4.211134211134210936e-01 4.555940555940555248e-01 4.999647670879286444e-03 4.458304458304458429e-01 4.607684607684607858e-01 5.304227304227303597e-01 8.822152561629931569e-03 5.115885115885115964e-01 5.409255409255409042e-01 5.238238238238237532e-01 9.008643744828816885e-03 5.078155078155077717e-01 5.373065373065373240e-01 4.488180488180488759e-01 9.766378458988830488e-03 4.328174328174327901e-01 4.676984676984676792e-01 3.172403172403172045e-01 9.180656892011463538e-03 3.012243012243012164e-01 3.353353353353353272e-01
5.010020040080159776e-02 4.187726187726187876e-01 3.644992034548307901e-03 4.138754138754138778e-01 4.256564256564256410e-01 4.607992607992608680e-01 5.005028697280318462e-03 4.506814506814506571e-01 4.661584661584661782e-01 5.372449372449371596e-01 8.806250742513893962e-03 5.191345191345191346e-01 5.490875490875490872e-01 5.312978463279065533e-01 9.189623953760450020e-03 5.152075152075151765e-01 5.447755447755447955e-01 4.569569569569568723e-01 1.005600075060662096e-02 4.403634403634403838e-01 4.756294756294756065e-01 3.251251251251251473e-01 9.199314920944133556e-03 3.086163086163086211e-01 3.420343420343420204e-01
5.210420841683366389e-02 4.247016247016247026e-01 2.853619113735384773e-03 4.200354200354200485e-01 4.293524293524293434e-01 4.668822668822668054e-01 4.495934206238847222e-03 4.594594594594594850e-01 4.721644721644721598e-01 5.447216447216447488e-01 8.513022790586308522e-03 5.286825286825286296e-01 5.579425579425579818e-01 5.393470393470393143e-01 8.709607336983936701e-03 5.253715253715253164e-01 5.529375529375529785e-01 4.667205667205667763e-01 9.066741901120556335e-03 4.539154539154539036e-01 4.837144837144837228e-01 3.344960344960344889e-01 8.579788647482686909e-03 3.180103180103179827e-01 3.504273504273504036e-01
5.410821643286573002e-02 4.299915299915298972e-01 3.224097219315092983e-03 4.256564256564256410e-01 4.352814352814352583e-01 4.722722722722722533e-01 4.829593130887556950e-03 4.639254639254639101e-01 4.787864787864787863e-01 5.511665511665511108e-01 8.989309674012575802e-03 5.349195349195349225e-01 5.664125664125664317e-01 5.462385462385462853e-01 8.987198826075041766e-03 5.322245322245322541e-01 5.608685608685608504e-01 4.742280742280742811e-01 9.224969151169364751e-03 4.604604604604604634e-01 4.897974897974897712e-01 3.427658427658428208e-01 9.069762553182042150e-03 3.252483252483252540e-01 3.575113575113574860e-01
5.611222444889778921e-02 4.348810348810349113e-01 3.171393787511576998e-03 4.302764302764302551e-01 4.401324401324401281e-01 4.776622776622776456e-01 4.549290708678799776e-03 4.697774697774697583e-01 4.829444829444829446e-01 5.573958573958573970e-01 8.396218470412655441e-03 5.424655424655424607e-01 5.721875721875722132e-01 5.533764533764534699e-01 8.194635293533666584e-03 5.413105413105413488e-01 5.660275660275659870e-01 4.821128821128820574e-01 8.153490123789680979e-03 4.702394702394702142e-01 4.943404943404943186e-01 3.511126511126511085e-01 8.410047673332948781e-03 3.342573342573342821e-01 3.639023639023639123e-01
5.811623246492985534e-02 4.402325402325402703e-01 2.859607043755611668e-03 4.359744359744359699e-01 4.454454454454454537e-01 4.832139832139832336e-01 4.278218794813315289e-03 4.752444752444752174e-01 4.898744898744898935e-01 5.641179641179639992e-01 8.381966807060551444e-03 5.486255486255485758e-01 5.801955801955801517e-01 5.611842611842611239e-01 8.233353629363688447e-03 5.488565488565488870e-01 5.761915761915762380e-01 4.910525910525910254e-01 8.880753066349226371e-03 4.779394779394779413e-01 5.051205051205051033e-01 3.601524601524602187e-01 9.177107448892494676e-03 3.438823438823438994e-01 3.754523754523754753e-01
6.012024048096192147e-02 4.454839454839454871e-01 3.335490114057826101e-03 4.398244398244398057e-01 4.515284515284515021e-01 4.880418880418880834e-01 4.464384515410635239e-03 4.794794794794794979e-01 4.944944944944945076e-01 5.704550704550703788e-01 8.283451266293625007e-03 5.552475552475552023e-01 5.861245861245861777e-01 5.679602679602678839e-01 8.580686957715223662e-03 5.551705551705551356e-01 5.811965811965812412e-01 4.988757988757988038e-01 8.778647044915896189e-03 4.858704858704858687e-01 5.119735119735119300e-01 3.683452683452683174e-01 8.991621143510255751e-03 3.523523523523523493e-01 3.828443828443828245e-01
6.212424849699398066e-02 4.500346500346500411e-01 3.694591758232964370e-03 4.430584430584430522e-01 4.565334565334565609e-01 4.926156926156926019e-01 4.460717538242250577e-03 4.847154847154847013e-01 4.976514976514976318e-01 5.759528759528759201e-01 8.385619490959422828e-03 5.601755601755601388e-01 5.902825902825903359e-01 5.742819742819742501e-01 8.627775305195362759e-03 5.607915607915607836e-01 5.858935858935858665e-01 5.058135058135058149e-01 8.935061861597887872e-03 4.925694925694925619e-01 5.192115192115192013e-01 3.750442750442750661e-01 8.701284670359556161e-03 3.595903595903595651e-01 3.898513898513898401e-01
6.412825651302604679e-02 4.544467544467544196e-01 3.552942422385576074e-03 4.489104489104489004e-01 4.595364595364595517e-01 4.975513975513976561e-01 4.854309839578077428e-03 4.877184877184876921e-01 5.028105028105027685e-01 5.816123816123816015e-01 8.413131445632498692e-03 5.649495649495649419e-01 5.958265958265958062e-01 5.807499807499807432e-01 9.157494556882318434e-03 5.649495649495649419e-01 5.929775929775930043e-01 5.132363132363131353e-01 9.684038595602212363e-03 4.984214984214984101e-01 5.273735273735273843e-01 3.828982828982828712e-01 9.810912770885416023e-03 3.669823669823669698e-01 3.994763994763994575e-01
6.613226452905811292e-02 4.586740586740586378e-01 3.460174762292615638e-03 4.532994532994533143e-01 4.634634634634634542e-01 5.022946022946024325e-01 4.727585259950625556e-03 4.935704935704935958e-01 5.083545083545083498e-01 5.869869869869870360e-01 8.155162454131899274e-03 5.716485716485716351e-01 6.008316008316008094e-01 5.871245069641863878e-01 9.089064333091251627e-03 5.722645722645722799e-01 5.987525987525987858e-01 5.198583198583197618e-01 9.173756988036583029e-03 5.046585046585047030e-01 5.336875336875336329e-01 3.905135905135904695e-01 9.510690935278762886e-03 3.735273735273735296e-01 4.064834064834064731e-01
6.813627254509017905e-02 4.627319627319627093e-01 2.878865961751291003e-03 4.581504581504581286e-01 4.675444675444675457e-01 5.062370062370061818e-01 4.637329237785838693e-03 4.980364980364980210e-01 5.127435127435127082e-01 5.918456918456918014e-01 7.308929889584312931e-03 5.791175791175791066e-01 6.055286055286055458e-01 5.927542927542928108e-01 8.612344161427228431e-03 5.806575806575806631e-01 6.046046046046046341e-01 5.263109263109264635e-01 8.316778281133422462e-03 5.136675136675136200e-01 5.400015400015399925e-01 3.970354970354971202e-01 8.458383981497161197e-03 3.822283822283822352e-01 4.112574112574112761e-01
7.014028056112224518e-02 4.669130669130669986e-01 2.666871850015254276e-03 4.630014630014629984e-01 4.713944713944713816e-01 5.107415107415107514e-01 4.237523488217233118e-03 5.033495033495033466e-01 5.165935165935165996e-01 5.970508970508970892e-01 6.866356392123329141e-03 5.845075845075845544e-01 6.098406098406098375e-01 5.986216986216985614e-01 9.073736251142461642e-03 5.858935858935858665e-01 6.129976129976130172e-01 5.327789327789327345e-01 8.326112003102808037e-03 5.212905212905213359e-01 5.486255486255485758e-01 4.046816046816046897e-01 9.334251561663491764e-03 3.900053900053900291e-01 4.224994224994225167e-01
7.214428857715429744e-02 4.706167706167705411e-01 2.940445323829157798e-03 4.664664664664664451e-01 4.758604758604758622e-01 5.146762146762146051e-01 4.289180761418763185e-03 5.061215061215060818e-01 5.218295218295218030e-01 6.011165011165010563e-01 6.632567803789667440e-03 5.886655886655887127e-01 6.129206129206129505e-01 6.034034034034034821e-01 9.131715695113350878e-03 5.901285901285900914e-01 6.176946176946176426e-01 5.383845383845382582e-01 8.572429327385300626e-03 5.256025256025256276e-01 5.546315546315546685e-01 4.108262108262108470e-01 9.850726716011191930e-03 3.943943943943943875e-01 4.288904288904288875e-01
7.414829659318636357e-02 4.747208747208747637e-01 2.662644403472490262e-03 4.713174713174713149e-01 4.790944790944791087e-01 5.188188188188187500e-01 4.413448013404847915e-03 5.109725109725109515e-01 5.253715253715253164e-01 6.055902055902054881e-01 6.652984891337985866e-03 5.937475937475937826e-01 6.176176176176175758e-01 6.087857087857087013e-01 9.370504431599114073e-03 5.955955955955956060e-01 6.241626241626241356e-01 5.445445445445445953e-01 8.653863228559981191e-03 5.319165319165318762e-01 5.617925617925617621e-01 4.173635173635174000e-01 1.089871014632680206e-02 3.996303996303996464e-01 4.371294371294371373e-01
7.615230460921842970e-02 4.783321783321783371e-01 2.591015406498944212e-03 4.748594748594748838e-01 4.818664818664818439e-01 5.221760221760221032e-01 4.649714538514052031e-03 5.130515130515130862e-01 5.279125279125279624e-01 6.101563101563101110e-01 7.134833117994857955e-03 5.975975975975975629e-01 6.226996226996226458e-01 6.133826133826133509e-01 9.696263550201176390e-03 5.992145992145991862e-01 6.286286286286286717e-01 5.502194502194502901e-01 9.058564091790961836e-03 5.346885346885347223e-01 5.672595672595672767e-01 4.229845229845229926e-01 1.118681806322385092e-02 4.020944020944021147e-01 4.427504427504427298e-01
7.815631262525049583e-02 4.820820820820820307e-01 2.425881285181560182e-03 4.786324786324786529e-01 4.856394856394856130e-01 5.259028259028258878e-01 4.303395083930826488e-03 5.172865172865173111e-01 5.316855316855316760e-01 6.144221144221144737e-01 6.851211391290475128e-03 6.019096019096018546e-01 6.269346269346269818e-01 6.186186186186186653e-01 9.052275243677278260e-03 6.049896049896049677e-01 6.313236313236313402e-01 5.557942557942558981e-01 8.954513061944146743e-03 5.404635404635405038e-01 5.721105721105721464e-01 4.288288288288287786e-01 1.127475714506392945e-02 4.070994070994071179e-01 4.472164472164472104e-01
