seed=0 AUC=0.9298968301141672, AUC0=0.8194104308390023, AUC1=0.9248006754847752, AUC2=0.9324072404839545
seed=1 AUC=0.9232595035003598, AUC0=0.8184126984126984, AUC1=0.913820689917102, AUC2=0.9265022317339844
seed=2 AUC=0.929677281754389, AUC0=0.8088888888888889, AUC1=0.9167213977310308, AUC2=0.9330960095789148
seed=3 AUC=0.922027517998153, AUC0=0.8211337868480726, AUC1=0.9109290138867145, AUC2=0.9255702796989307
seed=4 AUC=0.9162135973439633, AUC0=0.8039909297052154, AUC1=0.9045495641122312, AUC2=0.919709900454212
seed=5 AUC=0.9369277617884048, AUC0=0.8468934240362812, AUC1=0.926271698280997, AUC2=0.9399814186025093
seed=6 AUC=0.9158310655007894, AUC0=0.8097052154195011, AUC1=0.9049552996189976, AUC2=0.9190813980082564
seed=7 AUC=0.920818489672898, AUC0=0.8307482993197278, AUC1=0.9073135214599809, AUC2=0.9244047277781285
seed=8 AUC=0.9285975044834924, AUC0=0.8526077097505669, AUC1=0.9224074844305947, AUC2=0.931488162444155
seed=9 AUC=0.9228816940586626, AUC0=0.8413605442176871, AUC1=0.9143166274671821, AUC2=0.9256764746364701
