# mN	mSQ	0sq(mean)	1sq(mean)	2sq(mean)	S-comb(mean)	0sq(std)	1sq(std)	2sq(std)	S-comb(std)	0sq(min)	1sq(min)	2sq(min)	S-comb(min)	0sq(max)	1sq(max)	2sq(max)	S-comb(max)
2.000000000000000000e+02 2.000000000000000000e+03 6.171436465489214818e-02 1.388064012412862924e+00 4.737641755875953820e+00 5.543556894409308100e+00 4.498856239919508254e-02 1.472275627277034593e-01 2.044945293544604692e-01 2.481673599866841273e-01 3.537274510725708226e-02 1.296220458021609678e+00 4.477266894191031632e+00 5.245773760931110807e+00 1.929357725918330047e-01 1.571468947705307428e+00 5.095785891485085095e+00 5.880200662206921614e+00
2.000000000000000000e+02 2.200000000000000000e+03 3.507659892305246135e-02 8.765562281297467617e-01 3.702309622580266968e+00 4.219180255424484827e+00 4.117125896267461588e-02 1.093553975656512411e-01 1.663036451614131883e-01 1.756070926908963326e-01 3.088414064320288421e-02 8.018002463427627013e-01 3.542162491242315525e+00 4.033476357627758802e+00 1.513930423201761966e-01 1.058808375157218373e+00 4.091402736529455630e+00 4.597843138256743067e+00
2.000000000000000000e+02 2.300000000000000000e+03 1.620561670550965672e-02 7.436381656594798217e-01 3.265135361949810910e+00 3.707859130788264679e+00 4.647623115609833370e-03 1.021341130236414485e-01 1.488742422554001910e-01 1.565240730245415213e-01 1.412581433117029994e-02 6.883471574406963001e-01 3.159753004558769618e+00 3.581890360157194753e+00 2.574645499262522702e-02 9.464181688814999882e-01 3.618402875661987039e+00 4.083402153548299829e+00
2.000000000000000000e+02 2.700000000000000000e+03 1.492041639766289451e-02 2.709180295232237468e-01 1.352835858341105979e+00 1.501037257225727117e+00 2.179060488687275046e-02 9.315419272246991400e-02 1.446272495049604756e-01 1.490576088677647848e-01 6.052237126579413859e-03 2.113939647482933337e-01 1.241215509560445573e+00 1.383112309987397870e+00 8.006247516407410947e-02 4.745412412993098017e-01 1.621502765510915545e+00 1.779675649656152325e+00
2.000000000000000000e+02 3.000000000000000000e+03 1.702928915672554961e-03 1.469872995556243955e-01 6.346502412760932632e-01 6.946794411408671044e-01 3.377531824191002687e-04 7.665593951457125299e-02 1.306029178894500542e-01 1.367116008291399121e-01 1.546362030837963170e-03 6.841899294776422613e-02 4.927168912729383288e-01 5.476207942894756320e-01 2.134970357493547709e-03 2.741571989014084942e-01 8.371538167948150422e-01 9.030997548891551707e-01
3.000000000000000000e+02 2.000000000000000000e+03 5.139220113812904833e-02 1.261909234919411427e+00 4.699429599755038822e+00 5.466170566699299016e+00 2.962950195402467429e-02 1.343285532623921252e-01 2.249069921598479405e-01 2.577460632470107149e-01 3.884213064250099934e-02 1.149838049981902754e+00 4.347973906514257969e+00 5.126636676082042321e+00 1.328164282549673114e-01 1.425242118766683275e+00 5.009068560080352839e+00 5.778131294064266399e+00
3.000000000000000000e+02 2.200000000000000000e+03 5.045202899871882585e-02 8.882992056337453146e-01 3.647006691236842180e+00 4.176856163114000431e+00 3.411899233531111297e-02 1.133388966452312935e-01 1.592534920091988604e-01 1.701112269145205746e-01 2.810175692884975610e-02 8.109125694132705009e-01 3.497182527628508009e+00 3.985848015280193835e+00 1.183583333478032684e-01 1.123770532109344300e+00 3.983628618941936317e+00 4.526521696584858034e+00
3.000000000000000000e+02 2.300000000000000000e+03 7.664406720300059872e-02 6.524388699647200029e-01 3.157498216726912776e+00 3.542773052816925006e+00 4.560639752520424112e-02 9.338716929354487495e-02 1.592538068464278145e-01 1.659329108773784367e-01 1.837593912593370182e-02 6.005140376415006864e-01 3.051028430234540512e+00 3.416660707800299956e+00 1.403201836711839845e-01 8.284429164502897791e-01 3.508744394132005340e+00 3.910937889123594857e+00
3.000000000000000000e+02 2.700000000000000000e+03 2.416881564596797677e-02 2.844203396254064153e-01 1.351743324871595764e+00 1.506575993500229194e+00 2.311846629690290922e-02 9.748237970958795184e-02 1.621017944694584378e-01 1.622538386496175933e-01 6.470066482317239978e-03 2.262835538244181155e-01 1.215049704951969733e+00 1.364380471914693915e+00 6.706778585329362108e-02 4.606918585537448929e-01 1.647751107482775534e+00 1.785902302198107749e+00
3.000000000000000000e+02 3.000000000000000000e+03 1.290058665053690420e-02 1.314120572989259383e-01 6.124452094869812235e-01 6.679113768300344312e-01 1.481232482951882513e-02 7.163411666264546396e-02 1.243838989211794033e-01 1.304228495570576574e-01 2.761067322853731458e-03 6.729348430827335192e-02 4.715084503258745174e-01 5.340171786747696103e-01 3.888191854772669181e-02 2.602192396696723087e-01 8.060338889166324128e-01 8.713552113207577721e-01
