# mN	mSQ	0sq(mean)	1sq(mean)	2sq(mean)	S-comb(mean)	0sq(std)	1sq(std)	2sq(std)	S-comb(std)	0sq(min)	1sq(min)	2sq(min)	S-comb(min)	0sq(max)	1sq(max)	2sq(max)	S-comb(max)
5.000000000000000000e+02 2.000000000000000000e+03 1.444662585796016065e-02 3.444480449786452292e-01 1.356783836935283372e+00 1.580188657984732181e+00 9.039287816213355600e-03 4.619246675266185098e-02 6.968630807354404821e-02 7.900876966870432061e-02 1.213937561234028871e-02 3.165171903100089112e-01 1.268276121575116155e+00 1.489485905199269045e+00 3.862698866171393464e-02 3.962183211750996970e-01 1.451643053698269403e+00 1.678303165610953718e+00
5.000000000000000000e+02 2.200000000000000000e+03 7.065132893620993185e-03 2.409813703170995969e-01 1.089194458042767488e+00 1.232084218179990920e+00 9.618182279514731967e-03 3.218555992374478453e-02 5.177118377789452497e-02 5.713590434885838787e-02 3.581184274764458858e-03 2.189428005216911000e-01 1.037622362860797676e+00 1.170955882656528280e+00 3.545331453920655407e-02 2.960949906984063906e-01 1.194707122708603908e+00 1.339791167130800043e+00
5.000000000000000000e+02 2.300000000000000000e+03 9.929758998765317313e-03 1.911537615283800950e-01 9.388743079476451481e-01 1.060735954244951040e+00 1.020195663959542511e-02 2.974319478978535228e-02 4.767003745667110909e-02 4.932988742897311679e-02 6.588607560798217556e-03 1.746189196792614085e-01 9.051099239023973064e-01 1.019085132940132921e+00 4.030920655090083210e-02 2.439090621046667295e-01 1.032918639112608616e+00 1.160790475916814390e+00
5.000000000000000000e+02 2.700000000000000000e+03 4.180538268453477466e-03 6.874918090836693030e-02 4.198091354273397746e-01 4.583954579515275851e-01 5.344263118261085958e-03 2.754643946508151739e-02 4.576198215666477109e-02 4.654033095045517071e-02 1.073667985656514027e-03 5.489302036151042646e-02 3.808256670270544486e-01 4.213528347729856294e-01 1.257458109022804686e-02 1.286089601024288931e-01 5.047364539900853764e-01 5.453026053638709847e-01
5.000000000000000000e+02 3.000000000000000000e+03 8.080022395514195469e-04 3.988295696995391992e-02 1.939326489578943880e-01 2.130499208696517710e-01 9.524708982318831531e-04 2.207022140382815592e-02 3.930976082465023613e-02 4.156174728212740088e-02 4.759381546120315339e-04 2.150652014342442631e-02 1.526939925304746648e-01 1.699604825670364694e-01 3.609202380308202188e-03 8.106781338946716930e-02 2.577518316636951412e-01 2.772601307241928104e-01
7.000000000000000000e+02 2.000000000000000000e+03 1.003856211919761446e-02 2.726346738858121954e-01 1.125743615306548762e+00 1.329140801415258810e+00 3.887822260836787044e-03 3.970294036194232240e-02 6.820033113557102955e-02 7.187082631660209053e-02 7.811088440652364309e-03 2.475453336888633615e-01 1.051336373129825530e+00 1.244414643202468751e+00 1.722739303902571031e-02 3.200492105007383126e-01 1.239932580717841404e+00 1.456954185232155918e+00
7.000000000000000000e+02 2.200000000000000000e+03 1.082999577388963665e-02 2.046582168933887558e-01 9.257240052538714403e-01 1.062225632624159477e+00 9.281095139714862566e-03 2.743144570199025287e-02 5.550944761219692158e-02 5.720049572873824734e-02 6.102433562839805134e-03 1.850529668268299788e-01 8.630890304676489544e-01 9.901345238789209802e-01 2.230435027343883464e-02 2.470461760818895569e-01 1.025310528681582678e+00 1.161094735492310015e+00
7.000000000000000000e+02 2.300000000000000000e+03 4.823595823708278635e-03 1.694935516098984851e-01 8.388933418139922216e-01 9.507681564195937796e-01 5.136697740192285901e-03 2.814621488118649803e-02 4.815713083555649143e-02 5.025569898653937939e-02 3.836796150792790537e-03 1.544007022010559782e-01 7.951655704509480449e-01 8.961637588520851017e-01 1.870766113229703140e-02 2.116607834950745559e-01 9.238011614845454966e-01 1.040028906659421493e+00
7.000000000000000000e+02 2.700000000000000000e+03 4.752233935487086905e-03 7.695877177176639605e-02 3.786355798155375263e-01 4.234048075994822358e-01 5.440762493281743606e-03 2.875507150086999489e-02 4.093319468154998919e-02 4.260809106747135561e-02 2.391518984166822286e-03 5.884382251114717716e-02 3.469594129362057466e-01 3.921847255361345930e-01 2.101516766723232621e-02 1.363823067041416148e-01 4.562047129589653638e-01 5.050658225142732327e-01
7.000000000000000000e+02 3.000000000000000000e+03 2.282826100890889779e-03 3.913520591617476729e-02 1.871939940012187775e-01 2.062748645748380960e-01 3.662309073678885352e-03 2.209730480597777227e-02 3.414276238448234191e-02 3.567715383310668398e-02 6.109601725853572654e-04 1.922081595985883698e-02 1.572396973855506308e-01 1.738526577430620224e-01 9.877606009405751064e-03 8.107462403488074898e-02 2.525902852393802633e-01 2.687998103946631079e-01
9.000000000000000000e+02 2.000000000000000000e+03 6.841904505821702447e-03 1.885837161907037429e-01 8.123314346739016756e-01 9.717426557073078897e-01 1.460647970764217306e-03 3.091044148545395512e-02 7.589039672770303557e-02 8.169313344535858445e-02 5.626799526802100243e-03 1.621378564315823778e-01 7.210047137258063232e-01 8.607218002603700402e-01 1.051380350814190741e-02 2.420324556516118275e-01 9.462876794213318510e-01 1.128060917193033363e+00
9.000000000000000000e+02 2.200000000000000000e+03 9.057821962593640835e-03 1.512610278078010129e-01 7.430133476458193886e-01 8.631293026106436894e-01 3.228410224206727970e-03 2.895826059127729751e-02 6.286297009330232832e-02 6.530937034876449498e-02 5.579463052075450506e-03 1.329358192134003080e-01 6.796742501945917114e-01 7.948054709021422637e-01 1.446073260997735033e-02 1.824125648068570249e-01 8.239847515653130339e-01 9.550153088072920182e-01
9.000000000000000000e+02 2.300000000000000000e+03 5.415746721884293589e-03 1.314820245423122258e-01 6.880315092161042312e-01 7.840975773841316609e-01 3.776163417259744467e-03 2.796895497150675078e-02 5.518470080965425656e-02 5.801343253656936899e-02 3.294174593163336998e-03 1.172426672444875917e-01 6.354681930885911489e-01 7.213589127350176211e-01 1.375241478158388715e-02 1.681117048639047262e-01 7.657965744859200896e-01 8.655140807927196311e-01
9.000000000000000000e+02 2.700000000000000000e+03 6.383971893783731491e-03 6.817887783623463593e-02 3.654256447856242263e-01 4.086836722968720248e-01 7.528739409221208573e-03 2.701541229476516273e-02 4.039235447471533486e-02 4.241055240302571416e-02 3.434801657821350256e-03 5.671643847378172315e-02 3.366533385756954044e-01 3.792020620634458106e-01 2.853650830854050427e-02 1.260925346851708151e-01 4.347595365366527798e-01 4.834686233266350386e-01
9.000000000000000000e+02 3.000000000000000000e+03 5.217753838808593218e-04 3.928825693188942730e-02 1.831648732428741155e-01 1.991897194205347055e-01 2.132783393663500039e-04 2.017029371988996247e-02 3.235166378949460436e-02 3.372093623717568184e-02 4.571576448725539845e-04 1.958595554118834278e-02 1.534355484333523867e-01 1.679480329226581137e-01 9.625347848303188137e-04 7.232979769342054444e-02 2.420104911750158572e-01 2.593208408493962724e-01
1.100000000000000000e+03 2.000000000000000000e+03 3.299340919130960142e-03 1.082100107723556748e-01 4.964062886211178527e-01 5.990247837040394430e-01 1.170944204168918035e-03 3.075229992802237799e-02 6.886443104648644342e-02 7.697406109374479999e-02 2.898427037227650944e-03 9.319163461374653512e-02 4.240407334770379122e-01 5.123303658481732636e-01 4.926291680314796861e-03 1.452083151446567633e-01 6.022840966243485639e-01 7.229139074919991304e-01
1.100000000000000000e+03 2.200000000000000000e+03 4.924759940018614938e-03 9.331140473274521230e-02 5.101471985707667356e-01 5.940222102463822429e-01 7.329016537409960112e-03 2.366711607612589224e-02 6.086967894177703481e-02 6.790357450443988696e-02 2.564615725620144390e-03 8.049256735262748375e-02 4.587851869281951989e-01 5.343781037275187051e-01 1.965742419608706298e-02 1.209966603832083737e-01 6.060448443080259651e-01 7.023504735644650054e-01
1.100000000000000000e+03 2.300000000000000000e+03 5.264489336703880723e-03 8.109515056145047418e-02 4.905922721971258116e-01 5.616678022432595174e-01 7.674732498955018009e-03 2.544748500717988055e-02 5.479088905308941715e-02 5.950282909541945719e-02 2.231636856360924397e-03 7.138274791976334521e-02 4.469504558466552702e-01 5.123360978143777222e-01 2.061630370124810027e-02 1.387954273943103611e-01 5.583462288818875630e-01 6.374587774180867639e-01
1.100000000000000000e+03 2.700000000000000000e+03 1.235227197574570402e-03 6.077095564420206125e-02 3.134747171825183476e-01 3.514392591280929845e-01 4.746076575908149625e-04 2.618975590437049375e-02 3.858519193271556236e-02 3.909338512600246673e-02 6.166747148214360907e-04 4.778103932530444742e-02 2.946679988009259232e-01 3.314935152942822261e-01 2.020246272683381798e-03 1.156124435110709586e-01 3.762020602379145817e-01 4.142201819319955569e-01
1.100000000000000000e+03 3.000000000000000000e+03 1.700816876028164032e-03 4.216082971918400785e-02 1.795880157833153468e-01 1.964391806298921017e-01 3.616334560087277467e-03 2.283194669561922074e-02 3.166646234537516535e-02 3.172651127024393031e-02 3.428434088719782774e-04 2.275678174325544006e-02 1.515439433749847242e-01 1.655351897305172293e-01 1.253673508799191608e-02 8.168043291969187547e-02 2.357635543328161498e-01 2.572519517251807830e-01
