# FPR	mN=200GeV-mean	mN=200GeV-std	mN=200GeV-min	mN=200GeV-max	mN=300GeV-mean	mN=300GeV-std	mN=300GeV-min	mN=300GeV-max	mN=500GeV-mean	mN=500GeV-std	mN=500GeV-min	mN=500GeV-max	mN=700GeV-mean	mN=700GeV-std	mN=700GeV-min	mN=700GeV-max	mN=900GeV-mean	mN=900GeV-std	mN=900GeV-min	mN=900GeV-max	mN=1100GeV-mean	mN=1100GeV-std	mN=1100GeV-min	mN=1100GeV-max
5.811623246492985534e-02 7.351235886481537474e-01 1.657383900889891279e-02 7.054216254704506195e-01 7.644186756179431885e-01 7.311972332417862042e-01 1.620261574851111080e-02 7.046078730546231350e-01 7.606550706947411422e-01 7.119214728918725754e-01 1.888835151589057793e-02 6.812124910995829286e-01 7.449903366900620938e-01 6.840606245549791797e-01 1.995949682254503574e-02 6.476452039466992217e-01 7.147797782524666355e-01 6.228257552639610006e-01 2.344040459630191559e-02 5.754246770420099466e-01 6.521208422337503308e-01 5.238429457837453507e-01 2.769548284463003301e-02 4.702471772963076058e-01 5.620994812328349299e-01
6.012024048096192147e-02 7.396297426507983941e-01 1.651248641369650050e-02 7.097955447055233069e-01 7.681822805411453459e-01 7.357847624860135438e-01 1.624598475545170617e-02 7.088800732377174008e-01 7.648255518258569863e-01 7.168141592920355132e-01 1.866825903691279528e-02 6.852812531787203509e-01 7.480419082494150773e-01 6.889838266707354331e-01 1.981951810889101204e-02 6.507984945580307379e-01 7.168141592920354022e-01 6.287254602787101243e-01 2.370250356060929833e-02 5.799003153290611667e-01 6.569016376767368159e-01 5.302614179635846137e-01 2.757021676819246953e-02 4.757400061031430982e-01 5.676940290916488996e-01
6.212424849699398066e-02 7.432712847116265120e-01 1.692615111215380400e-02 7.137625877326823076e-01 7.723527616722611899e-01 7.398433526599531573e-01 1.644355096242612960e-02 7.132539924727901992e-01 7.694029091648866281e-01 7.209948123283490551e-01 1.901327175677140074e-02 6.902654867256636795e-01 7.521106703285524997e-01 6.939578883124809527e-01 2.014941452409960837e-02 6.569016376767368159e-01 7.223069880988709501e-01 6.341267419387650595e-01 2.413561620422530890e-02 5.866137727596378859e-01 6.654460380429254585e-01 5.363543891770927718e-01 2.789486019392654545e-02 4.829620587936120368e-01 5.705421625470450397e-01
6.412825651302604679e-02 7.473807344115552809e-01 1.670084656165160553e-02 7.169158783440138238e-01 7.754043332316142845e-01 7.444308819041807190e-01 1.623190357406377807e-02 7.173227545519276216e-01 7.727596378801749877e-01 7.253992472790153911e-01 1.898314076464560976e-02 6.938256535449089935e-01 7.557725561997762354e-01 6.989217780490284415e-01 2.012106981475218770e-02 6.607669616519173950e-01 7.261723120740514181e-01 6.397924931339640242e-01 2.374959289178912511e-02 5.932255111382361834e-01 6.704302715898687870e-01 5.425999389685689511e-01 2.822897226882000940e-02 4.882514494964906859e-01 5.785779676533414628e-01
6.613226452905811292e-02 7.508391821788220621e-01 1.605945405132305423e-02 7.214932356830434657e-01 7.778455904790967379e-01 7.481131115857999614e-01 1.600025167791882183e-02 7.214932356830434657e-01 7.763198046994201906e-01 7.293154307801851255e-01 1.881271523215859859e-02 6.974875394161326181e-01 7.596378801749568144e-01 7.028074458346047493e-01 1.954377728636579395e-02 6.650391618350116607e-01 7.295290407893398887e-01 6.445427728613568608e-01 2.375192138437001721e-02 5.967856779574813864e-01 6.737870003051571466e-01 5.475638287051164399e-01 2.833946275917080884e-02 4.924219306276065300e-01 5.815278201607161357e-01
6.813627254509017905e-02 7.549486318787508310e-01 1.642581285708521674e-02 7.250534025022886686e-01 7.824229478181263797e-01 7.520699827077612643e-01 1.596945058794262823e-02 7.254602787102024664e-01 7.801851286746007696e-01 7.335367714372902359e-01 1.890908751043137576e-02 7.025734920150543683e-01 7.641135184620079235e-01 7.074966941308107327e-01 1.953277029956991540e-02 6.704302715898687870e-01 7.342081171803478412e-01 6.493337402095412658e-01 2.384443854221568806e-02 6.021767877123385126e-01 6.780592004882514123e-01 5.535754246770420162e-01 2.879309729891984387e-02 4.977113213304851791e-01 5.860034584477672448e-01
7.014028056112224518e-02 7.587834401383379834e-01 1.628650039560133878e-02 7.299359169972535755e-01 7.851693622215440982e-01 7.561896043128878420e-01 1.622381889888218839e-02 7.305462313091242166e-01 7.840504526497813487e-01 7.378089716203845017e-01 1.930247060474301821e-02 7.062353778862781040e-01 7.675719662292747048e-01 7.121249109958295298e-01 2.007942588388685057e-02 6.741938765130709443e-01 7.384803173634422180e-01 6.543993489980672873e-01 2.453661734480428250e-02 6.064489878954327784e-01 6.825348387753026325e-01 5.590987691994711017e-01 2.899197304561332636e-02 5.046282168650187971e-01 5.915980063065812145e-01
7.214428857715429744e-02 7.621732326416641445e-01 1.628625968635284346e-02 7.327840504526498266e-01 7.886278099888108795e-01 7.597395992269352361e-01 1.584552998612339184e-02 7.333943647645203567e-01 7.867968670531990671e-01 7.415725765435866590e-01 1.978299320747019599e-02 7.087783541857389791e-01 7.713355711524768621e-01 7.163869392737259867e-01 2.007331101438800114e-02 6.775506052283593039e-01 7.426507984945580620e-01 6.592106601566471991e-01 2.442710761473702516e-02 6.111280642864408419e-01 6.874173532702675393e-01 5.645814261011087298e-01 2.919422560592879745e-02 5.095107313599837040e-01 5.958702064896754802e-01
7.414829659318636357e-02 7.659037737768283893e-01 1.632742563572064584e-02 7.355304648560675451e-01 7.925948530159698802e-01 7.635032041501371713e-01 1.633552237355979236e-02 7.355304648560675451e-01 7.916793815481639740e-01 7.453158376563929766e-01 1.992342588836429340e-02 7.119316447970704953e-01 7.748957379717220650e-01 7.207608585087987851e-01 2.020928976373950747e-02 6.818228054114535697e-01 7.480419082494150773e-01 6.638897365476553736e-01 2.470094028516039639e-02 6.147899501576645775e-01 6.930119011290815090e-01 5.698708168039873234e-01 2.964907792523772956e-02 5.136812124910995481e-01 6.019733496083816693e-01
7.615230460921842970e-02 7.691994710609297847e-01 1.590991330620405986e-02 7.387854745193774830e-01 7.952395483674091770e-01 7.666564947614687986e-01 1.559024917029505630e-02 7.401078221950971869e-01 7.933068863798189430e-01 7.490794425795952449e-01 1.958015393755780861e-02 7.155935306682941199e-01 7.780490285830535813e-01 7.245244634320007204e-01 2.006691843046841395e-02 6.849760960227850859e-01 7.518055131726172347e-01 6.680297019631776800e-01 2.456527530556421729e-02 6.192655884447156867e-01 6.957583155324992275e-01 5.751296917912724904e-01 2.917725322798318463e-02 5.186654460380428766e-01 6.068558641033465761e-01
