# bkg-pred	mb=200GeV-pred	mb=300GeV-pred	mb=500GeV-pred	mb=700GeV-pred	mb=900GeV-pred	mb=1100GeV-pred
1.061876416206359863e-01 9.642269611358642578e-01 6.123009920120239258e-01 9.991150498390197754e-01 9.988709092140197754e-01 9.622170329093933105e-01 9.997717738151550293e-01
3.650766313076019287e-01 9.999901056289672852e-01 9.944900274276733398e-01 8.013080358505249023e-01 8.438779711723327637e-01 7.372990250587463379e-01 9.628006815910339355e-01
2.644609808921813965e-01 9.798729419708251953e-01 9.224762916564941406e-01 6.176126003265380859e-01 8.376834988594055176e-01 9.602273106575012207e-01 8.822599649429321289e-01
8.763809502124786377e-02 9.535223245620727539e-01 8.920992016792297363e-01 9.912187457084655762e-01 9.577406644821166992e-01 9.604521989822387695e-01 7.370792627334594727e-01
9.077674150466918945e-01 9.938308000564575195e-01 9.999972581863403320e-01 8.654912114143371582e-01 9.943253397941589355e-01 3.044174909591674805e-01 9.096505045890808105e-01
1.925089955329895020e-02 9.999859333038330078e-01 9.999616146087646484e-01 9.998433589935302734e-01 9.458544254302978516e-01 8.723332881927490234e-01 6.194624304771423340e-01
4.315662980079650879e-01 9.528525471687316895e-01 7.068251371383666992e-01 7.383775711059570312e-01 9.866095185279846191e-01 3.641454577445983887e-01 9.800193309783935547e-01
6.165598705410957336e-02 9.711027741432189941e-01 9.998450279235839844e-01 9.643668532371520996e-01 7.141440510749816895e-01 9.313958883285522461e-01 6.678112745285034180e-01
6.196747347712516785e-02 9.999417066574096680e-01 9.972297549247741699e-01 9.998953342437744141e-01 9.963223934173583984e-01 9.948868155479431152e-01 9.255334734916687012e-01
4.435888826847076416e-01 9.830532670021057129e-01 9.998133778572082520e-01 9.702886343002319336e-01 9.993590712547302246e-01 9.950000047683715820e-01 9.887771010398864746e-01
5.435692071914672852e-01 9.913631677627563477e-01 9.665419459342956543e-01 9.941815733909606934e-01 8.758530616760253906e-01 9.396094083786010742e-01 7.956088781356811523e-01
6.638486385345458984e-01 9.999027252197265625e-01 4.690692126750946045e-01 9.999811649322509766e-01 2.065681517124176025e-01 3.660917282104492188e-01 9.936165809631347656e-01
2.791211009025573730e-01 9.923796653747558594e-01 9.644569158554077148e-01 9.825169444084167480e-01 9.924280047416687012e-01 8.756922483444213867e-01 9.970792531967163086e-01
3.718095272779464722e-02 9.997300505638122559e-01 9.789057970046997070e-01 9.672042727470397949e-01 4.879463911056518555e-01 6.492839455604553223e-01 9.991942048072814941e-01
1.516270786523818970e-01 9.935873746871948242e-01 9.999366998672485352e-01 7.482692003250122070e-01 9.661945104598999023e-01 4.884872436523437500e-01 9.995637536048889160e-01
5.113634467124938965e-01 9.977161884307861328e-01 8.775403499603271484e-01 9.970837235450744629e-01 9.997207522392272949e-01 9.950231313705444336e-01 9.922309517860412598e-01
3.574306964874267578e-01 9.637414813041687012e-01 9.999916553497314453e-01 9.003038406372070312e-01 9.843211174011230469e-01 9.688457846641540527e-01 8.119879961013793945e-01
7.092559933662414551e-01 3.135889023542404175e-02 9.972358345985412598e-01 4.958478510379791260e-01 9.847781062126159668e-01 9.260712265968322754e-01 1.923328191041946411e-01
3.174486458301544189e-01 9.487853646278381348e-01 7.814070582389831543e-01 9.886900782585144043e-01 9.877325296401977539e-01 9.658879041671752930e-01 2.819136083126068115e-01
7.703875303268432617e-01 9.987108707427978516e-01 9.380645155906677246e-01 9.996185302734375000e-01 9.999307394027709961e-01 6.898028850555419922e-01 5.775505900382995605e-01
7.210001349449157715e-02 9.576538205146789551e-01 9.251632690429687500e-01 9.973559379577636719e-01 6.044074892997741699e-01 3.631278276443481445e-01 9.201712608337402344e-01
4.090963304042816162e-01 9.727968573570251465e-01 3.369036912918090820e-01 9.734843373298645020e-01 9.690780639648437500e-01 9.203016161918640137e-01 9.900846481323242188e-01
3.474037051200866699e-01 9.995075464248657227e-01 6.545485854148864746e-01 9.980013966560363770e-01 4.989471435546875000e-01 9.337316751480102539e-01 7.655762434005737305e-01
6.201783418655395508e-01 9.999824762344360352e-01 9.035008549690246582e-01 9.865671992301940918e-01 6.034889221191406250e-01 9.574625492095947266e-01 9.997455477714538574e-01
