seed=0 AUC=0.7625773515739283, AUC0=0.6270749071567809, AUC1=0.8250333019466789, AUC2=0.9108979660738453
seed=1 AUC=0.7673867039321054, AUC0=0.6364537729892386, AUC1=0.8341135299366196, AUC2=0.9145140298755157
seed=2 AUC=0.763588739476028, AUC0=0.6313179667156597, AUC1=0.8214133327397491, AUC2=0.9088962063443717
seed=3 AUC=0.7652836155777794, AUC0=0.63829608085841, AUC1=0.8179660750581762, AUC2=0.908324671612903
seed=4 AUC=0.7637758712373572, AUC0=0.6360292965109813, AUC1=0.8148933385647403, AUC2=0.9078883954088117
seed=5 AUC=0.7640217174291706, AUC0=0.6294466813365593, AUC1=0.8240133921160406, AUC2=0.9139631612705919
seed=6 AUC=0.767671662628677, AUC0=0.6347582724579768, AUC1=0.8231989124537614, AUC2=0.9146876488005102
seed=7 AUC=0.7639945659679059, AUC0=0.6314833959997395, AUC1=0.8210805144121599, AUC2=0.9135873584150375
seed=8 AUC=0.7702785709835057, AUC0=0.6380058653371071, AUC1=0.8328246299508066, AUC2=0.916965321848624
seed=9 AUC=0.774389988931145, AUC0=0.6521298379454779, AUC1=0.8216178242585137, AUC2=0.9116853709123938
