# signal_efficiencies		0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
1.000000000000000021e-02 8.832322072874813912e-02 6.579586052290959872e-03 7.814469497847593982e-02 9.906648216828163600e-02 1.144553537408562471e-01 4.813817254505917825e-02 0.000000000000000000e+00 1.521266264436745563e-01 3.009482863701463673e-01 1.247772078187575490e-01 0.000000000000000000e+00 3.983968668698406046e-01 8.123560505886920913e-01 3.360886313963758476e-01 0.000000000000000000e+00 1.074734043472091116e+00
1.497487437185929596e-02 1.049465699199707558e-01 7.112357379829466197e-03 9.210290766847011035e-02 1.157417458684409511e-01 1.655824028953370441e-01 6.818356320061362552e-02 0.000000000000000000e+00 2.278077119608794832e-01 4.510193869231119423e-01 1.864910925466939928e-01 0.000000000000000000e+00 5.965943031518216033e-01 1.120369204355136983e+00 4.626289100670896159e-01 0.000000000000000000e+00 1.609400728415492976e+00
1.994974874371859344e-02 1.121505349339203123e-01 4.494167037772321162e-03 1.052408328908605722e-01 1.215702550162390122e-01 2.049019229877508397e-01 8.787566593492970868e-02 0.000000000000000000e+00 3.034887974780844377e-01 6.010904874760776284e-01 2.482076453909159708e-01 0.000000000000000000e+00 7.947917394338026575e-01 1.394357418355397726e+00 6.355044123289292912e-01 0.000000000000000000e+00 2.144067413358895280e+00
2.492462311557788746e-02 1.237928894176310024e-01 6.608513800752555296e-03 1.132944242760922232e-01 1.333517565689678608e-01 2.394911902885931421e-01 1.092170404377914988e-01 3.467325870794276364e-03 3.791698829952893091e-01 7.315529646884890713e-01 3.000198938860430542e-01 0.000000000000000000e+00 9.929891757157834897e-01 1.732369842358567613e+00 6.905595892664737612e-01 6.181928406924512842e-01 2.678734098302297362e+00
2.989949748743718494e-02 1.314895068491206964e-01 6.975356015881087508e-03 1.213217572310794357e-01 1.408662384946187951e-01 2.838022025875006071e-01 8.496809099527580234e-02 1.754285553215305105e-01 4.423980827743964062e-01 8.392820054928143980e-01 3.432944052018860326e-01 0.000000000000000000e+00 1.191186611997764544e+00 1.982855297234169756e+00 5.767041853622737468e-01 1.194043233084737698e+00 2.946220698050182385e+00
3.487437185929648242e-02 1.412926625208626996e-01 8.399421470966398490e-03 1.286282812428256039e-01 1.528488281614381883e-01 3.154668805045738322e-01 9.427796573192959162e-02 1.875714065206140202e-01 5.180987073877879601e-01 9.464523615922546540e-01 4.005812049389860241e-01 0.000000000000000000e+00 1.389384048279745709e+00 2.023113126243362370e+00 5.146342834872659200e-01 1.325141961550603931e+00 2.974491675447170635e+00
3.984924623115577991e-02 1.482944071739465686e-01 8.789233612649657162e-03 1.353168581155031747e-01 1.631187723027356651e-01 3.106886476270193098e-01 8.569809538526891590e-02 1.872389024787171896e-01 4.775532035874407999e-01 1.039858694762620051e+00 4.677628433117310136e-01 0.000000000000000000e+00 1.587581484561726652e+00 1.874080284800125895e+00 3.984631844050504079e-01 1.329074530137469123e+00 2.474285932082908257e+00
4.482412060301507739e-02 1.544063762373990290e-01 8.971096555197635714e-03 1.395489958356121163e-01 1.718291065490406833e-01 2.937831346874593685e-01 5.571081049894396897e-02 2.055988446588916108e-01 3.813324973589714562e-01 1.156659011122515457e+00 5.312988545660274342e-01 0.000000000000000000e+00 1.785778920843707596e+00 1.875373046585002923e+00 2.798820899122596573e-01 1.452501004058311729e+00 2.369093315992406357e+00
4.979899497487437487e-02 1.612886253002834835e-01 8.806930466702072094e-03 1.466211779156262607e-01 1.773264859699954510e-01 2.863219653100905204e-01 3.618792218402695771e-02 2.136655879867231933e-01 3.409651476328860453e-01 1.272280084802937861e+00 5.960938458471408685e-01 0.000000000000000000e+00 1.983976357125688761e+00 1.865653267324520526e+00 1.681123280847112711e-01 1.545008812568125389e+00 2.184972416719794364e+00
5.477386934673367236e-02 1.677059687584916969e-01 9.230404010466436091e-03 1.519804397410098318e-01 1.861468092712713907e-01 2.849243006996591276e-01 3.199957885566565019e-02 2.083140990246297175e-01 3.340506425604418683e-01 1.410725350535517952e+00 5.461560230322778375e-01 6.041827698614385955e-01 2.182173793407669926e+00 1.846307648099564158e+00 1.742891832716037814e-01 1.529312550402858406e+00 2.224163070418065047e+00
5.974874371859296984e-02 1.742325664148796638e-01 9.475024505340280331e-03 1.587488119991782021e-01 1.949955419292077052e-01 2.815514627672141001e-01 2.800964026890234715e-02 2.142386189750336845e-01 3.271399818062041276e-01 1.536021203964236470e+00 4.574307810158857457e-01 9.190740889893510568e-01 2.380371229689651091e+00 1.848643735191043636e+00 1.794257304034078127e-01 1.566581075517914146e+00 2.270308058045631849e+00
6.472361809045226733e-02 1.799826297065891811e-01 9.716700036850331804e-03 1.659490518971375450e-01 2.016830825723321396e-01 2.864243699493579376e-01 2.568318035227743629e-02 2.258869911613818615e-01 3.282962674278731563e-01 1.617273095835495500e+00 4.755265129612140096e-01 9.592555228522275934e-01 2.393316383866348040e+00 1.841430337963686936e+00 1.976591059249445392e-01 1.587633237526001384e+00 2.318689192616504968e+00
6.969849246231155093e-02 1.856225564224016078e-01 9.400686076722035087e-03 1.720876383950933897e-01 2.070480331769396498e-01 2.856645734329977815e-01 2.983970804111198485e-02 2.340343453087178338e-01 3.402822945650252340e-01 1.624581031335107895e+00 4.535551495412442069e-01 9.966966894631671403e-01 2.536506016872201563e+00 1.878587843119102319e+00 2.211453542738817668e-01 1.597029910856964774e+00 2.368778161748789302e+00
7.467336683417084842e-02 1.907805445409706535e-01 8.400766988794432233e-03 1.785066806975975084e-01 2.101390443305455602e-01 2.862124392083706392e-01 3.263148587320109650e-02 2.421919071434516513e-01 3.515553759327876837e-01 1.621367295589517754e+00 4.237742384384920458e-01 1.051808445940622505e+00 2.407362090102506791e+00 1.922064107540512934e+00 2.007603137037913821e-01 1.602632189738183888e+00 2.316733698765120142e+00
7.964824120603014590e-02 1.955834046062294995e-01 8.131900849881586180e-03 1.838073446014859835e-01 2.150478260588936930e-01 2.942972500589185469e-01 3.235342034105308934e-02 2.473294340697707039e-01 3.497766400355319383e-01 1.597495048088965586e+00 4.023899410320380676e-01 1.121881821545011260e+00 2.278218163332812018e+00 1.985925237645868480e+00 2.422955017011999002e-01 1.617700725854566590e+00 2.471078676004519359e+00
8.462311557788944338e-02 2.001632357131497009e-01 8.106485325496674832e-03 1.883631105420219554e-01 2.201343361433723833e-01 3.005847354149836503e-01 3.814714080924358486e-02 2.479770579544928744e-01 3.716238875834926292e-01 1.529268584933405339e+00 3.495301486452190853e-01 1.066464238854834434e+00 2.026026096109924790e+00 1.937410279457520756e+00 1.935597213198755884e-01 1.607737077270329440e+00 2.257083749815571139e+00
8.959798994974874087e-02 2.056064455818772951e-01 8.240098844065306752e-03 1.921524410955395279e-01 2.259759134442163031e-01 3.042546308236526720e-01 3.711100349333359277e-02 2.472689788442967440e-01 3.642542659190531329e-01 1.494072610781475241e+00 2.909196090742576235e-01 1.077984905081938338e+00 1.981523078054192366e+00 1.971899377164750389e+00 1.840807075038757568e-01 1.651428647710015074e+00 2.256814213756927145e+00
9.457286432160803835e-02 2.097659250626904281e-01 8.168280979598164723e-03 1.942628089401309266e-01 2.284681583577155006e-01 3.063392636007882253e-01 3.476234422523606649e-02 2.543295295906308207e-01 3.544234826059776133e-01 1.510751551053861608e+00 2.476944497024551051e-01 1.136020358594671098e+00 1.883876641831758514e+00 1.983199691442902646e+00 1.871335291280507018e-01 1.694011281251654344e+00 2.308881187601607099e+00
9.954773869346733584e-02 2.143391428665298304e-01 7.671066431428126553e-03 1.989859276278606037e-01 2.322156403502953215e-01 3.083163546537376898e-01 3.433619120091003368e-02 2.548641715206454994e-01 3.547774825637483587e-01 1.503692950634093695e+00 1.929649145015535083e-01 1.195779134099916652e+00 1.790561373373878995e+00 1.942237176369782103e+00 1.562527271649899463e-01 1.753637448322995285e+00 2.280977832305441488e+00
