# signal_efficiencies		0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
1.000000000000000021e-02 2.689022396398494941e-01 1.857440245305459758e-02 2.399323922778279772e-01 2.990167330164377746e-01 nan nan nan nan nan nan nan nan nan nan nan nan
1.497487437185929596e-02 3.202137466158972989e-01 2.024104872362253102e-02 2.833786990143506990e-01 3.507320097889924382e-01 nan nan nan nan nan nan nan nan nan nan nan nan
1.994974874371859344e-02 3.439789483213754884e-01 1.295443789723037427e-02 3.239736687214491706e-01 3.710091853714924670e-01 nan nan nan nan nan nan nan nan nan nan nan nan
2.492462311557788746e-02 3.799287394727279832e-01 1.912113937612728090e-02 3.494286652626782397e-01 4.074811785883437065e-01 6.041696408051572265e-01 1.185472500482345065e-01 4.476245577517179441e-01 8.516264480864517150e-01 nan nan nan nan 2.087583677171542362e+00 1.132865101435843735e-01 1.890151352930726114e+00 2.249981309402473872e+00
2.989949748743718494e-02 4.042502457503546198e-01 2.029572658543157479e-02 3.745895414584242689e-01 4.314417759597760638e-01 6.503158761247863628e-01 1.170043973587463759e-01 4.768854995046295508e-01 8.603804238412642302e-01 nan nan nan nan 2.270878699023600067e+00 1.049924590679190695e-01 2.073511747922968329e+00 2.417697544195087200e+00
3.487437185929648242e-02 4.344846926480899763e-01 2.444804908792818851e-02 3.974857170881565538e-01 4.680057571302366770e-01 6.873693188087923733e-01 1.052843745922609625e-01 5.112504475942625248e-01 8.691343995960767455e-01 nan nan nan nan 2.439584119328876533e+00 9.892025164170507867e-02 2.256723246186778109e+00 2.572173390202877830e+00
3.984924623115577991e-02 4.564628269227821167e-01 2.566456972469864650e-02 4.184514661935350710e-01 4.995024118051590301e-01 7.047393118501515952e-01 1.082035692485878858e-01 5.189585768307488634e-01 8.728243399014484760e-01 nan nan nan nan 2.551237556890451064e+00 1.074440821242136912e-01 2.367427860964169462e+00 2.690769185347749115e+00
4.482412060301507739e-02 4.757320988399332262e-01 2.623958716987340178e-02 4.320539376698424583e-01 5.263967352925347232e-01 7.105072886480560124e-01 8.364538932937187754e-02 5.651767919212685731e-01 8.235769520829196999e-01 nan nan nan nan 2.687941460869315069e+00 8.643936543360071501e-02 2.534491413260099524e+00 2.814910659698042217e+00
4.979899497487437487e-02 4.971762670967002640e-01 2.580656313096172869e-02 4.540097136128542488e-01 5.439304728317710946e-01 7.193282634148452370e-01 6.069804569753842194e-02 5.893351812806705281e-01 8.000143702327521256e-01 1.764115293900200054e+00 1.199628197998250240e-01 1.566303525260603013e+00 1.948013126302746700e+00 2.807466877415915274e+00 6.026378949914216326e-02 2.678853700015884964e+00 2.906019333525320381e+00
5.477386934673367236e-02 5.171754939188529798e-01 2.707188322122566076e-02 4.708290209627655210e-01 5.709543606127258641e-01 7.299026738427072392e-01 5.797147915269480756e-02 5.841725793644607645e-01 8.101213908581665901e-01 1.851652133588030491e+00 1.190090727732162346e-01 1.645575394882597298e+00 2.024662212987960785e+00 2.904218857041593882e+00 6.781626399683809980e-02 2.759076079348390387e+00 3.031542245054816842e+00
5.974874371859296984e-02 5.374430128973666232e-01 2.777046637700951795e-02 4.917950067231291467e-01 5.979899128752851345e-01 7.356467541427191836e-01 5.283095675320586410e-02 6.027372145854938967e-01 8.141629334670553719e-01 1.929276741641102078e+00 1.144361324780968081e-01 1.720554415694532269e+00 2.088157328389786294e+00 3.000413927739541187e+00 7.364420964570339567e-02 2.862823696286483699e+00 3.152183658231064278e+00
6.472361809045226733e-02 5.553820992786218103e-01 2.849020117140209016e-02 5.140101981598302894e-01 6.187270223496885713e-01 7.542229561758863055e-01 4.907041794215567798e-02 6.337721260002210366e-01 8.283084528937585400e-01 1.999576469223253827e+00 1.103502643717810955e-01 1.792856377321689676e+00 2.151652443791611358e+00 3.083415154446207396e+00 8.692434667476402199e-02 2.953291693103481386e+00 3.268944450265300894e+00
